subjectID	 scanner	 order	 block	 run	 trial	 onsettime	 ImageLeft	 ImageRight	 bidIndexLeft	 bidIndexRight	 IsleftGo	 Response	 PairType	 Outcome	 RT	 bidLeft	 bidRight	 
BMI_bfr_104	0	2	2	1	1	2.02E+00	 159.jpg	 119.jpg	44	41	0	 u	2	0	1090.06	0.38	0.39	 
BMI_bfr_104	0	2	2	1	2	7.02E+00	 132.jpg	 159.jpg	46	44	1	 u	2	1	730.95	0.34	0.38	 
BMI_bfr_104	0	2	2	1	3	1.50E+01	 125.jpg	 136.jpg	54	39	1	 i	2	0	602.78	0.21	0.4	 
BMI_bfr_104	0	2	2	1	4	1.80E+01	 158.jpg	 148.jpg	26	38	1	 i	3	0	760.81	0.54	0.41	 
BMI_bfr_104	0	2	2	1	5	2.50E+01	 107.jpg	 155.jpg	40	47	1	 i	2	0	717.06	0.39	0.34	 
BMI_bfr_104	0	2	2	1	6	2.80E+01	 154.jpg	 142.jpg	8	20	1	 i	1	0	790.49	0.74	0.63	 
BMI_bfr_104	0	2	2	1	7	3.90E+01	 125.jpg	 131.jpg	54	45	1	 i	2	0	623.69	0.21	0.37	 
BMI_bfr_104	0	2	2	1	8	4.30E+01	 103.jpg	 115.jpg	6	58	1	 u	3	1	708.6	0.77	0.17	 
BMI_bfr_104	0	2	2	1	9	4.70E+01	 102.jpg	 160.jpg	4	57	1	 u	4	1	585.54	0.79	0.19	 
BMI_bfr_104	0	2	2	1	10	5.00E+01	 134.jpg	 110.jpg	37	24	0	 i	4	1	822.34	0.42	0.59	 
BMI_bfr_104	0	2	2	1	11	5.30E+01	 156.jpg	 132.jpg	53	46	0	 i	2	1	946.59	0.25	0.34	 
BMI_bfr_104	0	2	2	1	12	5.80E+01	 122.jpg	 128.jpg	21	19	0	 i	1	1	750.4	0.63	0.64	 
BMI_bfr_104	0	2	2	1	13	6.20E+01	 117.jpg	 107.jpg	52	40	0	 i	2	1	784.88	0.29	0.39	 
BMI_bfr_104	0	2	2	1	14	7.10E+01	 144.jpg	 109.jpg	56	5	0	 i	4	1	713.1	0.2	0.77	 
BMI_bfr_104	0	2	2	1	15	7.40E+01	 107.jpg	 131.jpg	40	45	1	 i	2	0	859.9	0.39	0.37	 
