subjectID	 order	 itemIndABC	 runtrial	 isOld?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd	 isBeep?
BMI_bfr_110	 2	 13	 1	 1	 1	 1.454681e-02	 116.jpg	 i	 7.747447e-01	 20	 0	 
BMI_bfr_110	 2	 8	 2	 1	 1	 1.849877e+00	 109.jpg	 i	 7.170025e-01	 58	 1	 
BMI_bfr_110	 2	 35	 3	 1	 1	 3.618515e+00	 143.jpg	 i	 8.722244e-01	 36	 0	 
BMI_bfr_110	 2	 1	 4	 1	 1	 5.537401e+00	 101.jpg	 i	 6.408997e-01	 3	 1	 
BMI_bfr_110	 2	 4	 5	 1	 1	 7.222630e+00	 104.jpg	 i	 6.657256e-01	 21	 0	 
BMI_bfr_110	 2	 45	 6	 1	 1	 8.941249e+00	 157.jpg	 i	 6.796878e-01	 16	 1	 
BMI_bfr_110	 2	 23	 7	 1	 1	 1.067661e+01	 128.jpg	 i	 6.431702e-01	 24	 0	 
BMI_bfr_110	 2	 15	 8	 1	 1	 1.236180e+01	 118.jpg	 i	 5.893075e-01	 11	 1	 
BMI_bfr_110	 2	 36	 9	 1	 1	 1.399690e+01	 144.jpg	 i	 5.855670e-01	 22	 1	 
BMI_bfr_110	 2	 32	 10	 1	 1	 1.563206e+01	 139.jpg	 i	 6.042014e-01	 46	 1	 
BMI_bfr_110	 2	 42	 11	 1	 1	 1.728383e+01	 152.jpg	 i	 7.749915e-01	 5	 0	 
BMI_bfr_110	 2	 3	 12	 1	 1	 1.910255e+01	 103.jpg	 i	 5.989103e-01	 13	 0	 
BMI_bfr_110	 2	 47	 13	 1	 1	 2.075445e+01	 159.jpg	 i	 5.670325e-01	 15	 0	 
BMI_bfr_110	 2	 17	 14	 1	 1	 2.237297e+01	 122.jpg	 i	 5.460995e-01	 18	 0	 
BMI_bfr_110	 2	 39	 15	 1	 1	 2.397473e+01	 147.jpg	 i	 5.307169e-01	 12	 0	 
BMI_bfr_110	 2	 26	 16	 1	 1	 2.555984e+01	 133.jpg	 i	 6.893774e-01	 55	 1	 
BMI_bfr_110	 2	 40	 17	 1	 1	 2.729503e+01	 150.jpg	 i	 8.780268e-01	 44	 0	 
BMI_bfr_110	 2	 28	 18	 1	 1	 2.921387e+01	 135.jpg	 i	 5.117494e-01	 45	 0	 
BMI_bfr_110	 2	 16	 19	 1	 1	 3.078226e+01	 119.jpg	 i	 6.309410e-01	 4	 0	 
BMI_bfr_110	 2	 30	 20	 1	 1	 3.246754e+01	 137.jpg	 i	 6.219888e-01	 25	 0	 
BMI_bfr_110	 2	 12	 21	 1	 1	 3.413603e+01	 115.jpg	 i	 6.523249e-01	 37	 0	 
BMI_bfr_110	 2	 46	 22	 1	 1	 3.583792e+01	 158.jpg	 i	 6.830237e-01	 57	 0	 
BMI_bfr_110	 2	 31	 23	 1	 1	 3.757320e+01	 138.jpg	 i	 7.590701e-01	 42	 0	 
BMI_bfr_110	 2	 48	 24	 1	 0	 3.937545e+01	 160.jpg	 u	 1.116910e+00	 38	 1	 
BMI_bfr_110	 2	 2	 25	 1	 1	 4.154433e+01	 102.jpg	 i	 7.031383e-01	 35	 1	 
BMI_bfr_110	 2	 21	 26	 1	 1	 4.329627e+01	 126.jpg	 i	 8.075165e-01	 50	 0	 
BMI_bfr_110	 2	 22	 27	 1	 1	 4.514845e+01	 127.jpg	 i	 7.441693e-01	 56	 0	 
BMI_bfr_110	 2	 5	 28	 1	 1	 4.695041e+01	 105.jpg	 i	 7.423628e-01	 8	 1	 
BMI_bfr_110	 2	 9	 29	 1	 1	 4.873574e+01	 110.jpg	 i	 8.020301e-01	 7	 0	 
BMI_bfr_110	 2	 20	 30	 1	 1	 5.058778e+01	 125.jpg	 i	 5.813133e-01	 23	 1	 
BMI_bfr_110	 2	 43	 31	 1	 1	 5.222296e+01	 153.jpg	 i	 7.462345e-01	 19	 1	 
BMI_bfr_110	 2	 24	 32	 1	 1	 5.402501e+01	 129.jpg	 i	 6.655175e-01	 51	 1	 
BMI_bfr_110	 2	 34	 33	 1	 1	 5.574361e+01	 141.jpg	 i	 6.570100e-01	 52	 0	 
BMI_bfr_110	 2	 25	 34	 1	 1	 5.744552e+01	 131.jpg	 i	 6.314210e-01	 43	 1	 
BMI_bfr_110	 2	 41	 35	 1	 1	 5.913075e+01	 151.jpg	 i	 8.587771e-01	 14	 1	 
BMI_bfr_110	 2	 18	 36	 1	 0	 6.103288e+01	 123.jpg	 u	 1.105482e+00	 10	 0	 
BMI_bfr_110	 2	 19	 37	 1	 1	 6.318538e+01	 124.jpg	 i	 6.743100e-01	 6	 1	 
BMI_bfr_110	 2	 38	 38	 1	 0	 6.490390e+01	 146.jpg	 u	 1.397167e+00	 39	 0	 
BMI_bfr_110	 2	 29	 39	 1	 1	 6.735655e+01	 136.jpg	 i	 6.545869e-01	 53	 0	 
BMI_bfr_110	 2	 14	 40	 1	 1	 6.905844e+01	 117.jpg	 i	 9.215469e-01	 49	 1	 
BMI_bfr_110	 2	 7	 41	 1	 1	 7.102738e+01	 108.jpg	 i	 7.076861e-01	 41	 1	 
BMI_bfr_110	 2	 6	 42	 1	 1	 7.277929e+01	 106.jpg	 i	 6.433603e-01	 48	 1	 
BMI_bfr_110	 2	 11	 43	 1	 1	 7.446456e+01	 114.jpg	 i	 6.456762e-01	 9	 1	 
BMI_bfr_110	 2	 27	 44	 1	 1	 7.616654e+01	 134.jpg	 i	 5.862386e-01	 40	 1	 
BMI_bfr_110	 2	 37	 45	 1	 1	 7.780165e+01	 145.jpg	 i	 8.524825e-01	 26	 1	 
