subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BMI_bfr_112	 2	 7	 120.jpg	 1.187737e+03	 11	 9.416951e+02	 110	 6.836670e+02	 98	 1.188772e+03	 700.00	 683.33	 26.00	 20	 0.53	 
BMI_bfr_112	 2	 7	 155.jpg	 1.192743e+03	 12	 999000	 120	 999000	 999	 1.193762e+03	 700.00	 683.33	 15.00	 55	 0.61	 
BMI_bfr_112	 2	 7	 147.jpg	 1.194745e+03	 24	 999000	 240	 999000	 999	 1.195763e+03	 700.00	 683.33	 45.00	 47	 0.38	 
BMI_bfr_112	 2	 7	 150.jpg	 1.196748e+03	 24	 999000	 240	 999000	 999	 1.197767e+03	 700.00	 683.33	 33.00	 50	 0.48	 
BMI_bfr_112	 2	 7	 123.jpg	 1.202738e+03	 12	 999000	 120	 999000	 999	 1.203756e+03	 700.00	 683.33	 2.00	 23	 0.88	 
BMI_bfr_112	 2	 7	 108.jpg	 1.204740e+03	 11	 9.385099e+02	 110	 7.003057e+02	 98	 1.205774e+03	 716.67	 683.33	 17.00	 8	 0.60	 
BMI_bfr_112	 2	 7	 146.jpg	 1.207743e+03	 22	 9.615733e+02	 220	 6.836675e+02	 98	 1.208777e+03	 716.67	 700.00	 54.00	 46	 0.26	 
BMI_bfr_112	 2	 7	 110.jpg	 1.209745e+03	 22	 9.732231e+02	 220	 7.002851e+02	 98	 1.210780e+03	 716.67	 716.67	 46.00	 10	 0.38	 
BMI_bfr_112	 2	 7	 144.jpg	 1.213733e+03	 24	 999000	 240	 999000	 999	 1.214751e+03	 716.67	 716.67	 52.00	 44	 0.27	 
BMI_bfr_112	 2	 7	 112.jpg	 1.215735e+03	 12	 999000	 120	 999000	 999	 1.216753e+03	 716.67	 716.67	 25.00	 12	 0.54	 
BMI_bfr_112	 2	 7	 142.jpg	 1.220741e+03	 22	 1.003139e+03	 2200	 7.169633e+02	 98	 1.221777e+03	 716.67	 666.67	 51.00	 42	 0.27	 
BMI_bfr_112	 2	 7	 135.jpg	 1.227732e+03	 24	 999000	 240	 999000	 999	 1.228750e+03	 716.67	 666.67	 56.00	 35	 0.25	 
BMI_bfr_112	 2	 7	 126.jpg	 1.229734e+03	 12	 999000	 120	 999000	 999	 1.230754e+03	 716.67	 666.67	 29.00	 26	 0.50	 
