subjectID	 scanner	 order	 block	 run	 trial	 onsettime	 ImageLeft	 ImageRight	 bidIndexLeft	 bidIndexRight	 IsleftGo	 Response	 PairType	 Outcome	 RT	 bidLeft	 bidRight	 
BMI_bfr_118	 0	 2	 01	 2	 1	 2.018381e+00	 108.jpg	 140.jpg	 47	 46	 0	 i	 2	 1	 875.10	 0.31	 0.33	 
BMI_bfr_118	 0	 2	 01	 2	 2	 5.021756e+00	 114.jpg	 144.jpg	 41	 50	 1	 u	 2	 1	 785.65	 0.37	 0.29	 
BMI_bfr_118	 0	 2	 01	 2	 3	 9.009542e+00	 136.jpg	 135.jpg	 48	 42	 1	 i	 2	 0	 836.76	 0.30	 0.36	 
BMI_bfr_118	 0	 2	 01	 2	 4	 1.501628e+01	 116.jpg	 149.jpg	 8	 21	 1	 u	 1	 1	 545.29	 0.74	 0.59	 
BMI_bfr_118	 0	 2	 01	 2	 5	 2.100632e+01	 157.jpg	 151.jpg	 12	 9	 0	 i	 1	 1	 1136.81	 0.70	 0.74	 
BMI_bfr_118	 0	 2	 01	 2	 6	 2.601192e+01	 106.jpg	 139.jpg	 54	 45	 1	 u	 2	 1	 518.89	 0.28	 0.34	 
BMI_bfr_118	 0	 2	 01	 2	 7	 3.001641e+01	 127.jpg	 148.jpg	 53	 49	 0	 u	 2	 0	 812.14	 0.28	 0.30	 
BMI_bfr_118	 0	 2	 01	 2	 8	 3.502202e+01	 104.jpg	 102.jpg	 19	 13	 1	 i	 1	 0	 824.21	 0.64	 0.70	 
BMI_bfr_118	 0	 2	 01	 2	 9	 4.101205e+01	 138.jpg	 120.jpg	 39	 43	 0	 i	 2	 1	 706.96	 0.39	 0.36	 
BMI_bfr_118	 0	 2	 01	 2	 10	 4.401542e+01	 142.jpg	 101.jpg	 17	 7	 1	 i	 1	 0	 471.24	 0.65	 0.77	 
BMI_bfr_118	 0	 2	 01	 2	 11	 4.701877e+01	 149.jpg	 105.jpg	 21	 14	 0	 i	 1	 1	 528.06	 0.59	 0.67	 
BMI_bfr_118	 0	 2	 01	 2	 12	 5.100658e+01	 157.jpg	 116.jpg	 12	 8	 0	 i	 1	 1	 635.39	 0.70	 0.74	 
BMI_bfr_118	 0	 2	 01	 2	 13	 5.601218e+01	 153.jpg	 140.jpg	 52	 46	 0	 i	 2	 1	 715.02	 0.29	 0.33	 
BMI_bfr_118	 0	 2	 01	 2	 14	 5.901555e+01	 157.jpg	 126.jpg	 12	 11	 0	 i	 1	 1	 726.84	 0.70	 0.71	 
BMI_bfr_118	 0	 2	 01	 2	 15	 6.201891e+01	 129.jpg	 150.jpg	 23	 58	 1	 u	 3	 1	 839.84	 0.58	 0.19	 
BMI_bfr_118	 0	 2	 01	 2	 16	 6.600671e+01	 136.jpg	 127.jpg	 48	 53	 1	 i	 2	 0	 665.94	 0.30	 0.28	 
BMI_bfr_118	 0	 2	 01	 2	 17	 8.000572e+01	 106.jpg	 153.jpg	 54	 52	 1	 u	 2	 1	 718.84	 0.28	 0.29	 
BMI_bfr_118	 0	 2	 01	 2	 18	 8.801468e+01	 158.jpg	 131.jpg	 55	 26	 0	 u	 3	 0	 1147.75	 0.25	 0.54	 
BMI_bfr_118	 0	 2	 01	 2	 19	 9.402141e+01	 117.jpg	 130.jpg	 56	 4	 0	 i	 4	 1	 473.79	 0.23	 0.88	 
BMI_bfr_118	 0	 2	 01	 2	 20	 9.700808e+01	 133.jpg	 151.jpg	 18	 9	 0	 i	 1	 1	 839.78	 0.64	 0.74	 
BMI_bfr_118	 0	 2	 01	 2	 21	 1.010126e+02	 114.jpg	 127.jpg	 41	 53	 1	 u	 2	 1	 907.98	 0.37	 0.28	 
BMI_bfr_118	 0	 2	 01	 2	 22	 1.070193e+02	 134.jpg	 156.jpg	 22	 20	 1	 u	 1	 1	 1044.05	 0.58	 0.59	 
BMI_bfr_118	 0	 2	 01	 2	 23	 1.100227e+02	 119.jpg	 134.jpg	 15	 22	 0	 x	 1	 999	 999000.00	 0.66	 0.58	 
BMI_bfr_118	 0	 2	 01	 2	 24	 1.130093e+02	 112.jpg	 152.jpg	 36	 5	 0	 i	 4	 1	 1039.30	 0.41	 0.81	 
