subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BMI_bfr_125	 1	 5	 158.jpg	 8.025093e+02	 24	 999000	 240	 999000	 999	 8.035305e+02	 683.33	 683.33	 49.00	 58	 0.26	 
BMI_bfr_125	 1	 5	 101.jpg	 8.074983e+02	 12	 999000	 120	 999000	 999	 8.085188e+02	 683.33	 683.33	 8.00	 1	 0.78	 
BMI_bfr_125	 1	 5	 136.jpg	 8.095006e+02	 22	 999000	 2	 6.836719e+02	 999	 8.105370e+02	 683.33	 633.33	 42.00	 36	 0.34	 
BMI_bfr_125	 1	 5	 157.jpg	 8.115028e+02	 22	 9.707635e+02	 220	 6.336652e+02	 98	 8.125383e+02	 683.33	 650.00	 44.00	 57	 0.31	 
BMI_bfr_125	 1	 5	 159.jpg	 8.174929e+02	 24	 999000	 240	 999000	 999	 8.185109e+02	 683.33	 650.00	 59.00	 59	 0.04	 
BMI_bfr_125	 1	 5	 154.jpg	 8.194951e+02	 24	 999000	 240	 999000	 999	 8.205148e+02	 683.33	 650.00	 33.00	 54	 0.46	 
BMI_bfr_125	 1	 5	 108.jpg	 8.224984e+02	 24	 999000	 240	 999000	 999	 8.235189e+02	 683.33	 650.00	 31.00	 8	 0.48	 
BMI_bfr_125	 1	 5	 109.jpg	 8.245008e+02	 22	 9.220980e+02	 220	 6.503995e+02	 98	 8.255359e+02	 683.33	 666.67	 57.00	 9	 0.11	 
BMI_bfr_125	 1	 5	 146.jpg	 8.285052e+02	 12	 999000	 120	 999000	 999	 8.295257e+02	 683.33	 666.67	 29.00	 46	 0.55	 
BMI_bfr_125	 1	 5	 105.jpg	 8.305074e+02	 12	 999000	 120	 999000	 999	 8.315281e+02	 683.33	 666.67	 16.00	 5	 0.70	 
BMI_bfr_125	 1	 5	 144.jpg	 8.354963e+02	 24	 999000	 240	 999000	 999	 8.365146e+02	 683.33	 666.67	 54.00	 44	 0.20	 
BMI_bfr_125	 1	 5	 103.jpg	 8.425043e+02	 11	 9.419176e+02	 110	 6.836971e+02	 98	 8.435391e+02	 700.00	 666.67	 12.00	 3	 0.74	 
BMI_bfr_125	 1	 5	 149.jpg	 8.445064e+02	 22	 9.536558e+02	 220	 6.671185e+02	 98	 8.455411e+02	 700.00	 683.33	 36.00	 49	 0.44	 
BMI_bfr_125	 1	 5	 120.jpg	 8.474931e+02	 11	 9.483588e+02	 110	 7.003374e+02	 98	 8.485293e+02	 716.67	 683.33	 10.00	 20	 0.77	 
BMI_bfr_125	 1	 5	 107.jpg	 8.504964e+02	 24	 999000	 240	 999000	 999	 8.515161e+02	 716.67	 683.33	 58.00	 7	 0.09	 
BMI_bfr_125	 1	 5	 147.jpg	 8.545010e+02	 12	 999000	 120	 999000	 999	 8.555219e+02	 716.67	 683.33	 23.00	 47	 0.60	 
BMI_bfr_125	 1	 5	 151.jpg	 8.585054e+02	 11	 1.051556e+03	 1100	 7.170052e+02	 98	 8.595422e+02	 666.67	 683.33	 20.00	 51	 0.66	 
BMI_bfr_125	 1	 5	 143.jpg	 8.624934e+02	 24	 999000	 240	 999000	 999	 8.635110e+02	 666.67	 683.33	 35.00	 43	 0.45	 
BMI_bfr_125	 1	 5	 116.jpg	 8.654967e+02	 12	 999000	 120	 999000	 999	 8.665162e+02	 666.67	 683.33	 28.00	 16	 0.55	 
BMI_bfr_125	 1	 5	 102.jpg	 8.715033e+02	 11	 9.242930e+02	 110	 6.671047e+02	 98	 8.725382e+02	 683.33	 683.33	 7.00	 2	 0.81	 
BMI_bfr_125	 1	 5	 106.jpg	 8.735056e+02	 11	 9.695083e+02	 110	 6.836699e+02	 98	 8.745416e+02	 700.00	 683.33	 25.00	 6	 0.59	 
BMI_bfr_125	 1	 5	 123.jpg	 8.764921e+02	 12	 999000	 120	 999000	 999	 8.775128e+02	 700.00	 683.33	 6.00	 23	 0.81	 
BMI_bfr_125	 1	 5	 128.jpg	 8.784945e+02	 11	 9.758623e+02	 110	 7.003475e+02	 98	 8.795306e+02	 716.67	 683.33	 21.00	 28	 0.65	 
BMI_bfr_125	 1	 5	 119.jpg	 8.804967e+02	 22	 9.312448e+02	 220	 6.836676e+02	 98	 8.815317e+02	 716.67	 700.00	 52.00	 19	 0.23	 
BMI_bfr_125	 1	 5	 160.jpg	 8.824991e+02	 24	 999000	 240	 999000	 999	 8.835171e+02	 716.67	 700.00	 34.00	 60	 0.45	 
BMI_bfr_125	 1	 5	 115.jpg	 8.855023e+02	 12	 999000	 120	 999000	 999	 8.865231e+02	 716.67	 700.00	 9.00	 15	 0.78	 
BMI_bfr_125	 1	 5	 153.jpg	 8.895068e+02	 11	 1.022983e+03	 1100	 7.170095e+02	 98	 8.905436e+02	 666.67	 700.00	 5.00	 53	 0.82	 
BMI_bfr_125	 1	 5	 133.jpg	 8.914921e+02	 11	 8.938909e+02	 110	 6.669999e+02	 98	 8.925280e+02	 683.33	 700.00	 18.00	 33	 0.67	 
BMI_bfr_125	 1	 5	 113.jpg	 8.934947e+02	 12	 999000	 120	 999000	 999	 8.945156e+02	 683.33	 700.00	 3.00	 13	 0.87	 
BMI_bfr_125	 1	 5	 126.jpg	 8.954969e+02	 11	 9.279699e+02	 110	 6.836744e+02	 98	 8.965332e+02	 700.00	 700.00	 13.00	 26	 0.72	 
BMI_bfr_125	 1	 5	 138.jpg	 8.974992e+02	 22	 9.620373e+02	 220	 7.003372e+02	 98	 8.985336e+02	 700.00	 716.67	 37.00	 38	 0.43	 
BMI_bfr_125	 1	 5	 112.jpg	 8.995014e+02	 12	 999000	 120	 999000	 999	 9.005222e+02	 700.00	 716.67	 30.00	 12	 0.49	 
BMI_bfr_125	 1	 5	 142.jpg	 9.035058e+02	 12	 999000	 120	 999000	 999	 9.045265e+02	 700.00	 716.67	 22.00	 42	 0.60	 
BMI_bfr_125	 1	 5	 139.jpg	 9.074937e+02	 24	 999000	 240	 999000	 999	 9.085119e+02	 700.00	 716.67	 51.00	 39	 0.25	 
BMI_bfr_125	 1	 5	 150.jpg	 9.094959e+02	 22	 1.014753e+03	 2200	 7.169958e+02	 98	 9.105323e+02	 700.00	 666.67	 50.00	 50	 0.25	 
BMI_bfr_125	 1	 5	 134.jpg	 9.114982e+02	 12	 999000	 120	 999000	 999	 9.125190e+02	 700.00	 666.67	 27.00	 34	 0.56	 
BMI_bfr_125	 1	 5	 125.jpg	 9.135004e+02	 22	 9.028856e+02	 220	 6.670172e+02	 98	 9.145353e+02	 700.00	 683.33	 47.00	 25	 0.28	 
BMI_bfr_125	 1	 5	 140.jpg	 9.155027e+02	 22	 9.481219e+02	 220	 6.837730e+02	 98	 9.165387e+02	 700.00	 700.00	 53.00	 40	 0.23	 
BMI_bfr_125	 1	 5	 124.jpg	 9.214924e+02	 24	 999000	 240	 999000	 999	 9.225134e+02	 700.00	 700.00	 38.00	 24	 0.40	 
BMI_bfr_125	 1	 5	 152.jpg	 9.234950e+02	 11	 9.662425e+02	 110	 7.003471e+02	 98	 9.245310e+02	 716.67	 700.00	 4.00	 52	 0.83	 
BMI_bfr_125	 1	 5	 104.jpg	 9.254972e+02	 24	 999000	 240	 999000	 999	 9.265162e+02	 716.67	 700.00	 32.00	 4	 0.48	 
BMI_bfr_125	 1	 5	 122.jpg	 9.274994e+02	 12	 999000	 120	 999000	 999	 9.285194e+02	 716.67	 700.00	 11.00	 22	 0.76	 
BMI_bfr_125	 1	 5	 145.jpg	 9.305028e+02	 24	 999000	 240	 999000	 999	 9.315232e+02	 716.67	 700.00	 60.00	 45	 0.03	 
BMI_bfr_125	 1	 5	 127.jpg	 9.325051e+02	 11	 9.677895e+02	 110	 7.170026e+02	 98	 9.335400e+02	 733.33	 700.00	 15.00	 27	 0.71	 
BMI_bfr_125	 1	 5	 137.jpg	 9.394962e+02	 24	 999000	 240	 999000	 999	 9.405168e+02	 733.33	 700.00	 55.00	 37	 0.19	 
BMI_bfr_125	 1	 5	 129.jpg	 9.414985e+02	 22	 9.860078e+02	 220	 7.003353e+02	 98	 9.425331e+02	 733.33	 716.67	 39.00	 29	 0.40	 
BMI_bfr_125	 1	 5	 132.jpg	 9.455029e+02	 24	 999000	 240	 999000	 999	 9.465237e+02	 733.33	 716.67	 41.00	 32	 0.34	 
BMI_bfr_125	 1	 5	 156.jpg	 9.494905e+02	 24	 999000	 240	 999000	 999	 9.505090e+02	 733.33	 716.67	 48.00	 56	 0.26	 
BMI_bfr_125	 1	 5	 131.jpg	 9.524941e+02	 22	 1.016140e+03	 2200	 7.170017e+02	 98	 9.535295e+02	 733.33	 666.67	 45.00	 31	 0.30	 
BMI_bfr_125	 1	 5	 121.jpg	 9.544965e+02	 11	 1.094925e+03	 1100	 7.336652e+02	 98	 9.555323e+02	 683.33	 666.67	 24.00	 21	 0.59	 
BMI_bfr_125	 1	 5	 114.jpg	 9.585008e+02	 12	 999000	 120	 999000	 999	 9.595209e+02	 683.33	 666.67	 17.00	 14	 0.67	 
BMI_bfr_125	 1	 5	 118.jpg	 9.605031e+02	 12	 999000	 120	 999000	 999	 9.615228e+02	 683.33	 666.67	 2.00	 18	 0.94	 
BMI_bfr_125	 1	 5	 135.jpg	 9.635065e+02	 24	 999000	 240	 999000	 999	 9.645270e+02	 683.33	 666.67	 43.00	 35	 0.32	 
BMI_bfr_125	 1	 5	 155.jpg	 9.674942e+02	 12	 999000	 120	 999000	 999	 9.685132e+02	 683.33	 666.67	 26.00	 55	 0.58	 
BMI_bfr_125	 1	 5	 130.jpg	 9.694966e+02	 12	 999000	 120	 999000	 999	 9.705167e+02	 683.33	 666.67	 1.00	 30	 0.97	 
BMI_bfr_125	 1	 5	 117.jpg	 9.745021e+02	 12	 -2.087270e+01	 12	 999000	 98	 9.755197e+02	 683.33	 666.67	 14.00	 17	 0.71	 
BMI_bfr_125	 1	 5	 148.jpg	 9.765043e+02	 24	 999000	 240	 999000	 999	 9.775227e+02	 683.33	 666.67	 46.00	 48	 0.28	 
BMI_bfr_125	 1	 5	 141.jpg	 9.804921e+02	 22	 9.754688e+02	 220	 6.670105e+02	 98	 9.815271e+02	 683.33	 683.33	 56.00	 41	 0.18	 
BMI_bfr_125	 1	 5	 110.jpg	 9.834955e+02	 24	 999000	 240	 999000	 999	 9.845164e+02	 683.33	 683.33	 40.00	 10	 0.38	 
BMI_bfr_125	 1	 5	 111.jpg	 9.864988e+02	 12	 999000	 120	 999000	 999	 9.875199e+02	 683.33	 683.33	 19.00	 11	 0.67	 
