subjectID	 scanner	 order	 block	 run	 trial	 onsettime	 ImageLeft	 ImageRight	 bidIndexLeft	 bidIndexRight	 IsleftGo	 Response	 PairType	 Outcome	 RT	 bidLeft	 bidRight	 
BMI_bfr_128	 0	 2	 01	 2	 1	 2.018420e+00	 106.jpg	 101.jpg	 20	 11	 0	 i	 1	 1	 713.91	 0.64	 0.73	 
BMI_bfr_128	 0	 2	 01	 2	 2	 7.007343e+00	 126.jpg	 138.jpg	 23	 35	 1	 u	 3	 1	 720.25	 0.59	 0.46	 
BMI_bfr_128	 0	 2	 01	 2	 3	 1.501632e+01	 152.jpg	 154.jpg	 9	 18	 1	 u	 1	 1	 845.32	 0.76	 0.67	 
BMI_bfr_128	 0	 2	 01	 2	 4	 1.801968e+01	 154.jpg	 155.jpg	 18	 22	 0	 u	 1	 0	 767.14	 0.67	 0.62	 
BMI_bfr_128	 0	 2	 01	 2	 5	 2.501084e+01	 140.jpg	 105.jpg	 40	 52	 1	 u	 2	 1	 751.30	 0.41	 0.20	 
BMI_bfr_128	 0	 2	 01	 2	 6	 2.801421e+01	 152.jpg	 143.jpg	 9	 15	 1	 u	 1	 1	 639.28	 0.76	 0.69	 
BMI_bfr_128	 0	 2	 01	 2	 7	 3.900986e+01	 136.jpg	 125.jpg	 53	 51	 0	 u	 2	 0	 860.41	 0.19	 0.22	 
BMI_bfr_128	 0	 2	 01	 2	 8	 4.301436e+01	 110.jpg	 126.jpg	 38	 23	 0	 i	 3	 1	 1063.59	 0.43	 0.59	 
BMI_bfr_128	 0	 2	 01	 2	 9	 4.701884e+01	 135.jpg	 104.jpg	 46	 50	 1	 i	 2	 0	 884.30	 0.31	 0.23	 
BMI_bfr_128	 0	 2	 01	 2	 10	 5.000552e+01	 104.jpg	 149.jpg	 50	 48	 0	 u	 2	 0	 980.27	 0.23	 0.27	 
BMI_bfr_128	 0	 2	 01	 2	 11	 5.300887e+01	 152.jpg	 144.jpg	 9	 10	 1	 u	 1	 1	 609.54	 0.76	 0.75	 
BMI_bfr_128	 0	 2	 01	 2	 12	 5.801448e+01	 103.jpg	 112.jpg	 8	 13	 1	 u	 1	 1	 610.40	 0.76	 0.70	 
BMI_bfr_128	 0	 2	 01	 2	 13	 6.201898e+01	 135.jpg	 105.jpg	 46	 52	 1	 i	 2	 0	 791.06	 0.31	 0.20	 
BMI_bfr_128	 0	 2	 01	 2	 14	 7.101238e+01	 113.jpg	 127.jpg	 21	 19	 0	 i	 1	 1	 640.56	 0.63	 0.65	 
BMI_bfr_128	 0	 2	 01	 2	 15	 7.401574e+01	 136.jpg	 135.jpg	 53	 46	 0	 u	 2	 0	 697.43	 0.19	 0.31	 
BMI_bfr_128	 0	 2	 01	 2	 16	 7.902135e+01	 140.jpg	 120.jpg	 40	 44	 1	 u	 2	 1	 765.79	 0.41	 0.36	 
BMI_bfr_128	 0	 2	 01	 2	 17	 8.501139e+01	 127.jpg	 154.jpg	 19	 18	 1	 i	 1	 0	 963.51	 0.65	 0.67	 
BMI_bfr_128	 0	 2	 01	 2	 18	 8.801476e+01	 110.jpg	 134.jpg	 38	 3	 0	 x	 3	 999	 999000.00	 0.43	 0.84	 
BMI_bfr_128	 0	 2	 01	 2	 19	 9.302037e+01	 135.jpg	 160.jpg	 46	 45	 1	 u	 2	 1	 796.12	 0.31	 0.32	 
BMI_bfr_128	 0	 2	 01	 2	 20	 9.700817e+01	 105.jpg	 131.jpg	 52	 54	 0	 i	 2	 1	 1072.26	 0.20	 0.19	 
BMI_bfr_128	 0	 2	 01	 2	 21	 1.020138e+02	 119.jpg	 139.jpg	 37	 24	 0	 i	 4	 1	 600.61	 0.44	 0.58	 
BMI_bfr_128	 0	 2	 01	 2	 22	 1.070194e+02	 154.jpg	 101.jpg	 18	 11	 0	 i	 1	 1	 657.76	 0.67	 0.73	 
BMI_bfr_128	 0	 2	 01	 2	 23	 1.100061e+02	 143.jpg	 127.jpg	 15	 19	 0	 u	 1	 0	 731.18	 0.69	 0.65	 
BMI_bfr_128	 0	 2	 01	 2	 24	 1.130094e+02	 136.jpg	 149.jpg	 53	 48	 0	 u	 2	 0	 652.93	 0.19	 0.27	 
BMI_bfr_128	 0	 2	 01	 2	 25	 1.250062e+02	 123.jpg	 104.jpg	 43	 50	 1	 u	 2	 1	 750.49	 0.38	 0.23	 
BMI_bfr_128	 0	 2	 01	 2	 26	 1.290107e+02	 147.jpg	 152.jpg	 12	 9	 0	 u	 1	 0	 616.17	 0.71	 0.76	 
BMI_bfr_128	 0	 2	 01	 2	 27	 1.320141e+02	 136.jpg	 123.jpg	 53	 43	 0	 i	 2	 1	 830.45	 0.19	 0.38	 
BMI_bfr_128	 0	 2	 01	 2	 28	 1.390052e+02	 118.jpg	 146.jpg	 7	 17	 0	 u	 1	 0	 679.62	 0.79	 0.69	 
BMI_bfr_128	 0	 2	 01	 2	 29	 1.420086e+02	 159.jpg	 115.jpg	 57	 4	 0	 i	 4	 1	 770.14	 0.18	 0.79	 
BMI_bfr_128	 0	 2	 01	 2	 30	 1.490164e+02	 123.jpg	 141.jpg	 43	 47	 1	 u	 2	 1	 580.17	 0.38	 0.28	 
BMI_bfr_128	 0	 2	 01	 2	 31	 1.540054e+02	 156.jpg	 120.jpg	 49	 44	 1	 i	 2	 0	 642.67	 0.25	 0.36	 
BMI_bfr_128	 0	 2	 01	 2	 32	 1.580098e+02	 147.jpg	 103.jpg	 12	 8	 0	 i	 1	 1	 553.34	 0.71	 0.76	 
BMI_bfr_128	 0	 2	 01	 2	 33	 1.630154e+02	 123.jpg	 160.jpg	 43	 45	 1	 u	 2	 1	 1026.74	 0.38	 0.32	 
BMI_bfr_128	 0	 2	 01	 2	 34	 1.690055e+02	 155.jpg	 143.jpg	 22	 15	 1	 i	 1	 0	 594.44	 0.62	 0.69	 
BMI_bfr_128	 0	 2	 01	 2	 35	 1.730100e+02	 108.jpg	 124.jpg	 6	 55	 1	 u	 3	 1	 831.40	 0.79	 0.18	 
BMI_bfr_128	 0	 2	 01	 2	 36	 1.760133e+02	 160.jpg	 131.jpg	 45	 54	 0	 u	 2	 0	 1011.97	 0.32	 0.19	 
BMI_bfr_128	 0	 2	 01	 2	 37	 1.790167e+02	 105.jpg	 125.jpg	 52	 51	 0	 u	 2	 0	 697.47	 0.20	 0.22	 
BMI_bfr_128	 0	 2	 01	 2	 38	 1.820201e+02	 153.jpg	 158.jpg	 39	 41	 0	 u	 2	 0	 607.96	 0.41	 0.40	 
BMI_bfr_128	 0	 2	 01	 2	 39	 1.860079e+02	 105.jpg	 123.jpg	 52	 43	 0	 i	 2	 1	 805.35	 0.20	 0.38	 
BMI_bfr_128	 0	 2	 01	 2	 40	 1.900123e+02	 104.jpg	 125.jpg	 50	 51	 0	 u	 2	 0	 716.08	 0.23	 0.22	 
BMI_bfr_128	 0	 2	 01	 2	 41	 1.960191e+02	 130.jpg	 118.jpg	 16	 7	 1	 i	 1	 0	 582.10	 0.69	 0.79	 
BMI_bfr_128	 0	 2	 01	 2	 42	 2.050125e+02	 128.jpg	 137.jpg	 5	 36	 1	 u	 4	 1	 802.85	 0.79	 0.46	 
BMI_bfr_128	 0	 2	 01	 2	 43	 2.080158e+02	 137.jpg	 139.jpg	 36	 24	 0	 u	 4	 0	 555.91	 0.46	 0.58	 
BMI_bfr_128	 0	 2	 01	 2	 44	 2.120203e+02	 146.jpg	 154.jpg	 17	 18	 1	 i	 1	 0	 579.08	 0.69	 0.67	 
BMI_bfr_128	 0	 2	 01	 2	 45	 2.170092e+02	 155.jpg	 113.jpg	 22	 21	 1	 i	 1	 0	 585.40	 0.62	 0.63	 
BMI_bfr_128	 0	 2	 01	 2	 46	 2.200126e+02	 118.jpg	 155.jpg	 7	 22	 0	 u	 1	 0	 585.88	 0.79	 0.62	 
BMI_bfr_128	 0	 2	 01	 2	 47	 2.240171e+02	 158.jpg	 136.jpg	 41	 53	 1	 i	 2	 0	 642.85	 0.40	 0.19	 
BMI_bfr_128	 0	 2	 01	 2	 48	 2.340116e+02	 138.jpg	 108.jpg	 35	 6	 0	 i	 3	 1	 1043.77	 0.46	 0.79	 
BMI_bfr_128	 0	 2	 01	 2	 49	 2.370150e+02	 119.jpg	 115.jpg	 37	 4	 0	 i	 4	 1	 976.79	 0.44	 0.79	 
BMI_bfr_128	 0	 2	 01	 2	 50	 2.470095e+02	 101.jpg	 144.jpg	 11	 10	 1	 i	 1	 0	 972.72	 0.73	 0.75	 
BMI_bfr_128	 0	 2	 01	 2	 51	 2.520151e+02	 112.jpg	 155.jpg	 13	 22	 0	 u	 1	 0	 861.08	 0.70	 0.62	 
BMI_bfr_128	 0	 2	 01	 2	 52	 2.570207e+02	 151.jpg	 143.jpg	 14	 15	 1	 i	 1	 0	 693.21	 0.69	 0.69	 
BMI_bfr_128	 0	 2	 01	 2	 53	 2.620097e+02	 140.jpg	 160.jpg	 40	 45	 1	 u	 2	 1	 598.25	 0.41	 0.32	 
BMI_bfr_128	 0	 2	 01	 2	 54	 2.650130e+02	 114.jpg	 108.jpg	 58	 6	 0	 i	 3	 1	 621.30	 0.13	 0.79	 
BMI_bfr_128	 0	 2	 01	 2	 55	 2.690175e+02	 104.jpg	 156.jpg	 50	 49	 0	 u	 2	 0	 723.27	 0.23	 0.25	 
BMI_bfr_128	 0	 2	 01	 2	 56	 2.770098e+02	 141.jpg	 140.jpg	 47	 40	 0	 i	 2	 1	 550.07	 0.28	 0.41	 
BMI_bfr_128	 0	 2	 01	 2	 57	 2.810143e+02	 130.jpg	 144.jpg	 16	 10	 1	 i	 1	 0	 562.00	 0.69	 0.75	 
