subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
p_101	 1	 7	 8350.jpg	 1.163705e+03	 22	 9.345764e+02	 220	 6.839157e+02	 98	 1.164761e+03	 550.00	 700.00	 45.00	 53	 0.31	 
p_101	 1	 7	 2345.jpg	 1.166697e+03	 11	 8.233352e+02	 110	 5.505835e+02	 98	 1.167752e+03	 566.67	 700.00	 10.00	 15	 0.72	 
p_101	 1	 7	 2303.jpg	 1.168686e+03	 22	 9.936673e+02	 220	 7.005607e+02	 98	 1.169742e+03	 566.67	 716.67	 39.00	 14	 0.38	 
p_101	 1	 7	 5260.jpg	 1.170689e+03	 12	 999000	 120	 999000	 999	 1.171731e+03	 566.67	 716.67	 28.00	 32	 0.57	 
p_101	 1	 7	 2091.jpg	 1.172692e+03	 11	 8.595318e+02	 110	 5.671979e+02	 98	 1.173748e+03	 583.33	 716.67	 12.00	 9	 0.71	 
p_101	 1	 7	 4626.jpg	 1.175697e+03	 12	 999000	 120	 999000	 999	 1.176739e+03	 583.33	 716.67	 30.00	 28	 0.49	 
p_101	 1	 7	 8502.jpg	 1.177687e+03	 24	 999000	 240	 999000	 999	 1.178729e+03	 583.33	 716.67	 57.00	 59	 0.18	 
p_101	 1	 7	 4601.jpg	 1.181693e+03	 22	 1.123159e+03	 2200	 7.172124e+02	 98	 1.182748e+03	 583.33	 666.67	 53.00	 23	 0.22	 
p_101	 1	 7	 8210.jpg	 1.183696e+03	 24	 999000	 240	 999000	 999	 1.184738e+03	 583.33	 666.67	 55.00	 49	 0.21	 
p_101	 1	 7	 7282.jpg	 1.188690e+03	 24	 999000	 240	 999000	 999	 1.189732e+03	 583.33	 666.67	 58.00	 38	 0.14	 
p_101	 1	 7	 1721.jpg	 1.190693e+03	 11	 9.387614e+02	 110	 5.838755e+02	 98	 1.191748e+03	 600.00	 666.67	 20.00	 5	 0.64	 
p_101	 1	 7	 5626.jpg	 1.194699e+03	 12	 999000	 120	 999000	 999	 1.195741e+03	 600.00	 666.67	 11.00	 34	 0.71	 
p_101	 1	 7	 8470.jpg	 1.196689e+03	 11	 8.789659e+02	 110	 6.005563e+02	 98	 1.197744e+03	 616.67	 666.67	 13.00	 57	 0.71	 
p_101	 1	 7	 5480.jpg	 1.199693e+03	 11	 9.143735e+02	 110	 6.172151e+02	 98	 1.200749e+03	 633.33	 666.67	 18.00	 33	 0.65	 
p_101	 1	 7	 2362.jpg	 1.204687e+03	 24	 999000	 240	 999000	 999	 1.205729e+03	 633.33	 666.67	 41.00	 19	 0.36	 
p_101	 1	 7	 7660.jpg	 1.206690e+03	 24	 999000	 240	 999000	 999	 1.207733e+03	 633.33	 666.67	 59.00	 44	 0.14	 
p_101	 1	 7	 8208.jpg	 1.208694e+03	 22	 1.066008e+03	 2200	 6.672364e+02	 98	 1.209749e+03	 633.33	 616.67	 44.00	 48	 0.31	 
p_101	 1	 7	 1660.jpg	 1.212686e+03	 12	 999000	 120	 999000	 999	 1.213728e+03	 633.33	 616.67	 27.00	 3	 0.57	 
