subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
p_131	 1	 7	 4610.jpg	 1.178742e+03	 12	 999000	 120	 999000	 999	 1.179784e+03	 683.33	 683.33	 30.00	 26	 0.49	 
p_131	 1	 7	 2362.jpg	 1.183723e+03	 12	 999000	 120	 999000	 999	 1.184765e+03	 683.33	 683.33	 22.00	 19	 0.63	 
p_131	 1	 7	 4626.jpg	 1.185726e+03	 22	 9.262118e+02	 220	 6.838896e+02	 98	 1.186781e+03	 683.33	 700.00	 50.00	 28	 0.23	 
p_131	 1	 7	 2058.jpg	 1.187729e+03	 11	 9.391576e+02	 110	 6.838981e+02	 98	 1.188784e+03	 700.00	 700.00	 10.00	 8	 0.76	 
p_131	 1	 7	 2303.jpg	 1.193724e+03	 12	 999000	 120	 999000	 999	 1.194766e+03	 700.00	 700.00	 9.00	 14	 0.76	 
p_131	 1	 7	 2155.jpg	 1.195727e+03	 24	 999000	 240	 999000	 999	 1.196769e+03	 700.00	 700.00	 54.00	 10	 0.19	 
p_131	 1	 7	 7291.jpg	 1.198732e+03	 12	 999000	 120	 999000	 999	 1.199774e+03	 700.00	 700.00	 26.00	 39	 0.53	 
p_131	 1	 7	 8208.jpg	 1.200722e+03	 24	 999000	 240	 999000	 999	 1.201764e+03	 700.00	 700.00	 49.00	 48	 0.23	 
p_131	 1	 7	 8350.jpg	 1.204728e+03	 24	 999000	 240	 999000	 999	 1.205770e+03	 700.00	 700.00	 46.00	 53	 0.28	 
p_131	 1	 7	 2550.jpg	 1.206731e+03	 12	 999000	 120	 999000	 999	 1.207773e+03	 700.00	 700.00	 2.00	 21	 0.89	 
p_131	 1	 7	 8001.jpg	 1.211725e+03	 24	 999000	 240	 999000	 999	 1.212767e+03	 700.00	 700.00	 60.00	 45	 0.14	 
p_131	 1	 7	 7260.jpg	 1.218722e+03	 22	 9.851928e+02	 220	 7.005447e+02	 98	 1.219778e+03	 700.00	 716.67	 39.00	 37	 0.40	 
p_131	 1	 7	 1590.jpg	 1.220725e+03	 12	 999000	 120	 999000	 999	 1.221767e+03	 700.00	 716.67	 1.00	 2	 0.89	 
p_131	 1	 7	 4640.jpg	 1.223730e+03	 24	 999000	 240	 999000	 999	 1.224772e+03	 700.00	 716.67	 56.00	 29	 0.17	 
p_131	 1	 7	 7480.jpg	 1.226734e+03	 24	 999000	 240	 999000	 999	 1.227776e+03	 700.00	 716.67	 33.00	 42	 0.47	 
p_131	 1	 7	 8220.jpg	 1.230727e+03	 12	 999000	 120	 999000	 999	 1.231769e+03	 700.00	 716.67	 29.00	 50	 0.50	 
p_131	 1	 7	 7470.jpg	 1.234733e+03	 11	 1.054163e+03	 1100	 7.005570e+02	 98	 1.235788e+03	 650.00	 716.67	 24.00	 41	 0.55	 
p_131	 1	 7	 1721.jpg	 1.238726e+03	 12	 999000	 120	 999000	 999	 1.239768e+03	 650.00	 716.67	 6.00	 5	 0.80	 
