subjectID	 scanner	 order	 block	 run	 trial	 onsettime	 ImageLeft	 ImageRight	 bidIndexLeft	 bidIndexRight	 IsleftGo	 Response	 PairType	 Outcome	 RT	 bidLeft	 bidRight	 
n_126	 0	 2	 01	 1	 1	 2.015720e+00	 2205.jpg	 9341.jpg	 40	 52	 1	 x	 2	 999	 999000.00	 0.36	 0.24	 
n_126	 0	 2	 01	 1	 2	 7.023304e+00	 3180.jpg	 6370.jpg	 14	 10	 1	 i	 1	 0	 851.95	 0.72	 0.75	 
n_126	 0	 2	 01	 1	 3	 1.502208e+01	 9042.jpg	 9325.jpg	 47	 54	 0	 i	 2	 1	 869.07	 0.28	 0.19	 
n_126	 0	 2	 01	 1	 4	 1.801328e+01	 10003.JPG	 6555.jpg	 48	 50	 1	 i	 2	 0	 1173.84	 0.28	 0.26	 
n_126	 0	 2	 01	 1	 5	 2.502390e+01	 9042.jpg	 9480.jpg	 47	 43	 0	 i	 2	 1	 915.18	 0.28	 0.33	 
n_126	 0	 2	 01	 1	 6	 2.801509e+01	 2039.jpg	 6210.jpg	 18	 17	 0	 i	 1	 1	 1363.93	 0.66	 0.67	 
n_126	 0	 2	 01	 1	 7	 3.901842e+01	 9495.jpg	 7359.jpg	 8	 7	 1	 x	 1	 999	 999000.00	 0.76	 0.76	 
n_126	 0	 2	 01	 1	 8	 4.302449e+01	 6570.1.JPG	 6370.jpg	 22	 10	 1	 i	 1	 0	 738.39	 0.62	 0.75	 
n_126	 0	 2	 01	 1	 9	 4.701720e+01	 6370.jpg	 2455.jpg	 10	 19	 0	 x	 1	 999	 999000.00	 0.75	 0.64	 
n_126	 0	 2	 01	 1	 10	 5.002175e+01	 9322.jpg	 9300.jpg	 39	 49	 0	 i	 2	 1	 829.04	 0.36	 0.28	 
n_126	 0	 2	 01	 1	 11	 5.301295e+01	 9495.jpg	 2457.jpg	 8	 21	 1	 x	 1	 999	 999000.00	 0.76	 0.64	 
n_126	 0	 2	 01	 1	 12	 5.802054e+01	 1111.jpg	 9042.jpg	 41	 47	 1	 x	 2	 999	 999000.00	 0.35	 0.28	 
n_126	 0	 2	 01	 1	 13	 6.201325e+01	 6555.jpg	 9300.jpg	 50	 49	 0	 u	 2	 0	 1189.45	 0.26	 0.28	 
n_126	 0	 2	 01	 1	 14	 7.101354e+01	 9301.jpg	 9322.jpg	 51	 39	 1	 u	 2	 1	 1341.05	 0.26	 0.36	 
n_126	 0	 2	 01	 1	 15	 7.401809e+01	 2457.jpg	 6210.jpg	 21	 17	 0	 x	 1	 999	 999000.00	 0.64	 0.67	 
n_126	 0	 2	 01	 1	 16	 7.902568e+01	 6838.jpg	 2456.jpg	 38	 26	 0	 u	 3	 0	 576.86	 0.43	 0.59	 
n_126	 0	 2	 01	 1	 17	 8.502142e+01	 6560.JPG	 9490.jpg	 13	 16	 0	 u	 1	 0	 821.05	 0.73	 0.70	 
n_126	 0	 2	 01	 1	 18	 8.801262e+01	 2457.jpg	 9090.jpg	 21	 11	 0	 x	 1	 999	 999000.00	 0.64	 0.74	 
n_126	 0	 2	 01	 1	 19	 9.302020e+01	 6210.jpg	 6370.jpg	 17	 10	 1	 i	 1	 0	 534.19	 0.67	 0.75	 
n_126	 0	 2	 01	 1	 20	 9.701291e+01	 6210.jpg	 9120.jpg	 17	 15	 1	 u	 1	 1	 781.44	 0.67	 0.71	 
n_126	 0	 2	 01	 1	 21	 1.020205e+02	 6370.jpg	 9090.jpg	 10	 11	 0	 u	 1	 0	 749.79	 0.75	 0.74	 
n_126	 0	 2	 01	 1	 22	 1.070147e+02	 10003.JPG	 10005.JPG	 48	 45	 1	 u	 2	 1	 587.50	 0.28	 0.32	 
n_126	 0	 2	 01	 1	 23	 1.100193e+02	 6560.JPG	 6570.1.JPG	 13	 22	 0	 u	 1	 0	 862.91	 0.73	 0.62	 
n_126	 0	 2	 01	 1	 24	 1.130238e+02	 6210.jpg	 7359.jpg	 17	 7	 1	 u	 1	 1	 770.28	 0.67	 0.76	 
n_126	 0	 2	 01	 1	 25	 1.250153e+02	 3180.jpg	 7359.jpg	 14	 7	 1	 u	 1	 1	 1066.74	 0.72	 0.76	 
n_126	 0	 2	 01	 1	 26	 1.290214e+02	 2039.jpg	 6570.1.JPG	 18	 22	 0	 u	 1	 0	 804.63	 0.66	 0.62	 
n_126	 0	 2	 01	 1	 27	 1.320126e+02	 10005.JPG	 9325.jpg	 45	 54	 0	 i	 2	 1	 789.37	 0.32	 0.19	 
n_126	 0	 2	 01	 1	 28	 1.390232e+02	 9325.jpg	 9561.jpg	 54	 44	 1	 i	 2	 0	 1010.73	 0.19	 0.33	 
n_126	 0	 2	 01	 1	 29	 1.420144e+02	 9561.jpg	 9300.jpg	 44	 49	 0	 u	 2	 0	 1347.50	 0.33	 0.28	 
n_126	 0	 2	 01	 1	 30	 1.490250e+02	 6570.1.JPG	 7359.jpg	 22	 7	 1	 u	 1	 1	 992.79	 0.62	 0.76	 
n_126	 0	 2	 01	 1	 31	 1.540192e+02	 2457.jpg	 9490.jpg	 21	 16	 0	 u	 1	 0	 926.37	 0.64	 0.70	 
n_126	 0	 2	 01	 1	 32	 1.580253e+02	 9495.jpg	 2799.jpg	 8	 20	 1	 u	 1	 1	 1064.40	 0.76	 0.64	 
n_126	 0	 2	 01	 1	 33	 1.630195e+02	 6570.1.JPG	 2457.jpg	 22	 21	 1	 i	 1	 0	 662.14	 0.62	 0.64	 
n_126	 0	 2	 01	 1	 34	 1.690153e+02	 9291.jpg	 6210.jpg	 12	 17	 0	 u	 1	 0	 874.35	 0.73	 0.67	 
n_126	 0	 2	 01	 1	 35	 1.730214e+02	 9042.jpg	 9300.jpg	 47	 49	 0	 i	 2	 1	 1124.23	 0.28	 0.28	 
n_126	 0	 2	 01	 1	 36	 1.760126e+02	 9301.jpg	 9561.jpg	 51	 44	 1	 i	 2	 0	 1140.94	 0.26	 0.33	 
n_126	 0	 2	 01	 1	 37	 1.790171e+02	 2205.jpg	 10005.JPG	 40	 45	 1	 x	 2	 999	 999000.00	 0.36	 0.32	 
n_126	 0	 2	 01	 1	 38	 1.820217e+02	 1019.jpg	 9300.jpg	 53	 49	 0	 i	 2	 1	 763.84	 0.21	 0.28	 
n_126	 0	 2	 01	 1	 39	 1.860144e+02	 6560.JPG	 2455.jpg	 13	 19	 0	 u	 1	 0	 963.09	 0.73	 0.64	 
n_126	 0	 2	 01	 1	 40	 1.900204e+02	 9291.jpg	 9495.jpg	 12	 8	 0	 u	 1	 0	 1004.99	 0.73	 0.76	 
n_126	 0	 2	 01	 1	 41	 1.960162e+02	 2799.jpg	 9490.jpg	 20	 16	 0	 u	 1	 0	 1025.18	 0.64	 0.70	 
n_126	 0	 2	 01	 1	 42	 2.050165e+02	 9050.jpg	 7359.jpg	 9	 7	 1	 u	 1	 1	 792.78	 0.75	 0.76	 
n_126	 0	 2	 01	 1	 43	 2.080210e+02	 2750.jpg	 9325.jpg	 42	 54	 0	 u	 2	 0	 796.22	 0.35	 0.19	 
n_126	 0	 2	 01	 1	 44	 2.120137e+02	 1111.jpg	 10005.JPG	 41	 45	 1	 u	 2	 1	 1091.36	 0.35	 0.32	 
n_126	 0	 2	 01	 1	 45	 2.170213e+02	 9373.jpg	 9042.jpg	 46	 47	 1	 u	 2	 1	 1043.83	 0.30	 0.28	 
n_126	 0	 2	 01	 1	 46	 2.200126e+02	 9050.jpg	 6370.jpg	 9	 10	 1	 u	 1	 1	 516.50	 0.75	 0.75	 
n_126	 0	 2	 01	 1	 47	 2.240186e+02	 9008.jpg	 9330.jpg	 36	 24	 0	 u	 4	 0	 1054.49	 0.45	 0.60	 
n_126	 0	 2	 01	 1	 48	 2.340204e+02	 2039.jpg	 9495.jpg	 18	 8	 0	 u	 1	 0	 1132.58	 0.66	 0.76	 
n_126	 0	 2	 01	 1	 49	 2.370249e+02	 9905.jpg	 9254.jpg	 25	 37	 1	 x	 4	 999	 999000.00	 0.59	 0.43	 
n_126	 0	 2	 01	 1	 50	 2.470134e+02	 1111.jpg	 9561.jpg	 41	 44	 1	 u	 2	 1	 779.27	 0.35	 0.33	 
n_126	 0	 2	 01	 1	 51	 2.520210e+02	 9301.jpg	 10005.JPG	 51	 45	 1	 u	 2	 1	 395.81	 0.26	 0.32	 
n_126	 0	 2	 01	 1	 52	 2.570152e+02	 9480.jpg	 9561.jpg	 43	 44	 1	 i	 2	 0	 281.51	 0.33	 0.33	 
n_126	 0	 2	 01	 1	 53	 2.620228e+02	 2039.jpg	 9090.jpg	 18	 11	 0	 i	 1	 1	 649.89	 0.66	 0.74	 
n_126	 0	 2	 01	 1	 54	 2.650140e+02	 9322.jpg	 2205.jpg	 39	 40	 0	 i	 2	 1	 698.67	 0.36	 0.36	 
n_126	 0	 2	 01	 1	 55	 2.690201e+02	 10005.JPG	 9300.jpg	 45	 49	 0	 i	 2	 1	 1076.57	 0.32	 0.28	 
n_126	 0	 2	 01	 1	 56	 2.770188e+02	 2799.jpg	 3180.jpg	 20	 14	 0	 i	 1	 1	 597.68	 0.64	 0.72	 
n_126	 0	 2	 01	 1	 57	 2.810249e+02	 9322.jpg	 9325.jpg	 39	 54	 0	 i	 2	 1	 655.56	 0.36	 0.19	 
n_126	 0	 2	 01	 1	 58	 2.840161e+02	 9301.jpg	 1019.jpg	 51	 53	 1	 i	 2	 0	 864.35	 0.26	 0.21	 
n_126	 0	 2	 01	 1	 59	 2.870207e+02	 2455.jpg	 7359.jpg	 19	 7	 1	 i	 1	 0	 723.77	 0.64	 0.76	 
n_126	 0	 2	 01	 1	 60	 3.000137e+02	 9480.jpg	 9322.jpg	 43	 39	 1	 i	 2	 0	 434.65	 0.33	 0.36	 
n_126	 0	 2	 01	 1	 61	 3.030182e+02	 9321.jpg	 2456.jpg	 35	 26	 0	 i	 3	 1	 870.07	 0.45	 0.59	 
n_126	 0	 2	 01	 1	 62	 3.070243e+02	 9301.jpg	 9341.jpg	 51	 52	 1	 i	 2	 0	 799.96	 0.26	 0.24	 
n_126	 0	 2	 01	 1	 63	 3.120185e+02	 2799.jpg	 9090.jpg	 20	 11	 0	 i	 1	 1	 493.68	 0.64	 0.74	 
n_126	 0	 2	 01	 1	 64	 3.210188e+02	 9341.jpg	 9300.jpg	 52	 49	 0	 i	 2	 1	 501.29	 0.24	 0.28	 
n_126	 0	 2	 01	 1	 65	 3.240234e+02	 9480.jpg	 6555.jpg	 43	 50	 1	 i	 2	 0	 792.72	 0.33	 0.26	 
n_126	 0	 2	 01	 1	 66	 3.270146e+02	 10003.JPG	 9341.jpg	 48	 52	 1	 i	 2	 0	 841.48	 0.28	 0.24	 
n_126	 0	 2	 01	 1	 67	 3.330237e+02	 2039.jpg	 3180.jpg	 18	 14	 0	 i	 1	 1	 608.32	 0.66	 0.72	 
n_126	 0	 2	 01	 1	 68	 3.380179e+02	 1111.jpg	 6555.jpg	 41	 50	 1	 i	 2	 0	 654.03	 0.35	 0.26	 
