subjid	 runtrial	 onsettime	 ImageLeft	 ImageRight	 StimNumLeft	 StimNumRight	 Response	 Outcome	 RT
n_127	 1	 5.036903e-01	 2750.jpg	 1274.jpg	 16	 8	 u	 0	 9.763227e+02
n_127	 2	 4.015673e+00	 2799.jpg	 9291.jpg	 17	 41	 u	 0	 1.576432e+03
n_127	 3	 7.514305e+00	 9008.jpg	 9042.jpg	 35	 36	 i	 0	 1.821777e+03
n_127	 4	 1.101294e+01	 9341.jpg	 9425.jpg	 49	 52	 u	 0	 1.523131e+03
n_127	 5	 1.451157e+01	 9340.jpg	 7078.jpg	 48	 32	 i	 0	 1.832445e+03
n_127	 6	 1.801020e+01	 7359.jpg	 9325.jpg	 33	 46	 u	 0	 1.773792e+03
n_127	 7	 2.150883e+01	 1271.jpg	 9490.jpg	 7	 54	 i	 0	 2.147109e+03
n_127	 8	 2.500746e+01	 9905.jpg	 1205.jpg	 60	 6	 u	 0	 1.352450e+03
n_127	 9	 2.850609e+01	 1019.jpg	 2683.jpg	 4	 15	 i	 0	 2.157770e+03
n_127	 10	 3.200473e+01	 9120.jpg	 9600.jpg	 39	 57	 u	 0	 1.955131e+03
n_127	 11	 3.551671e+01	 6560.JPG	 3103.jpg	 29	 18	 u	 0	 1.659113e+03
n_127	 12	 3.901534e+01	 9495.jpg	 9254.jpg	 55	 40	 u	 0	 1.280442e+03
n_127	 13	 4.251397e+01	 9373.jpg	 8480.jpg	 50	 34	 i	 0	 2.421736e+03
n_127	 14	 4.601261e+01	 9390.jpg	 1301.jpg	 51	 9	 u	 0	 1.947088e+03
n_127	 15	 4.951124e+01	 6250.1.jpg	 3160.jpg	 26	 19	 u	 0	 1.632441e+03
n_127	 16	 5.300987e+01	 9903.jpg	 2457.jpg	 59	 14	 i	 0	 1.109615e+03
n_127	 17	 5.650850e+01	 10003.JPG	 9622.jpg	 2	 58	 x	 999	 999000
n_127	 18	 6.000713e+01	 9330.jpg	 10002.JPG	 47	 1	 u	 0	 1.552448e+03
n_127	 19	 6.350576e+01	 2456.jpg	 9090.jpg	 13	 38	 u	 0	 1.381763e+03
n_127	 20	 6.700440e+01	 9050.jpg	 1111.jpg	 37	 5	 u	 0	 1.227110e+03
n_127	 21	 7.051638e+01	 6210.jpg	 9301.jpg	 22	 43	 u	 0	 1.011080e+03
n_127	 22	 7.401501e+01	 10005.JPG	 6213.jpg	 3	 24	 i	 0	 8.884164e+02
n_127	 23	 7.751364e+01	 9300.jpg	 2039.jpg	 42	 10	 i	 0	 8.777648e+02
n_127	 24	 8.101228e+01	 6370.jpg	 9480.jpg	 27	 53	 u	 0	 1.107076e+03
n_127	 25	 8.451091e+01	 6242.jpg	 2205.jpg	 25	 11	 i	 0	 1.144423e+03
n_127	 26	 8.800954e+01	 6838.jpg	 9321.jpg	 31	 44	 u	 0	 1.485728e+03
n_127	 27	 9.150817e+01	 6211.jpg	 6555.jpg	 23	 28	 i	 0	 2.067074e+03
n_127	 28	 9.500680e+01	 9561.jpg	 3180.jpg	 56	 20	 i	 0	 1.704420e+03
n_127	 29	 9.850543e+01	 6570.1.JPG	 3500.jpg	 30	 21	 u	 0	 1.677753e+03
n_127	 30	 1.020041e+02	 9322.jpg	 2455.jpg	 45	 12	 i	 0	 1.075093e+03
n_127	 31	 1.055161e+02	 2799.jpg	 9495.jpg	 17	 55	 u	 0	 1.339058e+03
n_127	 32	 1.090147e+02	 9291.jpg	 3160.jpg	 41	 19	 i	 0	 9.923882e+02
n_127	 33	 1.125133e+02	 7359.jpg	 9050.jpg	 33	 37	 i	 0	 8.375975e+02
n_127	 34	 1.160119e+02	 2455.jpg	 9561.jpg	 12	 56	 u	 0	 9.230431e+02
n_127	 35	 1.195106e+02	 6555.jpg	 9120.jpg	 28	 39	 u	 0	 1.408405e+03
n_127	 36	 1.230092e+02	 9322.jpg	 1274.jpg	 45	 8	 x	 999	 999000
n_127	 37	 1.265078e+02	 3180.jpg	 10002.JPG	 20	 1	 u	 0	 9.390715e+02
n_127	 38	 1.300065e+02	 9480.jpg	 3500.jpg	 53	 21	 i	 0	 8.643940e+02
n_127	 39	 1.335051e+02	 2457.jpg	 2205.jpg	 14	 11	 u	 0	 1.077745e+03
n_127	 40	 1.370037e+02	 6242.jpg	 9903.jpg	 25	 59	 u	 0	 1.003061e+03
n_127	 41	 1.405157e+02	 2683.jpg	 9622.jpg	 15	 58	 i	 0	 7.550486e+02
n_127	 42	 1.440144e+02	 3103.jpg	 6211.jpg	 18	 23	 i	 0	 7.443798e+02
n_127	 43	 1.475130e+02	 9325.jpg	 7078.jpg	 46	 32	 i	 0	 7.817135e+02
n_127	 44	 1.510116e+02	 1111.jpg	 9340.jpg	 5	 48	 i	 0	 8.670599e+02
n_127	 45	 1.545102e+02	 1019.jpg	 9600.jpg	 4	 57	 i	 0	 8.404063e+02
n_127	 46	 1.580089e+02	 1301.jpg	 9254.jpg	 9	 40	 u	 0	 1.133556e+03
n_127	 47	 1.615075e+02	 1271.jpg	 9425.jpg	 7	 52	 i	 0	 1.011051e+03
n_127	 48	 1.650061e+02	 9330.jpg	 9341.jpg	 47	 49	 i	 0	 6.803896e+02
n_127	 49	 1.685048e+02	 6213.jpg	 9008.jpg	 24	 35	 u	 0	 9.097038e+02
n_127	 50	 1.720168e+02	 6210.jpg	 10003.JPG	 22	 2	 u	 0	 7.897083e+02
n_127	 51	 1.755154e+02	 9390.jpg	 6570.1.JPG	 51	 30	 i	 0	 6.830266e+02
n_127	 52	 1.790140e+02	 9300.jpg	 2750.jpg	 42	 16	 i	 0	 1.056388e+03
n_127	 53	 1.825127e+02	 6560.JPG	 9905.jpg	 29	 60	 u	 0	 1.045698e+03
n_127	 54	 1.860113e+02	 6370.jpg	 6250.1.jpg	 27	 26	 i	 0	 5.870273e+02
n_127	 55	 1.895099e+02	 10005.JPG	 9090.jpg	 3	 38	 i	 0	 7.203532e+02
n_127	 56	 1.930085e+02	 9373.jpg	 2039.jpg	 50	 10	 i	 0	 8.696995e+02
n_127	 57	 1.965072e+02	 1205.jpg	 6838.jpg	 6	 31	 i	 0	 6.350221e+02
n_127	 58	 2.000058e+02	 9490.jpg	 9042.jpg	 54	 36	 i	 0	 9.443761e+02
n_127	 59	 2.035044e+02	 9301.jpg	 9321.jpg	 43	 44	 i	 0	 9.017091e+02
