subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
n_131	 1	 3	 6560.JPG	 4.606065e+02	 22	 9.357548e+02	 220	 6.172605e+02	 98	 4.616619e+02	 616.67	 633.33	 42.00	 29	 0.34	 
n_131	 1	 3	 10005.JPG	 4.635977e+02	 24	 999000	 240	 999000	 999	 4.646397e+02	 616.67	 633.33	 55.00	 3	 0.22	 
n_131	 1	 3	 9050.jpg	 4.676038e+02	 12	 999000	 120	 999000	 999	 4.686458e+02	 616.67	 633.33	 22.00	 37	 0.62	 
n_131	 1	 3	 3180.jpg	 4.695934e+02	 11	 9.086774e+02	 110	 6.172451e+02	 98	 4.706488e+02	 633.33	 633.33	 20.00	 20	 0.62	 
n_131	 1	 3	 9495.jpg	 4.715964e+02	 11	 9.216691e+02	 110	 6.338835e+02	 98	 4.726518e+02	 650.00	 633.33	 25.00	 55	 0.59	 
n_131	 1	 3	 1271.jpg	 4.756025e+02	 12	 999000	 120	 999000	 999	 4.766446e+02	 650.00	 633.33	 26.00	 7	 0.58	 
n_131	 1	 3	 9321.jpg	 4.775922e+02	 22	 9.418699e+02	 220	 6.338701e+02	 98	 4.786476e+02	 650.00	 650.00	 53.00	 44	 0.23	 
n_131	 1	 3	 2039.jpg	 4.825998e+02	 11	 9.421813e+02	 110	 6.505674e+02	 98	 4.836552e+02	 666.67	 650.00	 12.00	 10	 0.70	 
n_131	 1	 3	 9008.jpg	 4.846028e+02	 24	 999000	 240	 999000	 999	 4.856449e+02	 666.67	 650.00	 60.00	 35	 0.13	 
n_131	 1	 3	 9903.jpg	 4.875940e+02	 12	 999000	 120	 999000	 999	 4.886360e+02	 666.67	 650.00	 28.00	 59	 0.55	 
n_131	 1	 3	 6370.jpg	 4.905986e+02	 12	 999000	 120	 999000	 999	 4.916406e+02	 666.67	 650.00	 4.00	 27	 0.86	 
n_131	 1	 3	 9600.jpg	 4.946046e+02	 12	 999000	 120	 999000	 999	 4.956467e+02	 666.67	 650.00	 27.00	 57	 0.57	 
n_131	 1	 3	 7078.jpg	 4.975958e+02	 12	 999000	 120	 999000	 999	 4.986379e+02	 666.67	 650.00	 1.00	 32	 0.91	 
n_131	 1	 3	 10002.JPG	 4.995989e+02	 22	 9.669378e+02	 220	 6.505364e+02	 98	 5.006543e+02	 666.67	 666.67	 37.00	 1	 0.41	 
n_131	 1	 3	 9254.jpg	 5.026034e+02	 24	 999000	 240	 999000	 999	 5.036454e+02	 666.67	 666.67	 41.00	 40	 0.37	 
