subjectID	 order	 stimName	 itemIndABC	 bidInd	 runtrial	 isOld?	 subjectAnswerIsOld	 isBeep?	 subjectAnswerIsBeep	 onsettime	 resp_choice	 RT
n_132	 2	 2457.jpg	 9	 8	 1	 1	 1	 1	 1	 2.725355e-02	 i	 2.338099e+00 
n_132	 2	 9322.jpg	 30	 51	 2	 1	 1	 1	 1	 3.419054e+00	 i	 1.058321e+00 
n_132	 2	 9042.jpg	 25	 52	 3	 1	 1	 0	 0	 5.528952e+00	 u	 8.363936e-01 
n_132	 2	 6211.jpg	 15	 40	 4	 1	 1	 1	 1	 7.425151e+00	 i	 1.036189e+00 
n_132	 2	 9905.jpg	 40	 17	 5	 1	 1	 1	 1	 9.521685e+00	 i	 9.556475e-01 
n_132	 2	 9341.jpg	 32	 7	 6	 1	 1	 0	 0	 1.153809e+01	 u	 7.792265e-01 
n_132	 2	 1271.jpg	 5	 22	 7	 1	 1	 1	 1	 1.336753e+01	 i	 1.301816e+00 
n_132	 2	 9480.jpg	 35	 26	 8	 1	 1	 1	 1	 1.571778e+01	 i	 6.635445e-01 
n_132	 2	 7359.jpg	 22	 35	 9	 1	 1	 1	 1	 1.744038e+01	 i	 6.529239e-01 
n_132	 2	 9120.jpg	 27	 23	 10	 1	 1	 1	 1	 1.914966e+01	 i	 6.716618e-01 
n_132	 2	 6242.jpg	 17	 38	 11	 1	 1	 1	 1	 2.087229e+01	 i	 6.129990e-01 
n_132	 2	 6250.1.jpg	 18	 25	 12	 1	 1	 0	 0	 2.254149e+01	 u	 7.038153e-01 
n_132	 2	 6555.jpg	 19	 53	 13	 1	 1	 0	 0	 2.430417e+01	 u	 7.491126e-01 
n_132	 2	 9600.jpg	 37	 13	 14	 1	 1	 0	 0	 2.610691e+01	 u	 6.903734e-01 
n_132	 2	 9622.jpg	 38	 10	 15	 1	 1	 0	 0	 2.785625e+01	 u	 8.610361e-01 
n_132	 2	 8480.jpg	 23	 43	 16	 1	 1	 1	 1	 2.976581e+01	 i	 9.034720e-01 
n_132	 2	 6570.1.JPG	 21	 39	 17	 1	 1	 0	 0	 3.172880e+01	 u	 7.324631e-01 
n_132	 2	 9373.jpg	 33	 42	 18	 1	 1	 0	 0	 3.351818e+01	 u	 6.390703e-01 
n_132	 2	 1111.jpg	 3	 50	 19	 1	 1	 0	 0	 3.521408e+01	 u	 6.551688e-01 
n_132	 2	 9008.jpg	 24	 20	 20	 1	 1	 0	 0	 3.692338e+01	 u	 8.978648e-01 
n_132	 2	 10005.JPG	 1	 11	 21	 1	 1	 1	 0	 3.887301e+01	 u	 9.482437e-01 
n_132	 2	 2683.jpg	 10	 19	 22	 1	 1	 1	 1	 4.087615e+01	 i	 6.890824e-01 
n_132	 2	 9903.jpg	 39	 9	 23	 1	 1	 1	 0	 4.262537e+01	 u	 1.899849e+00 
n_132	 2	 3500.jpg	 13	 45	 24	 1	 1	 0	 0	 4.557650e+01	 u	 1.156719e+00 
n_132	 2	 9321.jpg	 29	 46	 25	 1	 1	 1	 1	 4.779323e+01	 i	 6.999677e-01 
n_132	 2	 1019.jpg	 2	 54	 26	 1	 1	 1	 1	 4.954254e+01	 i	 8.866780e-01 
n_132	 2	 9330.jpg	 31	 15	 27	 1	 1	 0	 0	 5.149217e+01	 u	 8.250177e-01 
n_132	 2	 2205.jpg	 7	 48	 28	 1	 1	 1	 1	 5.337504e+01	 i	 6.701572e-01 
n_132	 2	 6213.jpg	 16	 36	 29	 1	 1	 0	 0	 5.509768e+01	 u	 6.435001e-01 
n_132	 2	 3160.jpg	 12	 47	 30	 1	 1	 0	 0	 5.679360e+01	 u	 6.755682e-01 
n_132	 2	 1205.jpg	 4	 49	 31	 1	 1	 1	 1	 5.852956e+01	 i	 7.636163e-01 
n_132	 2	 9495.jpg	 36	 16	 32	 1	 1	 1	 1	 6.035902e+01	 i	 9.981353e-01 
n_132	 2	 2455.jpg	 8	 12	 33	 1	 1	 0	 0	 6.241548e+01	 u	 6.696912e-01 
n_132	 2	 6210.jpg	 14	 24	 34	 1	 1	 0	 0	 6.413813e+01	 u	 6.430261e-01 
n_132	 2	 9050.jpg	 26	 18	 35	 1	 1	 0	 0	 6.583400e+01	 u	 9.311638e-01 
n_132	 2	 9291.jpg	 28	 14	 36	 1	 1	 1	 1	 6.782368e+01	 i	 7.494520e-01 
n_132	 2	 9425.jpg	 34	 44	 37	 1	 1	 0	 0	 6.962642e+01	 u	 9.147205e-01 
n_132	 2	 2799.jpg	 11	 37	 38	 1	 1	 0	 0	 7.158941e+01	 u	 6.317384e-01 
n_132	 2	 1274.jpg	 6	 21	 39	 1	 1	 0	 0	 7.327203e+01	 u	 9.971047e-01 
n_132	 2	 6560.JPG	 20	 41	 40	 1	 1	 1	 1	 7.532845e+01	 i	 7.006780e-01 
