Subject	 StimName	 StimNum	 Rank	 Wins	 Loses	 Total
neg_118	 10002.JPG	 1	 1.692544e-01	 1	 9	 10
neg_118	 10003.JPG	 2	 2.582890e-01	 1	 9	 10
neg_118	 10005.JPG	 3	 8.262126e-02	 0	 10	 10
neg_118	 1019.jpg	 4	 4.720912e-01	 3	 7	 10
neg_118	 1111.jpg	 5	 2.240414e-01	 2	 7	 10
neg_118	 1205.jpg	 6	 1.740380e-01	 0	 9	 10
neg_118	 1271.jpg	 7	 1.222761e-01	 0	 10	 10
neg_118	 1274.jpg	 8	 2.559613e-01	 1	 9	 10
neg_118	 1301.jpg	 9	 9.293216e-01	 10	 0	 10
neg_118	 2039.jpg	 10	 7.405247e-01	 9	 1	 10
neg_118	 2205.jpg	 11	 3.313729e-01	 3	 7	 10
neg_118	 2455.jpg	 12	 8.228913e-01	 10	 0	 10
neg_118	 2456.jpg	 13	 4.821080e-01	 4	 6	 10
neg_118	 2457.jpg	 14	 8.741332e-01	 10	 0	 10
neg_118	 2683.jpg	 15	 6.853265e-01	 7	 3	 10
neg_118	 2750.jpg	 16	 6.481626e-01	 7	 3	 10
neg_118	 2799.jpg	 17	 3.906206e-01	 4	 6	 10
neg_118	 3103.jpg	 18	 3.738421e-01	 3	 7	 10
neg_118	 3160.jpg	 19	 2.857587e-01	 2	 8	 10
neg_118	 3180.jpg	 20	 4.952531e-01	 6	 4	 10
neg_118	 3500.jpg	 21	 5.246112e-01	 5	 5	 10
neg_118	 6210.jpg	 22	 7.966713e-01	 9	 1	 10
neg_118	 6211.jpg	 23	 7.485801e-01	 8	 2	 10
neg_118	 6213.jpg	 24	 5.424553e-01	 6	 4	 10
neg_118	 6242.jpg	 25	 8.014886e-01	 10	 0	 10
neg_118	 6250.1.jpg	 26	 6.239276e-01	 6	 4	 10
neg_118	 6370.jpg	 27	 9.125861e-01	 10	 0	 10
neg_118	 6555.jpg	 28	 1.813447e-01	 0	 9	 10
neg_118	 6560.JPG	 29	 7.564921e-01	 8	 2	 10
neg_118	 6570.1.JPG	 30	 6.999222e-01	 8	 2	 10
neg_118	 6838.jpg	 31	 5.914459e-01	 6	 4	 10
neg_118	 7078.jpg	 32	 6.448321e-01	 7	 3	 10
neg_118	 7359.jpg	 33	 3.782667e-01	 4	 6	 10
neg_118	 8480.jpg	 34	 6.259410e-01	 7	 3	 10
neg_118	 9008.jpg	 35	 1.691210e-01	 1	 7	 10
neg_118	 9042.jpg	 36	 1.317089e-01	 0	 9	 10
neg_118	 9050.jpg	 37	 5.625915e-01	 7	 3	 10
neg_118	 9090.jpg	 38	 8.149550e-01	 10	 0	 10
neg_118	 9120.jpg	 39	 6.330238e-01	 6	 4	 10
neg_118	 9254.jpg	 40	 4.439333e-01	 4	 6	 10
neg_118	 9291.jpg	 41	 4.071576e-01	 4	 6	 10
neg_118	 9300.jpg	 42	 1.835640e-01	 0	 10	 10
neg_118	 9301.jpg	 43	 1.504168e-01	 0	 10	 10
neg_118	 9321.jpg	 44	 3.871868e-01	 4	 6	 10
neg_118	 9322.jpg	 45	 3.577995e-01	 3	 7	 10
neg_118	 9325.jpg	 46	 8.898159e-02	 0	 10	 10
neg_118	 9330.jpg	 47	 4.804029e-01	 5	 5	 10
neg_118	 9340.jpg	 48	 8.000128e-01	 9	 1	 10
neg_118	 9341.jpg	 49	 9.337356e-01	 9	 1	 10
neg_118	 9373.jpg	 50	 4.520626e-01	 5	 5	 10
neg_118	 9390.jpg	 51	 4.269652e-01	 3	 7	 10
neg_118	 9425.jpg	 52	 5.538909e-01	 6	 4	 10
neg_118	 9480.jpg	 53	 3.368842e-01	 2	 8	 10
neg_118	 9490.jpg	 54	 6.668437e-01	 8	 2	 10
neg_118	 9495.jpg	 55	 6.527098e-01	 7	 3	 10
neg_118	 9561.jpg	 56	 4.083098e-01	 3	 7	 10
neg_118	 9600.jpg	 57	 7.811792e-01	 9	 1	 10
neg_118	 9622.jpg	 58	 6.476733e-01	 7	 3	 10
neg_118	 9903.jpg	 59	 4.409290e-01	 4	 6	 10
neg_118	 9905.jpg	 60	 4.415081e-01	 4	 6	 10
