subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
p_129	 1	 5	 1019.jpg	 8.546997e+02	 11	 7.619430e+02	 110	 4.172456e+02	 98	 8.557551e+02	 433.33	 483.33	 15.00	 4	 0.72	 
p_129	 1	 5	 9321.jpg	 8.576910e+02	 11	 7.466701e+02	 110	 4.338636e+02	 98	 8.587463e+02	 450.00	 483.33	 24.00	 44	 0.56	 
p_129	 1	 5	 1301.jpg	 8.596940e+02	 12	 999000	 120	 999000	 999	 8.607360e+02	 450.00	 483.33	 16.00	 9	 0.72	 
p_129	 1	 5	 2683.jpg	 8.616971e+02	 24	 999000	 240	 999000	 999	 8.627391e+02	 450.00	 483.33	 58.00	 15	 0.14	 
p_129	 1	 5	 1271.jpg	 8.636867e+02	 12	 999000	 120	 999000	 999	 8.647288e+02	 450.00	 483.33	 6.00	 7	 0.78	 
p_129	 1	 5	 6242.jpg	 8.666913e+02	 24	 999000	 240	 999000	 999	 8.677333e+02	 450.00	 483.33	 46.00	 25	 0.30	 
p_129	 1	 5	 9291.jpg	 8.686943e+02	 12	 999000	 120	 999000	 999	 8.697364e+02	 450.00	 483.33	 2.00	 41	 0.90	 
p_129	 1	 5	 6370.jpg	 8.726871e+02	 12	 999000	 120	 999000	 999	 8.737291e+02	 450.00	 483.33	 23.00	 27	 0.61	 
p_129	 1	 5	 6838.jpg	 8.746901e+02	 24	 999000	 240	 999000	 999	 8.757321e+02	 450.00	 483.33	 51.00	 31	 0.26	 
p_129	 1	 5	 10002.JPG	 8.796977e+02	 12	 999000	 120	 999000	 999	 8.807397e+02	 450.00	 483.33	 9.00	 1	 0.75	 
p_129	 1	 5	 9600.jpg	 8.816874e+02	 24	 999000	 240	 999000	 999	 8.827294e+02	 450.00	 483.33	 55.00	 57	 0.19	 
p_129	 1	 5	 10005.JPG	 8.856935e+02	 11	 9.039782e+02	 1	 4.505538e+02	 110	 8.867488e+02	 400.00	 483.33	 10.00	 3	 0.74	 
p_129	 1	 5	 2457.jpg	 8.876965e+02	 12	 999000	 120	 999000	 999	 8.887385e+02	 400.00	 483.33	 4.00	 14	 0.80	 
p_129	 1	 5	 9480.jpg	 8.906877e+02	 11	 7.097189e+02	 110	 4.005467e+02	 98	 8.917431e+02	 416.67	 483.33	 21.00	 53	 0.67	 
p_129	 1	 5	 9561.jpg	 8.956953e+02	 22	 8.860759e+02	 220	 4.839151e+02	 98	 8.967507e+02	 416.67	 500.00	 45.00	 56	 0.30	 
p_129	 1	 5	 9254.jpg	 8.976983e+02	 24	 999000	 240	 999000	 999	 8.987404e+02	 416.67	 500.00	 57.00	 40	 0.17	 
p_129	 1	 5	 1205.jpg	 8.996880e+02	 11	 7.493345e+02	 110	 4.172286e+02	 98	 9.007434e+02	 433.33	 500.00	 12.00	 6	 0.74	 
p_129	 1	 5	 6570.1.JPG	 9.036941e+02	 22	 9.672048e+02	 220	 5.005643e+02	 98	 9.047495e+02	 433.33	 516.67	 42.00	 30	 0.32	 
p_129	 1	 5	 9301.jpg	 9.076869e+02	 12	 999000	 120	 999000	 999	 9.087289e+02	 433.33	 516.67	 8.00	 43	 0.76	 
p_129	 1	 5	 9042.jpg	 9.116929e+02	 22	 1.048358e+03	 2200	 5.172099e+02	 98	 9.127484e+02	 433.33	 466.67	 37.00	 36	 0.42	 
p_129	 1	 5	 9373.jpg	 9.136960e+02	 12	 999000	 120	 999000	 999	 9.147380e+02	 433.33	 466.67	 17.00	 50	 0.71	 
p_129	 1	 5	 9330.jpg	 9.156990e+02	 12	 999000	 120	 999000	 999	 9.167410e+02	 433.33	 466.67	 5.00	 47	 0.79	 
p_129	 1	 5	 9300.jpg	 9.176887e+02	 12	 999000	 120	 999000	 999	 9.187307e+02	 433.33	 466.67	 11.00	 42	 0.74	 
p_129	 1	 5	 2750.jpg	 9.196917e+02	 22	 7.934971e+02	 220	 4.672119e+02	 98	 9.207471e+02	 433.33	 483.33	 50.00	 16	 0.26	 
p_129	 1	 5	 8480.jpg	 9.256875e+02	 24	 999000	 240	 999000	 999	 9.267295e+02	 433.33	 483.33	 56.00	 34	 0.19	 
p_129	 1	 5	 2455.jpg	 9.286921e+02	 24	 999000	 240	 999000	 999	 9.297341e+02	 433.33	 483.33	 33.00	 12	 0.48	 
p_129	 1	 5	 9905.jpg	 9.306951e+02	 12	 999000	 120	 999000	 999	 9.317371e+02	 433.33	 483.33	 30.00	 60	 0.50	 
p_129	 1	 5	 6250.1.jpg	 9.326981e+02	 24	 999000	 240	 999000	 999	 9.337402e+02	 433.33	 483.33	 48.00	 26	 0.27	 
p_129	 1	 5	 9050.jpg	 9.356894e+02	 24	 999000	 240	 999000	 999	 9.367314e+02	 433.33	 483.33	 59.00	 37	 0.11	 
p_129	 1	 5	 9120.jpg	 9.376924e+02	 24	 999000	 240	 999000	 999	 9.387344e+02	 433.33	 483.33	 54.00	 39	 0.19	 
p_129	 1	 5	 1274.jpg	 9.396955e+02	 11	 1.077657e+03	 1100	 4.338804e+02	 98	 9.407508e+02	 383.33	 483.33	 20.00	 8	 0.68	 
p_129	 1	 5	 9390.jpg	 9.416984e+02	 12	 999000	 120	 999000	 999	 9.427405e+02	 383.33	 483.33	 14.00	 51	 0.72	 
p_129	 1	 5	 3500.jpg	 9.446897e+02	 22	 9.153760e+02	 220	 4.839146e+02	 98	 9.457451e+02	 383.33	 500.00	 52.00	 21	 0.24	 
p_129	 1	 5	 2039.jpg	 9.466927e+02	 11	 7.043442e+02	 110	 3.838838e+02	 98	 9.477484e+02	 400.00	 500.00	 13.00	 10	 0.74	 
p_129	 1	 5	 9325.jpg	 9.486957e+02	 11	 6.533029e+02	 110	 4.005469e+02	 98	 9.497511e+02	 416.67	 500.00	 25.00	 46	 0.55	 
p_129	 1	 5	 2799.jpg	 9.506988e+02	 24	 999000	 240	 999000	 999	 9.517408e+02	 416.67	 500.00	 38.00	 17	 0.42	 
p_129	 1	 5	 6555.jpg	 9.526884e+02	 12	 999000	 120	 999000	 999	 9.537305e+02	 416.67	 500.00	 26.00	 28	 0.54	 
p_129	 1	 5	 9340.jpg	 9.586976e+02	 12	 999000	 120	 999000	 999	 9.597396e+02	 416.67	 500.00	 28.00	 48	 0.54	 
p_129	 1	 5	 7359.jpg	 9.616888e+02	 11	 9.081265e+02	 110	 4.172316e+02	 98	 9.627442e+02	 433.33	 500.00	 18.00	 33	 0.71	 
p_129	 1	 5	 9008.jpg	 9.656949e+02	 11	 7.580338e+02	 110	 4.338943e+02	 98	 9.667503e+02	 450.00	 500.00	 7.00	 35	 0.76	 
p_129	 1	 5	 9490.jpg	 9.716907e+02	 24	 999000	 240	 999000	 999	 9.727327e+02	 450.00	 500.00	 40.00	 54	 0.35	 
p_129	 1	 5	 9090.jpg	 9.736937e+02	 12	 999000	 120	 999000	 999	 9.747357e+02	 450.00	 500.00	 19.00	 38	 0.69	 
p_129	 1	 5	 3180.jpg	 9.786879e+02	 22	 9.808787e+02	 220	 5.005647e+02	 98	 9.797434e+02	 450.00	 516.67	 47.00	 20	 0.29	 
p_129	 1	 5	 3103.jpg	 9.816925e+02	 12	 999000	 120	 999000	 999	 9.827345e+02	 450.00	 516.67	 3.00	 18	 0.82	 
p_129	 1	 5	 1111.jpg	 9.836955e+02	 24	 999000	 240	 999000	 999	 9.847376e+02	 450.00	 516.67	 43.00	 5	 0.32	 
p_129	 1	 5	 6560.JPG	 9.866867e+02	 24	 999000	 240	 999000	 999	 9.877288e+02	 450.00	 516.67	 34.00	 29	 0.45	 
p_129	 1	 5	 9903.jpg	 9.886898e+02	 24	 999000	 240	 999000	 999	 9.897318e+02	 450.00	 516.67	 60.00	 59	 0.10	 
p_129	 1	 5	 9322.jpg	 9.926959e+02	 12	 999000	 120	 999000	 999	 9.937379e+02	 450.00	 516.67	 22.00	 45	 0.64	 
p_129	 1	 5	 9425.jpg	 9.966886e+02	 24	 999000	 240	 999000	 999	 9.977306e+02	 450.00	 516.67	 35.00	 52	 0.44	 
p_129	 1	 5	 2456.jpg	 9.986916e+02	 12	 999000	 120	 999000	 999	 9.997337e+02	 450.00	 516.67	 27.00	 13	 0.54	 
p_129	 1	 5	 9341.jpg	 1.005689e+03	 22	 8.917150e+02	 220	 5.172146e+02	 98	 1.006744e+03	 450.00	 533.33	 53.00	 49	 0.23	 
p_129	 1	 5	 9495.jpg	 1.007692e+03	 24	 999000	 240	 999000	 999	 1.008734e+03	 450.00	 533.33	 41.00	 55	 0.34	 
p_129	 1	 5	 3160.jpg	 1.010697e+03	 22	 4.601105e+02	 22	 5.339172e+02	 98	 1.011752e+03	 450.00	 550.00	 36.00	 19	 0.44	 
p_129	 1	 5	 6213.jpg	 1.014689e+03	 22	 8.993335e+02	 220	 5.505630e+02	 98	 1.015745e+03	 450.00	 566.67	 39.00	 24	 0.35	 
p_129	 1	 5	 10003.JPG	 1.018695e+03	 12	 999000	 120	 999000	 999	 1.019737e+03	 450.00	 566.67	 29.00	 2	 0.51	 
p_129	 1	 5	 6210.jpg	 1.022688e+03	 24	 999000	 240	 999000	 999	 1.023730e+03	 450.00	 566.67	 31.00	 22	 0.49	 
p_129	 1	 5	 2205.jpg	 1.025693e+03	 24	 999000	 240	 999000	 999	 1.026735e+03	 450.00	 566.67	 49.00	 11	 0.27	 
p_129	 1	 5	 6211.jpg	 1.027696e+03	 24	 999000	 240	 999000	 999	 1.028738e+03	 450.00	 566.67	 32.00	 23	 0.49	 
p_129	 1	 5	 9622.jpg	 1.031688e+03	 22	 8.760996e+02	 220	 5.672065e+02	 98	 1.032744e+03	 450.00	 583.33	 44.00	 58	 0.32	 
p_129	 1	 5	 7078.jpg	 1.038699e+03	 12	 999000	 120	 999000	 999	 1.039741e+03	 450.00	 583.33	 1.00	 32	 0.91	 
