subjectID	order	itemIndABC	stimName	bidInd	runtrial	isOld?	subjectAnswerIsOld	onsettime_isOld	resp_isOld	RT_isOld	isGo?	subjectAnswerIsGo	onsettime_isGo	resp_isGo	RT_isGo
BSOV_101	1	15	Hit.bmp	13	1	1	1	2.936323e-02	1	2.258232e+00	1	2	2.832121e+00	2	3.127450e+00	
BSOV_101	1	53	Pringles.bmp	0	2	0	5	7.521083e+00	5	1.870510e+00	0	5	9.940415e+00	5	1.243187e+00	
BSOV_101	1	27	Twist.bmp	55	3	1	1	1.274338e+01	1	2.360191e+00	0	4	1.564676e+01	4	2.240823e+00	
BSOV_101	1	10	ClickXLwhite4.bmp	9	4	1	1	1.945098e+01	1	1.436597e+00	0	4	2.143651e+01	4	1.531058e+00	
BSOV_101	1	32	BisliFalafel.bmp	0	5	0	5	2.452330e+01	5	2.524271e+00	0	5	2.759346e+01	5	7.981085e-01	
BSOV_101	1	48	MikeAndIke.bmp	0	6	0	5	2.994612e+01	5	1.669451e+00	0	5	3.216532e+01	5	5.382483e-01	
BSOV_101	1	43	Hispusim.bmp	0	7	0	2	3.426757e+01	2	3.452003e+00	0	4	3.825542e+01	4	2.280148e+00	
BSOV_101	1	45	KifkefMaklotChocolate.bmp	0	8	0	5	4.209305e+01	5	3.682556e+00	0	5	4.631445e+01	5	1.125124e+00	
BSOV_101	1	28	Twix.bmp	18	9	1	1	4.900084e+01	1	1.598722e+00	1	4	5.113656e+01	4	1.567013e+00	
BSOV_101	1	46	KinderFingers.bmp	0	10	0	5	5.425668e+01	5	1.502890e+00	0	5	5.630900e+01	5	4.746027e-01	
BSOV_101	1	25	Shugi.bmp	49	11	1	1	5.834466e+01	1	1.558912e+00	0	4	6.044699e+01	4	3.232570e+00	
BSOV_101	1	30	Argaliyot.bmp	0	12	0	5	6.523575e+01	5	1.483822e+00	0	5	6.725470e+01	5	5.288693e-01	
BSOV_101	1	1	Apropo.bmp	45	13	1	1	6.934029e+01	1	1.435278e+00	1	3	7.130917e+01	3	2.338427e+00	
BSOV_101	1	54	TapuchipsCrunch2.bmp	0	14	0	5	7.521364e+01	5	4.657924e+00	0	5	8.041949e+01	5	1.108064e+00	
BSOV_101	1	2	BabyDoll.bmp	48	15	1	1	8.308917e+01	1	1.774354e+00	0	2	8.540849e+01	2	1.391067e+00	
BSOV_101	1	29	Abadi2.bmp	0	16	0	5	8.836176e+01	5	1.509835e+00	0	5	9.041395e+01	5	6.496162e-01	
BSOV_101	1	33	CheetosSpicey.bmp	0	17	0	5	9.261641e+01	5	1.591202e+00	0	5	9.475214e+01	5	6.074221e-01	
BSOV_101	1	47	Lotus.bmp	0	18	0	5	9.692133e+01	5	1.078244e+00	0	5	9.853981e+01	5	2.437787e-01	
BSOV_101	1	26	Smarties.bmp	47	19	1	1	1.003418e+02	1	1.497760e+00	1	4	1.023775e+02	4	2.790065e+00	
BSOV_101	1	35	ChocolateParaNuts2.bmp	0	20	0	5	1.067323e+02	5	1.755311e+00	0	5	1.090349e+02	5	2.766336e-01	
BSOV_101	1	55	Toblerone.bmp	0	21	0	5	1.108703e+02	5	9.612278e-01	0	5	1.123720e+02	5	2.516186e-01	
BSOV_101	1	37	ClickCornflakes.bmp	0	22	0	5	1.141907e+02	5	9.609147e-01	0	5	1.156924e+02	5	2.271820e-01	
BSOV_101	1	6	ChocolateParaMilk3.bmp	6	23	1	1	1.174777e+02	1	2.433823e+00	0	2	1.204477e+02	2	1.071855e+00	
