subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	CueTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
BSOV_110	 2	 10	 Mekupelet.bmp	 1.222247e+03	 12	 999000	 120	 999000	 999	 1.223265e+03	 583.33	 583.33	 10.00	 4	 6.98	 
BSOV_110	 2	 10	 KifkefMaklot2.bmp	 1.225234e+03	 24	 999000	 240	 999000	 999	 1.226252e+03	 583.33	 583.33	 45.00	 30	 3.71	 
BSOV_110	 2	 10	 BisliGrill.bmp	 1.227236e+03	 24	 999000	 240	 999000	 999	 1.228254e+03	 583.33	 583.33	 39.00	 58	 3.80	 
BSOV_110	 2	 10	 TapuchipsCrunch.bmp	 1.229238e+03	 24	 999000	 240	 999000	 999	 1.230256e+03	 583.33	 583.33	 41.00	 5	 3.78	 
BSOV_110	 2	 10	 Snickers.bmp	 1.231241e+03	 22	 8.842057e+02	 220	 5.838317e+02	 98	 1.232258e+03	 583.33	 600.00	 49.00	 22	 2.71	 
BSOV_110	 2	 10	 ClickBlackWhite3.bmp	 1.234244e+03	 11	 1.024834e+03	 1100	 5.837860e+02	 98	 1.235262e+03	 533.33	 600.00	 11.00	 42	 6.98	 
BSOV_110	 2	 10	 GumiWine2.bmp	 1.236246e+03	 12	 999000	 120	 999000	 999	 1.237264e+03	 533.33	 600.00	 21.00	 35	 5.82	 
BSOV_110	 2	 10	 ChocolateParaMarir2.bmp	 1.240234e+03	 12	 999000	 120	 999000	 999	 1.241252e+03	 533.33	 600.00	 22.00	 50	 5.82	 
BSOV_110	 2	 10	 Taami.bmp	 1.242236e+03	 12	 999000	 120	 999000	 999	 1.243254e+03	 533.33	 600.00	 20.00	 49	 5.87	 
BSOV_110	 2	 10	 ChocolateParaSucariotKoftzot2.bmp	 1.247242e+03	 22	 8.831278e+02	 220	 6.008010e+02	 98	 1.248260e+03	 533.33	 616.67	 46.00	 55	 3.64	 
BSOV_110	 2	 10	 ClickXLwhite4.bmp	 1.249244e+03	 11	 8.648912e+02	 110	 5.339223e+02	 98	 1.250262e+03	 550.00	 616.67	 8.00	 57	 8.00	 
BSOV_110	 2	 10	 BagaleShtuhim.bmp	 1.253249e+03	 24	 999000	 240	 999000	 999	 1.254266e+03	 550.00	 616.67	 44.00	 31	 3.73	 
