subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	CueTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
BSOV_124	 2	 6	 Snickers.bmp	 6.606234e+02	 11	 8.581359e+02	 110	 5.840739e+02	 98	 6.616413e+02	 600.00	 650.00	 16.00	 14	 2.67	 
BSOV_124	 2	 6	 SkittlesSour4.bmp	 6.656126e+02	 22	 8.850648e+02	 220	 6.505525e+02	 98	 6.666303e+02	 600.00	 666.67	 51.00	 32	 0.53	 
BSOV_124	 2	 6	 KashitSour.bmp	 6.676147e+02	 22	 8.909261e+02	 220	 6.673146e+02	 98	 6.686325e+02	 600.00	 683.33	 49.00	 35	 0.56	 
BSOV_124	 2	 6	 Apropo.bmp	 6.696169e+02	 24	 999000	 240	 999000	 999	 6.706349e+02	 600.00	 683.33	 58.00	 48	 0.47	 
BSOV_124	 2	 6	 HappyHippo.bmp	 6.756070e+02	 24	 999000	 240	 999000	 999	 6.766249e+02	 600.00	 683.33	 39.00	 38	 1.56	 
BSOV_124	 2	 6	 Halva2.bmp	 6.776093e+02	 12	 999000	 120	 999000	 999	 6.786270e+02	 600.00	 683.33	 3.00	 31	 5.84	 
BSOV_124	 2	 6	 KinderBuenoWhite2.bmp	 6.806126e+02	 24	 999000	 240	 999000	 999	 6.816303e+02	 600.00	 683.33	 44.00	 57	 1.53	 
BSOV_124	 2	 6	 KifkefMaklot2.bmp	 6.826149e+02	 11	 1.146704e+03	 1100	 6.005588e+02	 98	 6.836326e+02	 550.00	 683.33	 8.00	 60	 3.80	 
BSOV_124	 2	 6	 Dubonim.bmp	 6.866194e+02	 12	 999000	 120	 999000	 999	 6.876372e+02	 550.00	 683.33	 12.00	 17	 3.69	 
BSOV_124	 2	 6	 BagaleShtuhim.bmp	 6.886049e+02	 11	 9.086757e+02	 110	 5.504545e+02	 98	 6.896226e+02	 566.67	 683.33	 17.00	 19	 2.67	 
BSOV_124	 2	 6	 Popco.bmp	 6.936106e+02	 24	 999000	 240	 999000	 999	 6.946283e+02	 566.67	 683.33	 50.00	 45	 0.56	 
BSOV_124	 2	 6	 Bounty.bmp	 7.006184e+02	 22	 1.255187e+03	 2200	 6.839514e+02	 98	 7.016361e+02	 566.67	 633.33	 46.00	 1	 1.51	 
BSOV_124	 2	 6	 DoritosNatural.bmp	 7.026036e+02	 12	 999000	 120	 999000	 999	 7.036217e+02	 566.67	 633.33	 20.00	 11	 2.64	 
BSOV_124	 2	 6	 ClickBisquit2.bmp	 7.056073e+02	 11	 8.183318e+02	 110	 5.671932e+02	 98	 7.066250e+02	 583.33	 633.33	 11.00	 30	 3.71	 
