Trial	StimName	Bid	RT
1	Hit.bmp	5.26666666667	13609
2	GumiSnakes3.bmp	0.422222222222	2353
3	SkittlesSour4.bmp	4.26666666667	5526
4	PesekZman.bmp	0.555555555556	4220
5	Popco.bmp	2.95555555556	2752
6	Smarties.bmp	4.77777777778	3135
7	Twix.bmp	3.4	2750
8	ChocolateParaSucariotKoftzot2.bmp	5.31111111111	4437
9	BambaSweet.bmp	2.35555555556	2668
10	DoritosGrill.bmp	2.06666666667	2872
11	Bamba.bmp	2.71111111111	2407
12	Bounty.bmp	4.28888888889	4691
13	Keifli.bmp	1.62222222222	9146
14	KifkefMaklot2.bmp	2.82222222222	2702
15	DoritosNatural.bmp	1.73333333333	1966
16	BagaleShtuhim.bmp	2.75555555556	2786
17	Tortit.bmp	3.84444444444	2683
18	ClickBalls5.bmp	4.73333333333	2666
19	DoritosSourSpicy.bmp	1.71111111111	2337
20	TapuchipsCrunch.bmp	1.66666666667	2316
21	Tictac.bmp	2.71111111111	3590
22	Cheetos.bmp	1.66666666667	2101
23	CrunchBisquitWhite2.bmp	3.8	2553
24	KinderBuenoBrown3.bmp	4.66666666667	2469
25	BisliOnion.bmp	0.333333333333	2955
26	Kitkat.bmp	4.28888888889	5856
27	GumiWine2.bmp	0.577777777778	2624
28	BambaNugat.bmp	3.77777777778	3419
29	Tapuchips.bmp	0.666666666667	2550
30	Apropo.bmp	3.73333333333	5073
31	HappyHippo.bmp	2.73333333333	2219
32	Mentos.bmp	1.37777777778	1599
33	Loacker.bmp	7.06666666667	4870
34	Dubonim.bmp	0.666666666667	2071
35	KinderJoy.bmp	2.64444444444	1923
36	KinderBuenoWhite2.bmp	4.86666666667	2155
37	KashitSour.bmp	0.488888888889	2306
38	Twist.bmp	0.666666666667	2240
39	ChocolateParaCookies5.bmp	3.86666666667	2524
40	ChocolateParaMarir2.bmp	5.88888888889	3571
41	WerthersOriginal.bmp	0.777777777778	3105
42	ChocolateParaMilk3.bmp	3.77777777778	2401
43	HispusimShatiah.bmp	0.711111111111	1986
44	ClickXLwhite4.bmp	5.91111111111	3074
45	BisliPizza3.bmp	0.6	2704
46	BabyDoll.bmp	1.46666666667	4507
47	ClickBisquit2.bmp	4.26666666667	2720
48	Taami.bmp	4.82222222222	2585
49	CrunchBisquitBrown3.bmp	4.93333333333	6660
50	CrunchShokoVanil.bmp	2.64444444444	3475
51	Egozi.bmp	3.66666666667	1741
52	Shugi.bmp	3.77777777778	1837
53	ClickXLbrown4.bmp	5.91111111111	2457
54	Snickers.bmp	0.777777777778	1452
55	Mekupelet.bmp	3.42222222222	2804
56	Mars.bmp	1.4	4540
57	ClickBlackWhite3.bmp	4.86666666667	2037
58	BisliGrill.bmp	1.62222222222	1683
59	Halva2.bmp	2.75555555556	3339
60	SkittlesFruits2.bmp	5.84444444444	2268
