subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
BOA_104	 2	 1	 Twix.bmp	 1.227835e+00	 12	 999000	 120	 999000	 999	 2.247071e+00	 750.00	 750.00	 5.00	 3	 7.00	 
BOA_104	 2	 1	 Smarties.bmp	 3.213082e+00	 24	 999000	 240	 999000	 999	 4.230755e+00	 750.00	 750.00	 50.00	 44	 0.69	 
BOA_104	 2	 1	 GumiWine2.bmp	 7.217430e+00	 24	 999000	 240	 999000	 999	 8.235282e+00	 750.00	 750.00	 53.00	 28	 0.67	 
BOA_104	 2	 1	 Shugi.bmp	 1.022089e+01	 24	 999000	 240	 999000	 999	 1.123859e+01	 750.00	 750.00	 57.00	 17	 0.51	 
BOA_104	 2	 1	 Mars.bmp	 1.222304e+01	 12	 999000	 120	 999000	 999	 1.324085e+01	 750.00	 750.00	 15.00	 31	 5.91	 
BOA_104	 2	 1	 BisliGrill.bmp	 1.522652e+01	 22	 8.958753e+02	 220	 7.500584e+02	 98	 1.626277e+01	 750.00	 766.67	 46.00	 58	 1.69	 
BOA_104	 2	 1	 KinderBuenoBrown3.bmp	 1.921424e+01	 12	 999000	 120	 999000	 999	 2.023204e+01	 750.00	 766.67	 10.00	 37	 6.93	 
BOA_104	 2	 1	 CrunchBisquitWhite2.bmp	 2.321873e+01	 11	 8.796722e+02	 110	 7.500626e+02	 98	 2.425459e+01	 766.67	 766.67	 11.00	 25	 6.89	 
BOA_104	 2	 1	 ClickBalls5.bmp	 2.522092e+01	 12	 999000	 120	 999000	 999	 2.623878e+01	 766.67	 766.67	 21.00	 19	 4.80	 
BOA_104	 2	 1	 BambaSweet.bmp	 3.022654e+01	 24	 999000	 240	 999000	 999	 3.124437e+01	 766.67	 766.67	 55.00	 22	 0.56	 
BOA_104	 2	 1	 Tapuchips.bmp	 3.221187e+01	 24	 999000	 240	 999000	 999	 3.322987e+01	 766.67	 766.67	 47.00	 41	 1.67	 
BOA_104	 2	 1	 BagaleShtuhim.bmp	 3.421447e+01	 12	 999000	 120	 999000	 999	 3.523222e+01	 766.67	 766.67	 20.00	 8	 4.82	 
BOA_104	 2	 1	 DoritosNatural.bmp	 4.022116e+01	 24	 999000	 240	 999000	 999	 4.123895e+01	 766.67	 766.67	 58.00	 46	 0.49	 
BOA_104	 2	 1	 Hit.bmp	 4.222334e+01	 12	 999000	 120	 999000	 999	 4.324118e+01	 766.67	 766.67	 6.00	 51	 7.00	 
BOA_104	 2	 1	 Mentos.bmp	 4.422564e+01	 24	 999000	 240	 999000	 999	 4.524347e+01	 766.67	 766.67	 41.00	 57	 2.67	 
BOA_104	 2	 1	 BambaNugat.bmp	 4.621094e+01	 12	 999000	 120	 999000	 999	 4.722897e+01	 766.67	 766.67	 12.00	 52	 6.87	 
BOA_104	 2	 1	 Snickers.bmp	 5.021561e+01	 12	 999000	 120	 999000	 999	 5.123344e+01	 766.67	 766.67	 18.00	 5	 4.87	 
BOA_104	 2	 1	 Bounty.bmp	 5.422014e+01	 24	 999000	 240	 999000	 999	 5.523793e+01	 766.67	 766.67	 45.00	 11	 1.69	 
BOA_104	 2	 1	 ClickXLbrown4.bmp	 5.722350e+01	 12	 999000	 120	 999000	 999	 5.824123e+01	 766.67	 766.67	 13.00	 21	 6.82	 
BOA_104	 2	 1	 PesekZman.bmp	 6.121101e+01	 12	 999000	 120	 999000	 999	 6.222909e+01	 766.67	 766.67	 19.00	 9	 4.84	 
BOA_104	 2	 1	 Taami.bmp	 6.421472e+01	 11	 9.156755e+02	 110	 7.667167e+02	 98	 6.525068e+01	 783.33	 766.67	 17.00	 38	 5.78	 
BOA_104	 2	 1	 BabyDoll.bmp	 6.621693e+01	 24	 999000	 240	 999000	 999	 6.723464e+01	 783.33	 766.67	 56.00	 32	 0.56	 
BOA_104	 2	 1	 Egozi.bmp	 7.022134e+01	 24	 999000	 240	 999000	 999	 7.123922e+01	 783.33	 766.67	 40.00	 56	 2.71	 
BOA_104	 2	 1	 Halva2.bmp	 7.222362e+01	 22	 9.707762e+02	 220	 7.667187e+02	 98	 7.325929e+01	 783.33	 783.33	 48.00	 36	 1.64	 
BOA_104	 2	 1	 CrunchShokoVanil.bmp	 7.422590e+01	 22	 1.024647e+03	 2200	 7.833813e+02	 98	 7.526292e+01	 783.33	 733.33	 49.00	 10	 1.62	 
BOA_104	 2	 1	 GumiSnakes3.bmp	 7.821365e+01	 24	 999000	 240	 999000	 999	 7.923146e+01	 783.33	 733.33	 44.00	 29	 1.76	 
BOA_104	 2	 1	 ClickBlackWhite3.bmp	 8.021591e+01	 11	 9.304864e+02	 110	 7.833767e+02	 98	 8.126588e+01	 800.00	 733.33	 14.00	 4	 5.98	 
