subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
BOA_114	 2	 14	 Mars.bmp	 1.763887e+03	 12	 999000	 120	 999000	 999	 1.764905e+03	 716.67	 716.67	 6.00	 50	 7.02	 
BOA_114	 2	 14	 KifkefMaklot2.bmp	 1.766874e+03	 12	 999000	 120	 999000	 999	 1.767892e+03	 716.67	 716.67	 19.00	 32	 5.82	 
BOA_114	 2	 14	 SkittlesFruits2.bmp	 1.768876e+03	 12	 999000	 120	 999000	 999	 1.769894e+03	 716.67	 716.67	 4.00	 33	 7.09	 
BOA_114	 2	 14	 Dubonim.bmp	 1.770878e+03	 24	 999000	 240	 999000	 999	 1.771896e+03	 716.67	 716.67	 50.00	 16	 2.58	 
BOA_114	 2	 14	 DoritosSourSpicy.bmp	 1.772880e+03	 11	 1.049734e+03	 1100	 7.167320e+02	 98	 1.773917e+03	 666.67	 716.67	 9.00	 48	 6.98	 
BOA_114	 2	 14	 CrunchShokoVanil.bmp	 1.775867e+03	 11	 9.509717e+02	 110	 6.667180e+02	 98	 1.776903e+03	 683.33	 716.67	 16.00	 23	 5.89	 
BOA_114	 2	 14	 ClickBisquit2.bmp	 1.777869e+03	 12	 999000	 120	 999000	 999	 1.778887e+03	 683.33	 716.67	 12.00	 20	 5.96	 
BOA_114	 2	 14	 Kitkat.bmp	 1.781874e+03	 24	 999000	 240	 999000	 999	 1.782892e+03	 683.33	 716.67	 39.00	 54	 3.78	 
BOA_114	 2	 14	 Tortit.bmp	 1.783876e+03	 24	 999000	 240	 999000	 999	 1.784894e+03	 683.33	 716.67	 55.00	 31	 1.60	 
BOA_114	 2	 14	 DoritosNatural.bmp	 1.788882e+03	 12	 999000	 120	 999000	 999	 1.789900e+03	 683.33	 716.67	 20.00	 49	 5.82	 
BOA_114	 2	 14	 KashitSour.bmp	 1.790867e+03	 24	 999000	 240	 999000	 999	 1.791885e+03	 683.33	 716.67	 45.00	 11	 2.69	 
BOA_114	 2	 14	 ClickBalls5.bmp	 1.794872e+03	 12	 999000	 120	 999000	 999	 1.795890e+03	 683.33	 716.67	 10.00	 19	 6.02	 
BOA_114	 2	 14	 KinderJoy.bmp	 1.796874e+03	 22	 9.041143e+02	 220	 7.167308e+02	 98	 1.797910e+03	 683.33	 733.33	 49.00	 8	 2.62	 
BOA_114	 2	 14	 Cheetos.bmp	 1.799877e+03	 12	 999000	 120	 999000	 999	 1.800895e+03	 683.33	 733.33	 7.00	 43	 7.00	 
BOA_114	 2	 14	 BisliOnion.bmp	 1.804866e+03	 24	 999000	 240	 999000	 999	 1.805884e+03	 683.33	 733.33	 41.00	 39	 3.76	 
BOA_114	 2	 14	 ClickXLbrown4.bmp	 1.806869e+03	 24	 999000	 240	 999000	 999	 1.807886e+03	 683.33	 733.33	 42.00	 1	 3.73	 
BOA_114	 2	 14	 Taami.bmp	 1.808871e+03	 24	 999000	 240	 999000	 999	 1.809889e+03	 683.33	 733.33	 52.00	 37	 1.64	 
BOA_114	 2	 14	 BambaSweet.bmp	 1.812875e+03	 22	 9.508361e+02	 220	 7.333841e+02	 98	 1.813910e+03	 683.33	 750.00	 48.00	 10	 2.64	 
