subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
BOA_121	 1	 19	 ClickXLwhite4.bmp	 2.298512e+03	 12	 999000	 120	 999000	 999	 2.299530e+03	 683.33	 683.33	 5.00	 52	 8.96	 
BOA_121	 1	 19	 BabyDoll.bmp	 2.301516e+03	 24	 999000	 240	 999000	 999	 2.302533e+03	 683.33	 683.33	 43.00	 31	 4.84	 
BOA_121	 1	 19	 Popco.bmp	 2.303518e+03	 24	 999000	 240	 999000	 999	 2.304536e+03	 683.33	 683.33	 49.00	 9	 3.84	 
BOA_121	 1	 19	 Keifli.bmp	 2.305520e+03	 24	 999000	 240	 999000	 999	 2.306538e+03	 683.33	 683.33	 42.00	 55	 4.87	 
BOA_121	 1	 19	 Tapuchips.bmp	 2.307522e+03	 22	 9.521308e+02	 220	 6.834000e+02	 98	 2.308557e+03	 683.33	 700.00	 53.00	 29	 3.31	 
BOA_121	 1	 19	 DoritosSourSpicy.bmp	 2.310509e+03	 22	 9.813280e+02	 220	 7.000413e+02	 98	 2.311544e+03	 683.33	 716.67	 47.00	 22	 3.89	 
BOA_121	 1	 19	 WerthersOriginal.bmp	 2.312511e+03	 12	 999000	 120	 999000	 999	 2.313529e+03	 683.33	 716.67	 20.00	 13	 6.93	 
BOA_121	 1	 19	 KinderBuenoBrown3.bmp	 2.316516e+03	 11	 9.987155e+02	 110	 6.833989e+02	 98	 2.317550e+03	 700.00	 716.67	 15.00	 51	 7.09	 
BOA_121	 1	 19	 ClickBlackWhite3.bmp	 2.318518e+03	 12	 999000	 120	 999000	 999	 2.319536e+03	 700.00	 716.67	 6.00	 56	 8.53	 
BOA_121	 1	 19	 HappyHippo.bmp	 2.323524e+03	 22	 1.038801e+03	 2200	 7.167196e+02	 98	 2.324558e+03	 700.00	 666.67	 45.00	 47	 4.82	 
