subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BMI_bf_104	 2	 17	 1204.jpg	 2.258163e+03	 24	 999000	 240	 999000	 999	 2.259180e+03	 616.67	 616.67	 53.00	 24	 0.25	 
BMI_bf_104	 2	 17	 1114.jpg	 2.260148e+03	 12	 999000	 120	 999000	 999	 2.261166e+03	 616.67	 616.67	 7.00	 13	 0.83	 
BMI_bf_104	 2	 17	 1031.jpg	 2.264153e+03	 12	 999000	 120	 999000	 999	 2.265171e+03	 616.67	 616.67	 3.00	 6	 0.91	 
BMI_bf_104	 2	 17	 2024.jpg	 2.267156e+03	 24	 999000	 240	 999000	 999	 2.268174e+03	 616.67	 616.67	 58.00	 34	 0.17	 
BMI_bf_104	 2	 17	 2128.jpg	 2.269158e+03	 24	 999000	 240	 999000	 999	 2.270177e+03	 616.67	 616.67	 56.00	 48	 0.21	 
BMI_bf_104	 2	 17	 1183.jpg	 2.272162e+03	 22	 1.224772e+03	 2200	 6.170124e+02	 98	 2.273196e+03	 616.67	 566.67	 43.00	 20	 0.37	 
BMI_bf_104	 2	 17	 1052.jpg	 2.276150e+03	 11	 9.157737e+02	 110	 6.169848e+02	 98	 2.277185e+03	 633.33	 566.67	 14.00	 9	 0.64	 
BMI_bf_104	 2	 17	 2063.jpg	 2.280154e+03	 11	 9.277141e+02	 110	 6.336473e+02	 98	 2.281190e+03	 650.00	 566.67	 16.00	 41	 0.64	 
BMI_bf_104	 2	 17	 2058.jpg	 2.282156e+03	 24	 999000	 240	 999000	 999	 2.283174e+03	 650.00	 566.67	 52.00	 40	 0.26	 
BMI_bf_104	 2	 17	 2112.jpg	 2.287162e+03	 24	 3.439665e+02	 24	 999000	 98	 2.288182e+03	 650.00	 566.67	 44.00	 45	 0.36	 
BMI_bf_104	 2	 17	 2015.jpg	 2.289148e+03	 24	 999000	 240	 999000	 999	 2.290165e+03	 650.00	 566.67	 55.00	 33	 0.24	 
BMI_bf_104	 2	 17	 1216.jpg	 2.291150e+03	 11	 9.463072e+02	 110	 6.503012e+02	 98	 2.292184e+03	 666.67	 566.67	 8.00	 26	 0.76	 
BMI_bf_104	 2	 17	 1060.jpg	 2.297156e+03	 12	 999000	 120	 999000	 999	 2.298174e+03	 666.67	 566.67	 18.00	 10	 0.64	 
BMI_bf_104	 2	 17	 2039.jpg	 2.299159e+03	 22	 8.914447e+02	 220	 5.669711e+02	 98	 2.300193e+03	 666.67	 583.33	 51.00	 35	 0.26	 
BMI_bf_104	 2	 17	 1080.jpg	 2.301161e+03	 22	 8.468256e+02	 220	 5.836243e+02	 98	 2.302197e+03	 666.67	 600.00	 46.00	 12	 0.35	 
BMI_bf_104	 2	 17	 2125.jpg	 2.303147e+03	 12	 999000	 120	 999000	 999	 2.304164e+03	 666.67	 600.00	 21.00	 47	 0.62	 
BMI_bf_104	 2	 17	 1226.jpg	 2.307151e+03	 24	 999000	 240	 999000	 999	 2.308170e+03	 666.67	 600.00	 40.00	 27	 0.37	 
BMI_bf_104	 2	 17	 1173.jpg	 2.311156e+03	 24	 999000	 240	 999000	 999	 2.312174e+03	 666.67	 600.00	 41.00	 19	 0.37	 
BMI_bf_104	 2	 17	 1035.jpg	 2.314159e+03	 12	 999000	 120	 999000	 999	 2.315179e+03	 666.67	 600.00	 5.00	 7	 0.85	 
BMI_bf_104	 2	 17	 1246.jpg	 2.318146e+03	 22	 9.397675e+02	 220	 6.003393e+02	 98	 2.319182e+03	 666.67	 616.67	 49.00	 28	 0.27	 
BMI_bf_104	 2	 17	 1192.jpg	 2.321150e+03	 11	 1.007655e+03	 1100	 6.669784e+02	 98	 2.322184e+03	 616.67	 616.67	 11.00	 22	 0.69	 
BMI_bf_104	 2	 17	 2212.jpg	 2.323152e+03	 11	 8.840804e+02	 110	 6.169614e+02	 98	 2.324187e+03	 633.33	 616.67	 9.00	 56	 0.76	 
BMI_bf_104	 2	 17	 2110.jpg	 2.327157e+03	 24	 999000	 240	 999000	 999	 2.328175e+03	 633.33	 616.67	 50.00	 44	 0.26	 
BMI_bf_104	 2	 17	 2118.jpg	 2.329159e+03	 24	 999000	 240	 999000	 999	 2.330177e+03	 633.33	 616.67	 47.00	 46	 0.34	 
BMI_bf_104	 2	 17	 1017.jpg	 2.331161e+03	 22	 9.866254e+02	 220	 6.169754e+02	 98	 2.332197e+03	 633.33	 633.33	 48.00	 3	 0.32	 
BMI_bf_104	 2	 17	 1013.jpg	 2.335149e+03	 12	 999000	 120	 999000	 999	 2.336167e+03	 633.33	 633.33	 20.00	 2	 0.62	 
BMI_bf_104	 2	 17	 2045.jpg	 2.337151e+03	 24	 999000	 240	 999000	 999	 2.338169e+03	 633.33	 633.33	 42.00	 38	 0.37	 
BMI_bf_104	 2	 17	 2149.jpg	 2.341156e+03	 24	 999000	 240	 999000	 999	 2.342174e+03	 633.33	 633.33	 39.00	 49	 0.38	 
BMI_bf_104	 2	 17	 1255.jpg	 2.345160e+03	 12	 999000	 120	 999000	 999	 2.346178e+03	 633.33	 633.33	 19.00	 29	 0.63	 
BMI_bf_104	 2	 17	 1019.jpg	 2.348147e+03	 12	 999000	 120	 999000	 999	 2.349165e+03	 633.33	 633.33	 13.00	 4	 0.66	 
BMI_bf_104	 2	 17	 1130.jpg	 2.354154e+03	 12	 999000	 120	 999000	 999	 2.355172e+03	 633.33	 633.33	 4.00	 15	 0.91	 
BMI_bf_104	 2	 17	 1145.jpg	 2.356156e+03	 12	 999000	 120	 999000	 999	 2.357174e+03	 633.33	 633.33	 22.00	 16	 0.61	 
BMI_bf_104	 2	 17	 2006.jpg	 2.360160e+03	 12	 999000	 120	 999000	 999	 2.361178e+03	 633.33	 633.33	 6.00	 31	 0.84	 
BMI_bf_104	 2	 17	 2010.jpg	 2.362146e+03	 12	 999000	 120	 999000	 999	 2.363165e+03	 633.33	 633.33	 10.00	 32	 0.75	 
BMI_bf_104	 2	 17	 2153.jpg	 2.364148e+03	 12	 999000	 120	 999000	 999	 2.365166e+03	 633.33	 633.33	 12.00	 50	 0.67	 
BMI_bf_104	 2	 17	 2248.jpg	 2.366151e+03	 12	 999000	 120	 999000	 999	 2.367168e+03	 633.33	 633.33	 15.00	 60	 0.64	 
BMI_bf_104	 2	 17	 2155.jpg	 2.371156e+03	 24	 999000	 240	 999000	 999	 2.372174e+03	 633.33	 633.33	 57.00	 51	 0.18	 
BMI_bf_104	 2	 17	 1007.jpg	 2.373158e+03	 11	 1.257772e+03	 1100	 6.336454e+02	 98	 2.374195e+03	 583.33	 633.33	 17.00	 1	 0.64	 
BMI_bf_104	 2	 17	 2218.jpg	 2.375161e+03	 22	 9.769516e+02	 220	 6.336357e+02	 98	 2.376195e+03	 583.33	 650.00	 54.00	 57	 0.25	 
BMI_bf_104	 2	 17	 1202.jpg	 2.378147e+03	 24	 999000	 240	 999000	 999	 2.379165e+03	 583.33	 650.00	 45.00	 23	 0.36	 
