subjectID	runtrial	onsettime	ImageLeft	ImageRight	StimNumLeft	StimNumRight	Response	Outcome	RT
BMI_bf_126	1	5.308027e-01	1150.jpg	1262.jpg	18	30	i	0	8.613430e+02
BMI_bf_126	2	4.034723e+00	2153.jpg	1130.jpg	50	15	u	0	1.002600e+03
BMI_bf_126	3	7.521972e+00	2155.jpg	2181.jpg	51	53	i	0	9.917306e+02
BMI_bf_126	4	1.102590e+01	2041.jpg	2248.jpg	36	60	u	0	9.754858e+02
BMI_bf_126	5	1.452983e+01	1060.jpg	2128.jpg	10	48	i	0	1.116718e+03
BMI_bf_126	6	1.803375e+01	2089.jpg	2112.jpg	42	45	u	0	7.966959e+02
BMI_bf_126	7	2.152099e+01	1204.jpg	2043.jpg	24	37	u	0	1.112135e+03
BMI_bf_126	8	2.502491e+01	1210.jpg	2053.jpg	25	39	i	0	1.107106e+03
BMI_bf_126	9	2.852885e+01	2209.jpg	2118.jpg	55	46	i	0	1.169594e+03
BMI_bf_126	10	3.203278e+01	2229.jpg	1050.jpg	58	8	i	0	1.142114e+03
BMI_bf_126	11	3.553671e+01	1192.jpg	1017.jpg	22	3	i	0	9.458807e+02
BMI_bf_126	12	3.902395e+01	1255.jpg	1146.jpg	29	17	u	0	1.036225e+03
BMI_bf_126	13	4.252788e+01	1173.jpg	2006.jpg	19	31	i	0	1.312457e+03
BMI_bf_126	14	4.603181e+01	2063.jpg	1031.jpg	41	6	u	0	7.449273e+02
BMI_bf_126	15	4.953573e+01	1073.jpg	2149.jpg	11	49	u	0	9.536775e+02
BMI_bf_126	16	5.302297e+01	1246.jpg	2194.jpg	28	54	u	0	1.370350e+03
BMI_bf_126	17	5.652689e+01	2015.jpg	2094.jpg	33	43	i	0	1.061656e+03
BMI_bf_126	18	6.003082e+01	1145.jpg	2110.jpg	16	44	u	0	1.709107e+03
BMI_bf_126	19	6.353477e+01	1216.jpg	2240.jpg	26	59	i	0	1.816547e+03
BMI_bf_126	20	6.702199e+01	2045.jpg	2164.jpg	38	52	u	0	1.276968e+03
BMI_bf_126	21	7.052593e+01	1035.jpg	1013.jpg	7	2	u	0	1.384449e+03
BMI_bf_126	22	7.402984e+01	1114.jpg	1019.jpg	13	4	u	0	1.964554e+03
BMI_bf_126	23	7.753378e+01	1052.jpg	1183.jpg	9	20	i	0	1.599433e+03
BMI_bf_126	24	8.102102e+01	2024.jpg	2125.jpg	34	47	i	0	1.588617e+03
BMI_bf_126	25	8.452496e+01	2212.jpg	2058.jpg	56	40	u	0	1.088591e+03
BMI_bf_126	26	8.802888e+01	1027.jpg	2218.jpg	5	57	i	0	1.556082e+03
BMI_bf_126	27	9.153280e+01	1127.jpg	1226.jpg	14	27	i	0	1.618574e+03
BMI_bf_126	28	9.502004e+01	2010.jpg	2039.jpg	32	35	u	0	1.056509e+03
BMI_bf_126	29	9.852397e+01	1080.jpg	1191.jpg	12	21	i	0	9.726984e+02
BMI_bf_126	30	1.020279e+02	1007.jpg	1202.jpg	1	23	u	0	2.351491e+03
BMI_bf_126	31	1.055318e+02	2094.jpg	1150.jpg	43	18	u	0	7.939025e+02
BMI_bf_126	32	1.090358e+02	1255.jpg	2118.jpg	29	46	i	0	9.239197e+02
BMI_bf_126	33	1.125230e+02	1216.jpg	1192.jpg	26	22	u	0	1.948154e+03
BMI_bf_126	34	1.160269e+02	2209.jpg	1246.jpg	55	28	u	0	9.305194e+02
BMI_bf_126	35	1.195308e+02	2164.jpg	1191.jpg	52	21	i	0	2.253080e+03
BMI_bf_126	36	1.230348e+02	2045.jpg	1027.jpg	38	5	u	0	1.066775e+03
BMI_bf_126	37	1.265220e+02	2053.jpg	2039.jpg	39	35	u	0	1.314682e+03
BMI_bf_126	38	1.300259e+02	2058.jpg	1226.jpg	40	27	u	0	1.073437e+03
BMI_bf_126	39	1.335299e+02	2240.jpg	1146.jpg	59	17	u	0	1.248412e+03
BMI_bf_126	40	1.370338e+02	2089.jpg	2110.jpg	42	44	u	0	1.018388e+03
BMI_bf_126	41	1.405210e+02	2153.jpg	2128.jpg	50	48	u	0	9.963232e+02
BMI_bf_126	42	1.440250e+02	1007.jpg	2149.jpg	1	49	i	0	2.262621e+03
BMI_bf_126	43	1.475289e+02	1031.jpg	2212.jpg	6	56	x	999	999000
BMI_bf_126	44	1.510328e+02	2043.jpg	2248.jpg	37	60	u	0	1.453780e+03
BMI_bf_126	45	1.545367e+02	2063.jpg	1127.jpg	41	14	u	0	1.077513e+03
BMI_bf_126	46	1.580240e+02	2010.jpg	1210.jpg	32	25	u	0	1.167907e+03
BMI_bf_126	47	1.615279e+02	1019.jpg	1052.jpg	4	9	i	0	9.941403e+02
BMI_bf_126	48	1.650319e+02	2181.jpg	2015.jpg	53	33	u	0	1.214134e+03
BMI_bf_126	49	1.685358e+02	2006.jpg	1017.jpg	31	3	i	0	1.467896e+03
BMI_bf_126	50	1.720230e+02	1060.jpg	2155.jpg	10	51	i	0	9.395317e+02
BMI_bf_126	51	1.755269e+02	2125.jpg	1173.jpg	47	19	u	0	1.035787e+03
BMI_bf_126	52	1.790309e+02	1114.jpg	2194.jpg	13	54	u	0	1.255771e+03
BMI_bf_126	53	1.825348e+02	1050.jpg	2218.jpg	8	57	i	0	1.160756e+03
BMI_bf_126	54	1.860220e+02	1073.jpg	2024.jpg	11	34	i	0	1.678696e+03
BMI_bf_126	55	1.895260e+02	1183.jpg	1204.jpg	20	24	u	0	1.122417e+03
BMI_bf_126	56	1.930299e+02	1262.jpg	1035.jpg	30	7	i	0	1.893652e+03
BMI_bf_126	57	1.965338e+02	1013.jpg	1202.jpg	2	23	i	0	2.158737e+03
BMI_bf_126	58	2.000211e+02	1145.jpg	2041.jpg	16	36	i	0	9.440164e+02
BMI_bf_126	59	2.035250e+02	1130.jpg	2229.jpg	15	58	i	0	1.501590e+03
BMI_bf_126	60	2.070289e+02	2112.jpg	1080.jpg	45	12	u	0	9.227380e+02
BMI_bf_126	61	2.105328e+02	1210.jpg	2125.jpg	25	47	i	0	9.514932e+02
BMI_bf_126	62	2.140368e+02	1019.jpg	2110.jpg	4	44	u	0	1.171477e+03
BMI_bf_126	63	2.175240e+02	1013.jpg	1262.jpg	2	30	u	0	1.059412e+03
BMI_bf_126	64	2.210279e+02	2058.jpg	1191.jpg	40	21	i	0	1.470651e+03
BMI_bf_126	65	2.245319e+02	1202.jpg	1052.jpg	23	9	i	0	1.679418e+03
BMI_bf_126	66	2.280358e+02	2248.jpg	2053.jpg	60	39	i	0	1.280596e+03
BMI_bf_126	67	2.315230e+02	2063.jpg	2155.jpg	41	51	u	0	9.097798e+02
BMI_bf_126	68	2.350270e+02	1031.jpg	2006.jpg	6	31	i	0	1.951035e+03
BMI_bf_126	69	2.385309e+02	2128.jpg	1146.jpg	48	17	u	0	1.394782e+03
BMI_bf_126	70	2.420348e+02	2240.jpg	2112.jpg	59	45	u	0	1.457260e+03
BMI_bf_126	71	2.455221e+02	1246.jpg	1173.jpg	28	19	i	0	1.165161e+03
BMI_bf_126	72	2.490260e+02	1027.jpg	2024.jpg	5	34	i	0	1.148869e+03
BMI_bf_126	73	2.525299e+02	1145.jpg	2039.jpg	16	35	i	0	1.616374e+03
BMI_bf_126	74	2.560338e+02	2015.jpg	1183.jpg	33	20	i	0	1.487612e+03
BMI_bf_126	75	2.595211e+02	1060.jpg	1127.jpg	10	14	i	0	1.611790e+03
BMI_bf_126	76	2.630250e+02	1130.jpg	1255.jpg	15	29	i	0	1.719312e+03
BMI_bf_126	77	2.665289e+02	2153.jpg	1035.jpg	50	7	u	0	8.480003e+02
BMI_bf_126	78	2.700329e+02	2194.jpg	2041.jpg	54	36	i	0	9.329432e+02
BMI_bf_126	79	2.735368e+02	2045.jpg	2010.jpg	38	32	i	0	1.647980e+03
BMI_bf_126	80	2.770240e+02	1192.jpg	1080.jpg	22	12	u	0	8.833597e+02
BMI_bf_126	81	2.805279e+02	1114.jpg	2218.jpg	13	57	i	0	1.047108e+03
BMI_bf_126	82	2.840319e+02	2164.jpg	2149.jpg	52	49	i	0	1.660894e+03
BMI_bf_126	83	2.875358e+02	2089.jpg	1017.jpg	42	3	u	0	6.995552e+02
BMI_bf_126	84	2.910230e+02	2229.jpg	1204.jpg	58	24	u	0	1.735016e+03
BMI_bf_126	85	2.945270e+02	2043.jpg	2181.jpg	37	53	i	0	1.459989e+03
BMI_bf_126	86	2.980309e+02	2118.jpg	2212.jpg	46	56	u	0	7.574850e+02
BMI_bf_126	87	3.015348e+02	1050.jpg	2094.jpg	8	43	i	0	8.424399e+02
BMI_bf_126	88	3.050221e+02	2209.jpg	1007.jpg	55	1	u	0	8.766018e+02
BMI_bf_126	89	3.085260e+02	1216.jpg	1150.jpg	26	18	u	0	1.242867e+03
BMI_bf_126	90	3.120299e+02	1073.jpg	1226.jpg	11	27	i	0	9.566305e+02
BMI_bf_126	91	3.155338e+02	2043.jpg	1255.jpg	37	29	i	0	1.255348e+03
BMI_bf_126	92	3.190211e+02	2089.jpg	2155.jpg	42	51	u	0	6.257163e+02
BMI_bf_126	93	3.225250e+02	1192.jpg	2041.jpg	22	36	i	0	7.106926e+02
BMI_bf_126	94	3.260289e+02	1246.jpg	2010.jpg	28	32	i	0	8.294841e+02
BMI_bf_126	95	3.295329e+02	2240.jpg	1013.jpg	59	2	u	0	1.566967e+03
BMI_bf_126	96	3.330368e+02	2053.jpg	1127.jpg	39	14	u	0	8.419105e+02
BMI_bf_126	97	3.365240e+02	1210.jpg	1007.jpg	25	1	i	0	1.337405e+03
BMI_bf_126	98	3.400280e+02	1027.jpg	2039.jpg	5	35	i	0	1.039834e+03
BMI_bf_126	99	3.435319e+02	1226.jpg	1262.jpg	27	30	u	0	1.169835e+03
BMI_bf_126	100	3.470358e+02	2094.jpg	1202.jpg	43	23	u	0	5.797885e+02
BMI_bf_126	101	3.505231e+02	1052.jpg	1146.jpg	9	17	u	0	9.289629e+02
BMI_bf_126	102	3.540270e+02	2045.jpg	1080.jpg	38	12	u	0	8.564871e+02
BMI_bf_126	103	3.575309e+02	2006.jpg	2218.jpg	31	57	u	0	7.727477e+02
BMI_bf_126	104	3.610348e+02	1050.jpg	2110.jpg	8	44	i	0	1.363928e+03
BMI_bf_126	105	3.645388e+02	1031.jpg	1183.jpg	6	20	i	0	1.111416e+03
BMI_bf_126	106	3.680260e+02	1173.jpg	1019.jpg	19	4	u	0	1.100618e+03
BMI_bf_126	107	3.715299e+02	2181.jpg	2112.jpg	53	45	i	0	1.230613e+03
BMI_bf_126	108	3.750339e+02	2248.jpg	1216.jpg	60	26	u	0	9.780460e+02
BMI_bf_126	109	3.785211e+02	1073.jpg	2118.jpg	11	46	i	0	6.522160e+02
BMI_bf_126	110	3.820250e+02	1204.jpg	1060.jpg	24	10	i	0	1.130958e+03
BMI_bf_126	111	3.855290e+02	2209.jpg	1114.jpg	55	13	u	0	1.845994e+03
BMI_bf_126	112	3.890329e+02	2149.jpg	2058.jpg	49	40	u	0	1.717203e+03
BMI_bf_126	113	3.925368e+02	1145.jpg	2164.jpg	16	52	i	0	1.734736e+03
BMI_bf_126	114	3.960240e+02	2153.jpg	2194.jpg	50	54	u	0	1.296377e+03
BMI_bf_126	115	3.995280e+02	1035.jpg	2015.jpg	7	33	u	0	1.257571e+03
BMI_bf_126	116	4.030319e+02	2212.jpg	1150.jpg	56	18	u	0	1.376313e+03
BMI_bf_126	117	4.065358e+02	2063.jpg	1130.jpg	41	15	u	0	1.180046e+03
BMI_bf_126	118	4.100231e+02	1017.jpg	2024.jpg	3	34	u	0	1.225494e+03
BMI_bf_126	119	4.135270e+02	2125.jpg	1191.jpg	47	21	u	0	1.378021e+03
BMI_bf_126	120	4.170476e+02	2128.jpg	2229.jpg	48	58	i	0	1.412555e+03
BMI_bf_126	121	4.205348e+02	1262.jpg	2212.jpg	30	56	i	0	1.165408e+03
BMI_bf_126	122	4.240221e+02	2006.jpg	1013.jpg	31	2	i	0	2.279645e+03
BMI_bf_126	123	4.275260e+02	2118.jpg	2164.jpg	46	52	u	0	1.318347e+03
BMI_bf_126	124	4.310299e+02	1202.jpg	2024.jpg	23	34	u	0	1.572113e+03
BMI_bf_126	125	4.345339e+02	1027.jpg	2058.jpg	5	40	u	0	1.432077e+03
BMI_bf_126	126	4.380211e+02	1073.jpg	1130.jpg	11	15	i	0	2.152507e+03
BMI_bf_126	127	4.415250e+02	2128.jpg	2209.jpg	48	55	u	0	1.978737e+03
BMI_bf_126	128	4.450290e+02	2240.jpg	2194.jpg	59	54	u	0	2.164972e+03
BMI_bf_126	129	4.485329e+02	2125.jpg	2089.jpg	47	42	i	0	1.462438e+03
BMI_bf_126	130	4.520368e+02	1150.jpg	2112.jpg	18	45	i	0	1.817452e+03
BMI_bf_126	131	4.555241e+02	2248.jpg	1246.jpg	60	28	x	999	999000
BMI_bf_126	132	4.590280e+02	1127.jpg	1035.jpg	14	7	i	0	2.172838e+03
BMI_bf_126	133	4.625319e+02	2010.jpg	2229.jpg	32	58	u	0	1.650313e+03
