subjectID	 order	 itemIndABC	 runtrial	 isOld?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd	 isBeep?
BMI_bf_126	 2	 25	 1	 1	 1	 1.341870e-02	 2212.jpg	 i	 1.606081e+00	 10	 0	 
BMI_bf_126	 2	 37	 2	 0	 0	 2.666381e+00	 5152.jpg	 u	 1.394455e+00	 0	 0	 
BMI_bf_126	 2	 3	 3	 1	 1	 5.119200e+00	 1027.jpg	 i	 8.204668e-01	 53	 0	 
BMI_bf_126	 2	 31	 4	 0	 0	 6.987853e+00	 5049.jpg	 u	 9.543991e-01	 0	 0	 
BMI_bf_126	 2	 11	 5	 1	 1	 8.990113e+00	 1192.jpg	 i	 8.309758e-01	 54	 1	 
BMI_bf_126	 2	 32	 6	 0	 0	 1.087564e+01	 5057.jpg	 u	 8.580814e-01	 0	 0	 
BMI_bf_126	 2	 8	 7	 1	 1	 1.277771e+01	 1145.jpg	 i	 7.223081e-01	 45	 0	 
BMI_bf_126	 2	 50	 8	 0	 0	 1.454626e+01	 6154.jpg	 u	 8.776012e-01	 0	 0	 
BMI_bf_126	 2	 16	 9	 1	 1	 1.648187e+01	 2006.jpg	 i	 7.083505e-01	 16	 1	 
BMI_bf_126	 2	 39	 10	 0	 0	 1.823390e+01	 5207.jpg	 u	 8.351327e-01	 0	 0	 
BMI_bf_126	 2	 47	 11	 0	 0	 2.011925e+01	 6054.jpg	 u	 8.511001e-01	 0	 0	 
BMI_bf_126	 2	 2	 12	 1	 1	 2.202131e+01	 1019.jpg	 i	 6.703867e-01	 49	 1	 
BMI_bf_126	 2	 17	 13	 1	 1	 2.373999e+01	 2010.jpg	 i	 6.393424e-01	 9	 1	 
BMI_bf_126	 2	 30	 14	 0	 0	 2.542526e+01	 5028.jpg	 u	 7.091071e-01	 0	 0	 
BMI_bf_126	 2	 56	 15	 0	 0	 2.717720e+01	 6249.jpg	 u	 7.010249e-01	 0	 0	 
BMI_bf_126	 2	 22	 16	 1	 1	 2.892911e+01	 2153.jpg	 i	 6.703920e-01	 6	 0	 
BMI_bf_126	 2	 5	 17	 1	 1	 3.064768e+01	 1060.jpg	 i	 3.002076e+00	 56	 0	 
BMI_bf_126	 2	 18	 18	 1	 1	 3.470219e+01	 2041.jpg	 i	 6.688295e-01	 11	 1	 
BMI_bf_126	 2	 28	 19	 1	 1	 3.642083e+01	 2248.jpg	 i	 6.940264e-01	 50	 0	 
BMI_bf_126	 2	 35	 20	 0	 0	 3.815609e+01	 5129.jpg	 u	 7.251298e-01	 0	 0	 
BMI_bf_126	 2	 29	 21	 0	 0	 3.992493e+01	 5009.jpg	 u	 7.676067e-01	 0	 0	 
BMI_bf_126	 2	 51	 22	 0	 0	 4.174357e+01	 6190.jpg	 u	 7.603149e-01	 0	 0	 
BMI_bf_126	 2	 34	 23	 0	 0	 4.354549e+01	 5115.jpg	 u	 6.347159e-01	 0	 0	 
BMI_bf_126	 2	 45	 24	 0	 0	 4.523078e+01	 6036.jpg	 u	 7.269680e-01	 0	 0	 
BMI_bf_126	 2	 33	 25	 0	 0	 4.699952e+01	 5081.jpg	 u	 6.796017e-01	 0	 0	 
BMI_bf_126	 2	 14	 26	 1	 1	 4.873467e+01	 1255.jpg	 i	 8.232677e-01	 18	 0	 
BMI_bf_126	 2	 41	 27	 0	 0	 5.060341e+01	 5228.jpg	 u	 9.008743e-01	 0	 0	 
BMI_bf_126	 2	 24	 28	 1	 1	 5.255562e+01	 2181.jpg	 i	 6.137795e-01	 13	 0	 
BMI_bf_126	 2	 7	 29	 1	 1	 5.422428e+01	 1127.jpg	 i	 7.001589e-01	 46	 1	 
BMI_bf_126	 2	 21	 30	 1	 1	 5.597608e+01	 2125.jpg	 i	 6.359458e-01	 7	 0	 
BMI_bf_126	 2	 15	 31	 1	 1	 5.766131e+01	 1262.jpg	 i	 8.857705e-01	 47	 0	 
BMI_bf_126	 2	 52	 32	 0	 0	 5.959691e+01	 6201.jpg	 u	 8.515229e-01	 0	 0	 
BMI_bf_126	 2	 38	 33	 0	 0	 6.149895e+01	 5182.jpg	 u	 8.170781e-01	 0	 0	 
BMI_bf_126	 2	 13	 34	 1	 1	 6.336779e+01	 1246.jpg	 i	 7.483200e-01	 55	 0	 
BMI_bf_126	 2	 36	 35	 0	 1	 6.516971e+01	 5144.jpg	 i	 6.227269e-01	 0	 0	 
BMI_bf_126	 2	 6	 36	 1	 1	 6.683826e+01	 1073.jpg	 i	 6.192468e-01	 43	 1	 
BMI_bf_126	 2	 55	 37	 0	 0	 6.850694e+01	 6221.jpg	 u	 5.931536e-01	 0	 0	 
