subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
BMI_bfr_102	0	2	02	1	1	2.018893e+00	145.jpg	160.jpg	51	50	1	i	2	0	1249.78	0.24	0.24
BMI_bfr_102	0	2	02	1	2	5.005343e+00	114.jpg	108.jpg	52	48	0	u	2	0	975.35	0.22	0.29
BMI_bfr_102	0	2	02	1	3	9.010151e+00	136.jpg	142.jpg	17	7	1	i	1	0	746.57	0.71	0.82
BMI_bfr_102	0	2	02	1	4	1.501678e+01	125.jpg	108.jpg	47	48	0	i	2	1	915.92	0.30	0.29
BMI_bfr_102	0	2	02	1	5	2.100683e+01	160.jpg	149.jpg	50	49	0	u	2	0	1405.86	0.24	0.26
BMI_bfr_102	0	2	02	1	6	2.601244e+01	137.jpg	142.jpg	14	7	1	i	1	0	1288.25	0.75	0.82
BMI_bfr_102	0	2	02	1	7	3.001698e+01	147.jpg	101.jpg	18	8	0	u	1	0	1379.70	0.68	0.80
BMI_bfr_102	0	2	02	1	8	3.500589e+01	117.jpg	124.jpg	5	56	1	u	4	1	790.79	0.86	0.15
BMI_bfr_102	0	2	02	1	9	4.101258e+01	122.jpg	134.jpg	10	9	0	u	1	0	1064.11	0.79	0.79
BMI_bfr_102	0	2	02	1	10	4.401598e+01	116.jpg	105.jpg	53	54	0	i	2	1	1156.72	0.19	0.19
BMI_bfr_102	0	2	02	1	11	4.701939e+01	102.jpg	122.jpg	16	10	1	u	1	1	945.28	0.71	0.79
BMI_bfr_102	0	2	02	1	12	5.100715e+01	114.jpg	148.jpg	52	46	0	i	2	1	1005.54	0.22	0.31
BMI_bfr_102	0	2	02	1	13	5.601282e+01	154.jpg	124.jpg	6	56	1	u	4	1	1127.87	0.83	0.15
BMI_bfr_102	0	2	02	1	14	5.901610e+01	140.jpg	102.jpg	15	16	0	u	1	0	1044.59	0.74	0.71
BMI_bfr_102	0	2	02	1	15	6.201954e+01	128.jpg	151.jpg	11	12	1	i	1	0	1185.16	0.79	0.78
BMI_bfr_102	0	2	02	1	16	6.600733e+01	125.jpg	123.jpg	47	43	0	i	2	1	1197.36	0.30	0.33
BMI_bfr_102	0	2	02	1	17	8.000631e+01	145.jpg	114.jpg	51	52	1	u	2	1	1398.38	0.24	0.22
BMI_bfr_102	0	2	02	1	18	8.801528e+01	155.jpg	123.jpg	44	43	0	u	2	0	1189.42	0.32	0.33
BMI_bfr_102	0	2	02	1	19	9.400541e+01	142.jpg	102.jpg	7	16	0	i	1	1	1367.28	0.82	0.71
BMI_bfr_102	0	2	02	1	20	9.700870e+01	108.jpg	155.jpg	48	44	1	i	2	0	1428.00	0.29	0.32
BMI_bfr_102	0	2	02	1	21	1.010132e+02	137.jpg	122.jpg	14	10	1	i	1	0	1087.53	0.75	0.79
BMI_bfr_102	0	2	02	1	22	1.070200e+02	136.jpg	151.jpg	17	12	1	i	1	0	1168.71	0.71	0.78
BMI_bfr_102	0	2	02	1	23	1.100067e+02	120.jpg	105.jpg	45	54	0	u	2	0	1334.01	0.31	0.19
BMI_bfr_102	0	2	02	1	24	1.130100e+02	155.jpg	105.jpg	44	54	0	u	2	0	1130.73	0.32	0.19
BMI_bfr_102	0	2	02	1	25	1.160133e+02	116.jpg	149.jpg	53	49	0	x	2	999	999000.00	0.19	0.26
BMI_bfr_102	0	2	02	1	26	1.230212e+02	145.jpg	125.jpg	51	47	1	u	2	1	1031.51	0.24	0.30
BMI_bfr_102	0	2	02	1	27	1.260079e+02	128.jpg	147.jpg	11	18	1	i	1	0	772.76	0.79	0.68
BMI_bfr_102	0	2	02	1	28	1.290112e+02	114.jpg	105.jpg	52	54	0	i	2	1	1449.46	0.22	0.19
BMI_bfr_102	0	2	02	1	29	1.340169e+02	120.jpg	148.jpg	45	46	0	i	2	1	787.80	0.31	0.31
BMI_bfr_102	0	2	02	1	30	1.370203e+02	113.jpg	136.jpg	13	17	0	u	1	0	976.42	0.75	0.71
BMI_bfr_102	0	2	02	1	31	1.410080e+02	102.jpg	113.jpg	16	13	1	i	1	0	764.72	0.71	0.75
BMI_bfr_102	0	2	02	1	32	1.470148e+02	128.jpg	140.jpg	11	15	1	i	1	0	741.90	0.79	0.74
BMI_bfr_102	0	2	02	1	33	1.500181e+02	137.jpg	113.jpg	14	13	1	i	1	0	730.56	0.75	0.75
BMI_bfr_102	0	2	02	1	34	1.570093e+02	102.jpg	147.jpg	16	18	1	i	1	0	1091.37	0.71	0.68
BMI_bfr_102	0	2	02	1	35	1.620149e+02	134.jpg	142.jpg	9	7	1	i	1	0	1237.83	0.79	0.82
BMI_bfr_102	0	2	02	1	36	1.660194e+02	136.jpg	140.jpg	17	15	1	i	1	0	881.25	0.71	0.74
BMI_bfr_102	0	2	02	1	37	1.690061e+02	114.jpg	149.jpg	52	49	0	i	2	1	934.61	0.22	0.26
BMI_bfr_102	0	2	02	1	38	1.720095e+02	160.jpg	123.jpg	50	43	0	i	2	1	1035.23	0.24	0.33
