subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BMI_bfr_103	 1	 3	 132.jpg	 3.085363e+02	 24	 999000	 240	 999000	 999	 3.095540e+02	 550.00	 616.67	 41.00	 32	 0.40	 
BMI_bfr_103	 1	 3	 126.jpg	 3.115229e+02	 11	 1.218937e+03	 1100	 5.502798e+02	 98	 3.125573e+02	 500.00	 616.67	 7.00	 26	 0.82	 
BMI_bfr_103	 1	 3	 115.jpg	 3.135253e+02	 24	 999000	 240	 999000	 999	 3.145429e+02	 500.00	 616.67	 56.00	 15	 0.18	 
BMI_bfr_103	 1	 3	 146.jpg	 3.155274e+02	 24	 999000	 240	 999000	 999	 3.165471e+02	 500.00	 616.67	 39.00	 46	 0.40	 
BMI_bfr_103	 1	 3	 159.jpg	 3.175298e+02	 24	 999000	 240	 999000	 999	 3.185475e+02	 500.00	 616.67	 46.00	 59	 0.31	 
BMI_bfr_103	 1	 3	 123.jpg	 3.205330e+02	 12	 999000	 120	 999000	 999	 3.215508e+02	 500.00	 616.67	 4.00	 23	 0.84	 
BMI_bfr_103	 1	 3	 160.jpg	 3.225354e+02	 12	 999000	 120	 999000	 999	 3.235531e+02	 500.00	 616.67	 16.00	 60	 0.68	 
BMI_bfr_103	 1	 3	 131.jpg	 3.265231e+02	 24	 999000	 240	 999000	 999	 3.275409e+02	 500.00	 616.67	 55.00	 31	 0.20	 
BMI_bfr_103	 1	 3	 106.jpg	 3.285255e+02	 11	 8.003599e+02	 110	 5.002979e+02	 98	 3.295598e+02	 516.67	 616.67	 13.00	 6	 0.68	 
BMI_bfr_103	 1	 3	 112.jpg	 3.335310e+02	 12	 999000	 120	 999000	 999	 3.345487e+02	 516.67	 616.67	 8.00	 12	 0.77	 
BMI_bfr_103	 1	 3	 122.jpg	 3.355332e+02	 12	 999000	 120	 999000	 999	 3.365510e+02	 516.67	 616.67	 14.00	 22	 0.68	 
BMI_bfr_103	 1	 3	 152.jpg	 3.395207e+02	 11	 8.531373e+02	 110	 5.169600e+02	 98	 3.405555e+02	 533.33	 616.67	 10.00	 52	 0.75	 
BMI_bfr_103	 1	 3	 120.jpg	 3.415234e+02	 11	 9.304578e+02	 110	 5.336117e+02	 98	 3.425577e+02	 550.00	 616.67	 12.00	 20	 0.73	 
