subjectID	order	stimName	itemIndABC	bidInd	runtrial	isOld?	subjectAnswerIsOld	isBeep?	subjectAnswerIsBeep	onsettime	resp_choice	RT
BMI_bfr_116	2	113.jpg	9	53	1	1	1	0	0	1.090112e-02	u	1.713340e+00
BMI_bfr_116	2	125.jpg	14	14	2	1	1	1	1	2.781002e+00	i	8.952408e-01
BMI_bfr_116	2	124.jpg	13	12	3	1	1	0	0	4.733123e+00	u	1.143116e+00
BMI_bfr_116	2	139.jpg	18	11	4	1	1	1	1	6.935598e+00	i	1.796636e+00
BMI_bfr_116	2	146.jpg	21	6	5	1	1	0	0	9.788943e+00	u	9.992911e-01
BMI_bfr_116	2	147.jpg	22	9	6	1	1	1	1	1.184112e+01	i	8.911195e-01
BMI_bfr_116	2	106.jpg	5	49	7	1	1	1	1	1.377667e+01	i	8.115749e-01
BMI_bfr_116	2	141.jpg	19	5	8	1	1	0	0	1.564542e+01	u	1.110831e+00
BMI_bfr_116	2	152.jpg	25	7	9	1	1	0	0	1.781454e+01	u	1.101694e+00
BMI_bfr_116	2	119.jpg	12	56	10	1	1	0	0	1.996700e+01	u	9.172371e-01
BMI_bfr_116	2	157.jpg	28	50	11	1	1	0	0	2.193589e+01	u	9.483396e-01
BMI_bfr_116	2	148.jpg	23	18	12	1	1	0	0	2.393806e+01	u	8.661795e-01
BMI_bfr_116	2	134.jpg	17	48	13	1	1	1	1	2.585702e+01	i	1.611219e+00
BMI_bfr_116	2	105.jpg	4	55	14	1	1	0	0	2.852653e+01	u	7.577070e-01
BMI_bfr_116	2	108.jpg	7	13	15	1	1	0	0	3.032859e+01	u	9.076446e-01
BMI_bfr_116	2	102.jpg	2	45	16	1	1	0	0	3.228080e+01	u	8.914345e-01
BMI_bfr_116	2	114.jpg	10	43	17	1	1	1	1	3.421637e+01	i	8.118763e-01
BMI_bfr_116	2	145.jpg	20	16	18	1	1	1	1	3.608510e+01	i	8.551397e-01
BMI_bfr_116	2	129.jpg	16	10	19	1	1	0	0	3.798711e+01	u	7.931309e-01
BMI_bfr_116	2	116.jpg	11	52	20	1	1	0	0	3.983923e+01	u	7.250066e-01
BMI_bfr_116	2	110.jpg	8	46	21	1	1	1	1	4.160788e+01	i	7.163503e-01
BMI_bfr_116	2	107.jpg	6	8	22	1	1	1	1	4.337650e+01	i	7.157463e-01
BMI_bfr_116	2	104.jpg	3	17	23	1	1	1	0	4.514519e+01	u	8.990480e-01
BMI_bfr_116	2	150.jpg	24	54	24	1	1	1	1	4.709744e+01	i	4.074802e+00
BMI_bfr_116	2	126.jpg	15	47	25	1	1	0	0	5.221978e+01	u	7.684599e-01
BMI_bfr_116	2	154.jpg	26	51	26	1	1	1	1	5.403848e+01	i	7.017554e-01
BMI_bfr_116	2	155.jpg	27	15	27	1	1	0	0	5.579054e+01	u	7.416935e-01
