Subject	StimName	StimNum	Rank	Wins	Loses	Total
p_130	1540.jpg	1	1.186065e-01	1	9	10
p_130	1590.jpg	2	4.623583e-01	5	5	10
p_130	1660.jpg	3	5.802752e-01	6	3	9
p_130	1720.jpg	4	6.976521e-01	7	3	10
p_130	1721.jpg	5	8.035477e-01	9	1	10
p_130	2030.jpg	6	1.822200e-01	0	10	10
p_130	2058.jpg	7	7.632338e-01	9	1	10
p_130	2155.jpg	8	1.744838e-01	1	9	10
p_130	2209.jpg	9	7.955545e-01	9	1	10
p_130	2345.jpg	10	6.874099e-01	7	3	10
p_130	2347.jpg	11	8.953428e-01	10	0	10
p_130	2352.1.jpg	12	6.893748e-01	6	3	9
p_130	2362.jpg	13	4.510008e-01	5	5	10
p_130	2398.jpg	14	7.771626e-01	9	1	10
p_130	2550.jpg	15	5.575688e-01	6	4	10
p_130	2655.jpg	16	8.850484e-01	9	1	10
p_130	4597.jpg	17	5.524778e-01	6	4	10
p_130	4610.jpg	18	4.967984e-01	5	5	10
p_130	4612.jpg	19	7.680177e-01	8	2	10
p_130	4614.jpg	20	3.829974e-01	3	7	10
p_130	4619.jpg	21	4.355929e-01	5	5	10
p_130	4628.jpg	22	2.602265e-01	1	9	10
p_130	4640.jpg	23	1.986610e-01	1	9	10
p_130	4641.jpg	24	6.931793e-01	8	2	10
p_130	5199.jpg	25	9.448601e-01	10	0	10
p_130	5260.jpg	26	7.453338e-01	9	1	10
p_130	5480.jpg	27	7.390627e-01	8	2	10
p_130	5626.jpg	28	5.562101e-01	6	4	10
p_130	5814.jpg	29	6.799043e-01	6	4	10
p_130	5829.jpg	30	7.874823e-01	9	1	10
p_130	5982.jpg	31	8.968313e-01	10	0	10
p_130	7200.jpg	32	6.147522e-01	7	3	10
p_130	7260.jpg	33	5.977481e-01	7	3	10
p_130	7291.jpg	34	1.527914e-01	0	10	10
p_130	7390.jpg	35	3.286280e-01	3	7	10
p_130	7430.jpg	36	7.318794e-01	8	2	10
p_130	7470.jpg	37	3.899430e-01	3	6	9
p_130	7480.jpg	38	1.335503e-01	0	10	10
p_130	7482.jpg	39	3.524404e-02	0	10	10
p_130	7499.jpg	40	5.750548e-01	5	5	10
p_130	7508.jpg	41	6.977707e-01	8	2	10
p_130	8001.jpg	42	7.232654e-01	8	2	10
p_130	8090.jpg	43	1.695418e-01	0	10	10
p_130	8130.jpg	44	4.056934e-01	5	5	10
p_130	8158.jpg	45	3.393109e-01	2	8	10
p_130	8170.jpg	46	5.039176e-01	5	5	10
p_130	8208.jpg	47	3.037211e-01	1	9	10
p_130	8280.jpg	48	2.259775e-01	2	8	10
p_130	8340.jpg	49	2.246912e-01	1	9	10
p_130	8371.jpg	50	2.494607e-01	2	7	9
p_130	8380.jpg	51	5.779081e-01	7	3	10
p_130	8420.jpg	52	4.129009e-01	4	6	10
p_130	8461.jpg	53	7.133987e-01	8	2	10
p_130	8467.jpg	54	4.161805e-01	4	6	10
p_130	8470.jpg	55	4.249662e-01	4	6	10
p_130	8499.jpg	56	2.144645e-01	2	8	10
p_130	8500.jpg	57	3.024877e-01	2	7	9
p_130	8502.jpg	58	2.531453e-01	1	8	9
p_130	8510.jpg	59	1.439950e-01	0	10	10
p_130	8540.jpg	60	4.791359e-01	4	6	10
