subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
p_142	0	2	01	1	1	2.015833e+00	4610.jpg	2209.jpg	9	12	1	u	1	1	651.64	0.78	0.76
p_142	0	2	01	1	2	5.015871e+00	4610.jpg	4640.jpg	9	15	1	u	1	1	491.55	0.78	0.73
p_142	0	2	01	1	3	1.201596e+01	7499.jpg	8280.jpg	53	49	0	i	2	1	611.35	0.24	0.26
p_142	0	2	01	1	4	1.601603e+01	1721.jpg	8280.jpg	52	49	0	i	2	1	595.20	0.25	0.26
p_142	0	2	01	1	5	2.101610e+01	4641.jpg	2362.jpg	16	18	1	u	1	1	691.09	0.73	0.65
p_142	0	2	01	1	6	2.501614e+01	8090.jpg	5480.jpg	43	45	1	u	2	1	851.00	0.34	0.31
p_142	0	2	01	1	7	2.901620e+01	5260.jpg	7390.jpg	51	50	1	u	2	1	970.85	0.25	0.26
p_142	0	2	01	1	8	3.201623e+01	2550.jpg	8158.jpg	46	44	1	u	2	1	914.73	0.30	0.31
p_142	0	2	01	1	9	3.501628e+01	2362.jpg	4610.jpg	18	9	0	i	1	1	602.68	0.65	0.78
p_142	0	2	01	1	10	4.001634e+01	1660.jpg	7260.jpg	54	47	1	u	2	1	538.54	0.23	0.29
p_142	0	2	01	1	11	4.401639e+01	2030.jpg	4612.jpg	17	10	1	u	1	1	730.41	0.68	0.76
p_142	0	2	01	1	12	4.901646e+01	5480.jpg	5260.jpg	45	51	0	x	2	999	999000.00	0.31	0.25
p_142	0	2	01	1	13	5.301651e+01	4628.jpg	8170.jpg	6	55	1	x	4	999	999000.00	0.83	0.23
p_142	0	2	01	1	14	5.601655e+01	4640.jpg	4641.jpg	15	16	0	i	1	1	930.06	0.73	0.73
p_142	0	2	01	1	15	6.001660e+01	2209.jpg	4641.jpg	12	16	0	i	1	1	521.95	0.76	0.73
p_142	0	2	01	1	16	6.601667e+01	4597.jpg	2352.1.jpg	13	8	0	i	1	1	977.77	0.76	0.81
p_142	0	2	01	1	17	7.301678e+01	7499.jpg	1660.jpg	53	54	0	u	2	0	689.50	0.24	0.23
p_142	0	2	01	1	18	7.601681e+01	5480.jpg	8280.jpg	45	49	0	i	2	1	697.46	0.31	0.26
p_142	0	2	01	1	19	8.101687e+01	7390.jpg	2550.jpg	50	46	0	i	2	1	489.27	0.26	0.30
p_142	0	2	01	1	20	8.601694e+01	8500.jpg	4641.jpg	7	16	0	i	1	1	785.17	0.81	0.73
p_142	0	2	01	1	21	9.201705e+01	8090.jpg	1721.jpg	43	52	1	u	2	1	712.96	0.34	0.25
p_142	0	2	01	1	22	9.601707e+01	2030.jpg	2362.jpg	17	18	1	u	1	1	592.85	0.68	0.65
p_142	0	2	01	1	23	1.010171e+02	4612.jpg	4641.jpg	10	16	0	i	1	1	640.72	0.76	0.73
p_142	0	2	01	1	24	1.080172e+02	4610.jpg	8500.jpg	9	7	1	i	1	0	608.49	0.78	0.81
p_142	0	2	01	1	25	1.130173e+02	4597.jpg	4610.jpg	13	9	0	i	1	1	800.33	0.76	0.78
p_142	0	2	01	1	26	1.180174e+02	2655.jpg	8500.jpg	11	7	1	i	1	0	1376.17	0.76	0.81
p_142	0	2	01	1	27	1.210174e+02	1590.jpg	5480.jpg	48	45	1	u	2	1	1088.07	0.29	0.31
p_142	0	2	01	1	28	1.240174e+02	2058.jpg	8371.jpg	5	56	1	u	4	1	720.00	0.84	0.17
p_142	0	2	01	1	29	1.300175e+02	2550.jpg	7260.jpg	46	47	1	u	2	1	759.86	0.30	0.29
p_142	0	2	01	1	30	1.340176e+02	2345.jpg	8500.jpg	14	7	1	i	1	0	535.74	0.73	0.81
p_142	0	2	01	1	31	1.430177e+02	1590.jpg	1721.jpg	48	52	1	u	2	1	783.46	0.29	0.25
p_142	0	2	01	1	32	1.480178e+02	4640.jpg	2030.jpg	15	17	0	i	1	1	519.28	0.73	0.68
p_142	0	2	01	1	33	1.570179e+02	5480.jpg	1660.jpg	45	54	0	i	2	1	495.06	0.31	0.23
p_142	0	2	01	1	34	1.600179e+02	4640.jpg	2352.1.jpg	15	8	0	i	1	1	854.92	0.73	0.81
p_142	0	2	01	1	35	1.640180e+02	8280.jpg	8158.jpg	49	44	1	u	2	1	630.84	0.26	0.31
p_142	0	2	01	1	36	1.700180e+02	7260.jpg	5260.jpg	47	51	0	u	2	0	1446.67	0.29	0.25
p_142	0	2	01	1	37	1.740181e+02	7499.jpg	2550.jpg	53	46	0	i	2	1	670.53	0.24	0.30
p_142	0	2	01	1	38	1.810182e+02	4597.jpg	2030.jpg	13	17	0	i	1	1	606.35	0.76	0.68
