subjectID	runtrial	onsettime	ImageLeft	ImageRight	StimNumLeft	StimNumRight	Response	Outcome	RT
p_156	1	5.293647e-01	7291.jpg	7200.jpg	34	32	i	0	7.343630e+02
p_156	2	4.029446e+00	5480.jpg	8170.jpg	27	46	u	0	5.782629e+02
p_156	3	7.529516e+00	4640.jpg	7482.jpg	23	39	i	0	1.070176e+03
p_156	4	1.102960e+01	8461.jpg	1660.jpg	53	3	i	0	1.130005e+03
p_156	5	1.452969e+01	8499.jpg	2362.jpg	56	13	i	0	8.298950e+02
p_156	6	1.802977e+01	4597.jpg	8540.jpg	17	60	u	0	9.218535e+02
p_156	7	2.152985e+01	2345.jpg	8467.jpg	10	54	u	0	1.221744e+03
p_156	8	2.502994e+01	2058.jpg	7480.jpg	7	38	i	0	1.473592e+03
p_156	9	2.853001e+01	2550.jpg	8470.jpg	15	55	u	0	1.389527e+03
p_156	10	3.203010e+01	2398.jpg	2030.jpg	14	6	u	0	1.105382e+03
p_156	11	3.553016e+01	8502.jpg	8420.jpg	58	52	i	0	8.292835e+02
p_156	12	3.903025e+01	8158.jpg	8380.jpg	45	51	u	0	6.731940e+02
p_156	13	4.253034e+01	4614.jpg	2347.jpg	20	11	i	0	7.410650e+02
p_156	14	4.603042e+01	1590.jpg	7260.jpg	2	33	u	0	9.210175e+02
p_156	15	4.953049e+01	7508.jpg	7430.jpg	41	36	i	0	1.204930e+03
p_156	16	5.303058e+01	1720.jpg	2209.jpg	4	9	u	0	7.607657e+02
p_156	17	5.653065e+01	5982.jpg	8090.jpg	31	43	u	0	7.887251e+02
p_156	18	6.003073e+01	7470.jpg	8340.jpg	37	49	u	0	1.104561e+03
p_156	19	6.353081e+01	1721.jpg	4641.jpg	5	24	u	0	1.244504e+03
p_156	20	6.703089e+01	8130.jpg	8510.jpg	44	59	i	0	8.004122e+02
p_156	21	7.053099e+01	2352.1.jpg	5260.jpg	12	26	i	0	1.004245e+03
p_156	22	7.403106e+01	8500.jpg	4619.jpg	57	21	u	0	6.162022e+02
p_156	23	7.753115e+01	8371.jpg	5626.jpg	50	28	i	0	9.561043e+02
p_156	24	8.103122e+01	8208.jpg	2655.jpg	47	16	i	0	9.439937e+02
p_156	25	8.453130e+01	4610.jpg	5814.jpg	18	29	u	0	9.238854e+02
p_156	26	8.803139e+01	1540.jpg	4612.jpg	1	19	u	0	7.277803e+02
p_156	27	9.153150e+01	7499.jpg	5199.jpg	40	25	i	0	6.436123e+02
p_156	28	9.503154e+01	8280.jpg	4628.jpg	48	22	i	0	1.231525e+03
p_156	29	9.853163e+01	2155.jpg	7390.jpg	8	35	i	0	1.387471e+03
p_156	30	1.020317e+02	5829.jpg	8001.jpg	30	42	u	0	6.073087e+02
p_156	31	1.055318e+02	2345.jpg	7430.jpg	10	36	i	0	5.952641e+02
