subjectID	 order	 itemIndABC	 runtrial	 isOld?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd	 isBeep?
N217	 1	 34	 1	 0	 0	 4.275900e-02	 1302.jpg	 i	 2.481097e+00	 0	 0	 
N217	 1	 8	 2	 1	 1	 3.609308e+00	 3103.jpg	 u	 1.394462e+00	 50	 1	 
N217	 1	 52	 3	 0	 0	 6.075875e+00	 9330.jpg	 i	 1.023903e+00	 0	 0	 
N217	 1	 46	 4	 0	 0	 8.175780e+00	 9090.jpg	 i	 8.919704e-01	 0	 0	 
N217	 1	 1	 5	 1	 0	 1.014237e+01	 1002.jpg	 i	 2.509348e+00	 43	 0	 
N217	 1	 25	 6	 1	 0	 1.372552e+01	 9561.jpg	 i	 3.118136e+00	 46	 0	 
N217	 1	 26	 7	 1	 0	 1.792539e+01	 9600.jpg	 i	 7.582010e-01	 6	 0	 
N217	 1	 17	 8	 1	 0	 1.975861e+01	 9050.jpg	 i	 9.569967e-01	 5	 0	 
N217	 1	 15	 9	 1	 0	 2.179190e+01	 9008.jpg	 i	 6.836845e-01	 51	 0	 
N217	 1	 2	 10	 1	 0	 2.355849e+01	 1019.jpg	 i	 1.269025e+00	 10	 1	 
N217	 1	 55	 11	 0	 1	 2.590836e+01	 9905.jpg	 u	 1.991104e+00	 0	 0	 
N217	 1	 22	 12	 1	 1	 2.897494e+01	 9395.jpg	 u	 7.964900e-01	 47	 1	 
N217	 1	 54	 13	 0	 0	 3.084153e+01	 9429.jpg	 i	 9.619115e-01	 0	 0	 
N217	 1	 12	 14	 1	 1	 3.287479e+01	 6562.jpg	 u	 1.648628e+00	 45	 1	 
N217	 1	 19	 15	 1	 1	 3.560797e+01	 9325.jpg	 u	 1.379414e+00	 54	 0	 
N217	 1	 48	 16	 0	 0	 3.805791e+01	 9280.jpg	 i	 9.294430e-01	 0	 0	 
N217	 1	 33	 17	 0	 0	 4.005782e+01	 1280.jpg	 i	 9.774723e-01	 0	 0	 
N217	 1	 10	 18	 1	 1	 4.210770e+01	 6370.jpg	 u	 1.103602e+00	 9	 0	 
