subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
N_125	0	1	01	1	1	3.082246e+00	9290.jpg	2683.jpg	13	16	1	i	1	0	786.34	0.73	0.69
N_125	0	1	01	1	2	9.082142e+00	7078.jpg	9290.jpg	8	13	0	i	1	1	674.39	0.81	0.73
N_125	0	1	01	1	3	1.208209e+01	6312.jpg	9321.jpg	51	47	0	i	2	1	826.35	0.24	0.29
N_125	0	1	01	1	4	1.508197e+01	6312.jpg	6821.jpg	51	44	0	i	2	1	754.46	0.24	0.32
N_125	0	1	01	1	5	1.808192e+01	2683.jpg	9342.jpg	16	10	0	i	1	1	746.43	0.69	0.76
N_125	0	1	01	1	6	2.208185e+01	9425.jpg	6570.JPG	45	46	1	u	2	1	746.47	0.32	0.30
N_125	0	1	01	1	7	3.008171e+01	2456.jpg	2455.jpg	11	12	0	i	1	1	698.44	0.74	0.74
N_125	0	1	01	1	8	3.508162e+01	9042.jpg	1001.jpg	48	50	0	u	2	0	770.45	0.28	0.24
N_125	0	1	01	1	9	4.008153e+01	9290.jpg	1271.jpg	13	17	1	u	1	1	714.49	0.73	0.69
N_125	0	1	01	1	10	4.308148e+01	1002.jpg	6821.jpg	49	44	0	i	2	1	1074.44	0.28	0.32
N_125	0	1	01	1	11	4.608142e+01	2039.jpg	9341.jpg	15	9	1	i	1	0	810.45	0.70	0.77
N_125	0	1	01	1	12	5.208132e+01	9291.jpg	1271.jpg	7	17	1	u	1	1	810.50	0.82	0.69
N_125	0	1	01	1	13	5.608125e+01	2039.jpg	2683.jpg	15	16	1	u	1	1	730.50	0.70	0.69
N_125	0	1	01	1	14	5.908119e+01	6821.jpg	3160.jpg	44	54	1	u	2	1	674.47	0.32	0.18
N_125	0	1	01	1	15	6.408111e+01	3160.jpg	9300.jpg	54	52	0	u	2	0	986.46	0.18	0.20
N_125	0	1	01	1	16	7.108099e+01	9300.jpg	6570.JPG	52	46	1	i	2	0	834.51	0.20	0.30
N_125	0	1	01	1	17	7.408093e+01	9301.jpg	6210.jpg	56	6	0	i	4	1	730.48	0.15	0.82
N_125	0	1	01	1	18	8.308077e+01	9291.jpg	2456.jpg	7	11	1	u	1	1	578.53	0.82	0.74
N_125	0	1	01	1	19	8.608071e+01	2456.jpg	2205.jpg	11	18	0	i	1	1	794.54	0.74	0.65
N_125	0	1	01	1	20	9.208061e+01	9321.jpg	6570.JPG	47	46	1	i	2	0	650.51	0.29	0.30
N_125	0	1	01	1	21	9.708052e+01	2456.jpg	9290.jpg	11	13	0	i	1	1	834.50	0.74	0.73
N_125	0	1	01	1	22	1.000805e+02	3160.jpg	9425.jpg	54	45	0	i	2	1	762.55	0.18	0.32
N_125	0	1	01	1	23	1.070803e+02	9930.jpg	9301.jpg	5	56	1	u	4	1	626.55	0.82	0.15
N_125	0	1	01	1	24	1.120803e+02	9342.jpg	2456.jpg	10	11	1	u	1	1	682.52	0.76	0.74
N_125	0	1	01	1	25	1.180801e+02	9321.jpg	9042.jpg	47	48	1	u	2	1	826.53	0.29	0.28
N_125	0	1	01	1	26	1.220801e+02	6242.jpg	9300.jpg	43	52	0	u	2	0	666.47	0.33	0.20
N_125	0	1	01	1	27	1.260800e+02	6570.JPG	6821.jpg	46	44	0	u	2	0	794.53	0.30	0.32
N_125	0	1	01	1	28	1.290800e+02	2205.jpg	1271.jpg	18	17	1	i	1	0	930.53	0.65	0.69
N_125	0	1	01	1	29	1.320966e+02	2039.jpg	7078.jpg	15	8	1	i	1	0	649.88	0.70	0.81
N_125	0	1	01	1	30	1.370965e+02	9042.jpg	9325.jpg	48	53	0	u	2	0	833.86	0.28	0.19
N_125	0	1	01	1	31	1.410964e+02	6242.jpg	6821.jpg	43	44	0	i	2	1	1089.88	0.33	0.32
N_125	0	1	01	1	32	1.440964e+02	9342.jpg	9341.jpg	10	9	1	u	1	1	761.82	0.76	0.77
N_125	0	1	01	1	33	1.490963e+02	2456.jpg	2039.jpg	11	15	0	i	1	1	785.90	0.74	0.70
N_125	0	1	01	1	34	1.520962e+02	2205.jpg	9495.jpg	18	14	1	i	1	0	697.90	0.65	0.70
N_125	0	1	01	1	35	1.560962e+02	9342.jpg	9495.jpg	10	14	1	u	1	1	633.88	0.76	0.70
N_125	0	1	01	1	36	1.690959e+02	3160.jpg	9321.jpg	54	47	0	u	2	0	689.95	0.18	0.29
N_125	0	1	01	1	37	1.750958e+02	1002.jpg	9300.jpg	49	52	0	u	2	0	673.92	0.28	0.20
N_125	0	1	01	1	38	1.800958e+02	9321.jpg	6242.jpg	47	43	1	i	2	0	793.86	0.29	0.33
