subjectID	 order	 itemIndABC	 runtrial	 isOld?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd	 isBeep?
N_204	 2	 14	 1	 1	 0	 2.688115e-02	 6560.JPG	 u	 5.616969e+00	 48	 1	 
N_204	 2	 36	 2	 0	 0	 6.727095e+00	 2700.jpg	 u	 2.948685e+00	 0	 0	 
N_204	 2	 48	 3	 0	 0	 1.076047e+01	 9280.jpg	 u	 1.019326e+00	 0	 0	 
N_204	 2	 56	 4	 0	 0	 1.286054e+01	 9941.jpg	 u	 2.359248e+00	 0	 0	 
N_204	 2	 47	 5	 0	 0	 1.629395e+01	 9254.jpg	 u	 1.597818e+00	 0	 0	 
N_204	 2	 21	 6	 1	 1	 1.897734e+01	 9290.jpg	 i	 1.130413e+00	 10	 0	 
N_204	 2	 11	 7	 1	 1	 2.119406e+01	 6210.jpg	 i	 6.176338e-01	 17	 1	 
N_204	 2	 25	 8	 1	 1	 2.289405e+01	 9373.jpg	 i	 5.656485e-01	 14	 1	 
N_204	 2	 46	 9	 0	 0	 2.454414e+01	 9090.jpg	 u	 1.091582e+00	 0	 0	 
N_204	 2	 3	 10	 1	 1	 2.671086e+01	 1002.jpg	 i	 8.128167e-01	 15	 0	 
N_204	 2	 39	 11	 0	 0	 3.059423e+01	 3230.jpg	 u	 8.334482e-01	 0	 0	 
N_204	 2	 24	 12	 1	 1	 3.251098e+01	 9341.jpg	 i	 7.246849e-01	 45	 0	 
N_204	 2	 18	 13	 1	 1	 3.431103e+01	 7359.jpg	 i	 6.125903e-01	 6	 0	 
N_204	 2	 42	 14	 0	 0	 3.599437e+01	 6313.jpg	 u	 1.241270e+00	 0	 0	 
N_204	 2	 6	 15	 1	 1	 3.831108e+01	 1304.jpg	 i	 8.285317e-01	 13	 0	 
N_204	 2	 37	 16	 0	 0	 4.321123e+01	 2900.jpg	 u	 1.288311e+00	 0	 0	 
N_204	 2	 43	 17	 0	 0	 4.557796e+01	 7380.jpg	 u	 6.895912e-01	 0	 0	 
N_204	 2	 28	 18	 1	 1	 4.734467e+01	 9622.jpg	 i	 5.069074e-01	 12	 0	 
N_204	 2	 34	 19	 0	 0	 4.892799e+01	 1302.jpg	 u	 7.075324e-01	 0	 0	 
N_204	 2	 10	 20	 1	 1	 5.071141e+01	 2799.jpg	 i	 1.148144e+00	 43	 1	 
