subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 CueTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
N_206	 2	 6	 1002.jpg	 7.759579e+02	 12	 999000	 120	 999000	 999	 7.769746e+02	 516.67	 583.33	 10.00	 3	 0.78	 
N_206	 2	 6	 6242.jpg	 7.809581e+02	 22	 9.236813e+02	 220	 5.832719e+02	 98	 7.819749e+02	 516.67	 600.00	 54.00	 20	 0.24	 
N_206	 2	 6	 9622.jpg	 7.829581e+02	 24	 999000	 240	 999000	 999	 7.839748e+02	 516.67	 600.00	 50.00	 57	 0.26	 
N_206	 2	 6	 9495.jpg	 7.849583e+02	 24	 999000	 240	 999000	 999	 7.879751e+02	 516.67	 600.00	 42.00	 54	 0.37	 
N_206	 2	 6	 9325.jpg	 7.909583e+02	 12	 999000	 120	 999000	 999	 7.919750e+02	 516.67	 600.00	 3.00	 44	 0.85	 
N_206	 2	 6	 2039.jpg	 7.929583e+02	 24	 999000	 240	 999000	 999	 7.939749e+02	 516.67	 600.00	 47.00	 9	 0.29	 
N_206	 2	 6	 9427.jpg	 7.959583e+02	 22	 9.312199e+02	 220	 5.999301e+02	 98	 7.969750e+02	 516.67	 616.67	 51.00	 52	 0.26	 
N_206	 2	 6	 9342.jpg	 7.979583e+02	 22	 8.832306e+02	 220	 6.166106e+02	 98	 7.989750e+02	 516.67	 633.33	 49.00	 47	 0.27	 
N_206	 2	 6	 2683.jpg	 8.019584e+02	 24	 999000	 240	 999000	 999	 8.029751e+02	 516.67	 633.33	 52.00	 14	 0.26	 
N_206	 2	 6	 9301.jpg	 8.039584e+02	 11	 7.789938e+02	 110	 5.166093e+02	 98	 8.049753e+02	 533.33	 633.33	 16.00	 41	 0.71	 
N_206	 2	 6	 9425.jpg	 8.089586e+02	 24	 999000	 240	 999000	 999	 8.099752e+02	 533.33	 633.33	 53.00	 51	 0.24	 
N_206	 2	 6	 1274.jpg	 8.159587e+02	 12	 999000	 120	 999000	 999	 8.169753e+02	 533.33	 633.33	 5.00	 7	 0.84	 
N_206	 2	 6	 9903.jpg	 8.179587e+02	 12	 999000	 120	 999000	 999	 8.189753e+02	 533.33	 633.33	 20.00	 58	 0.63	 
N_206	 2	 6	 9322.jpg	 8.209587e+02	 12	 999000	 120	 999000	 999	 8.219754e+02	 533.33	 633.33	 12.00	 43	 0.76	 
N_206	 2	 6	 6571.jpg	 8.239588e+02	 24	 999000	 240	 999000	 999	 8.249754e+02	 533.33	 633.33	 55.00	 26	 0.21	 
N_206	 2	 6	 6570.JPG	 8.279588e+02	 24	 999000	 240	 999000	 999	 8.289755e+02	 533.33	 633.33	 57.00	 25	 0.13	 
N_206	 2	 6	 6562.jpg	 8.319589e+02	 24	 999000	 240	 999000	 999	 8.329755e+02	 533.33	 633.33	 44.00	 24	 0.35	 
N_206	 2	 6	 1019.jpg	 8.359590e+02	 11	 9.460786e+02	 110	 5.332627e+02	 98	 8.369924e+02	 550.00	 633.33	 11.00	 4	 0.77	 
N_206	 2	 6	 3103.jpg	 8.389590e+02	 22	 9.620004e+02	 220	 6.332592e+02	 98	 8.399756e+02	 550.00	 650.00	 46.00	 17	 0.30	 
N_206	 2	 6	 9395.jpg	 8.449591e+02	 12	 999000	 120	 999000	 999	 8.459757e+02	 550.00	 650.00	 6.00	 50	 0.83	 
N_206	 2	 6	 1001.jpg	 8.469591e+02	 12	 999000	 120	 999000	 999	 8.479758e+02	 550.00	 650.00	 18.00	 2	 0.64	 
N_206	 2	 6	 6838.jpg	 8.499592e+02	 24	 999000	 240	 999000	 999	 8.539761e+02	 550.00	 650.00	 58.00	 29	 0.11	 
N_206	 2	 6	 2456.jpg	 8.544925e+02	 22	 1.108237e+03	 2200	 6.499866e+02	 98	 8.555094e+02	 550.00	 600.00	 43.00	 12	 0.37	 
N_206	 2	 6	 6821.jpg	 8.560259e+02	 22	 9.189167e+02	 220	 6.000013e+02	 98	 8.570426e+02	 550.00	 616.67	 48.00	 27	 0.28	 
N_206	 2	 6	 9340.jpg	 8.575593e+02	 12	 999000	 120	 999000	 999	 8.585759e+02	 550.00	 616.67	 4.00	 45	 0.85	 
N_206	 2	 6	 9042.jpg	 8.590926e+02	 24	 999000	 240	 999000	 999	 8.601093e+02	 550.00	 616.67	 40.00	 35	 0.39	 
N_206	 2	 6	 3160.jpg	 8.629594e+02	 24	 999000	 240	 999000	 999	 8.639760e+02	 550.00	 616.67	 41.00	 18	 0.38	 
N_206	 2	 6	 9390.jpg	 8.649594e+02	 11	 8.252520e+02	 110	 5.499336e+02	 98	 8.659760e+02	 566.67	 616.67	 14.00	 49	 0.73	 
N_206	 2	 6	 9373.jpg	 8.669595e+02	 12	 999000	 120	 999000	 999	 8.679761e+02	 566.67	 616.67	 22.00	 48	 0.61	 
N_206	 2	 6	 7359.jpg	 8.689595e+02	 11	 8.331013e+02	 110	 5.666000e+02	 98	 8.699761e+02	 583.33	 616.67	 9.00	 31	 0.80	 
N_206	 2	 6	 9930.jpg	 8.709595e+02	 24	 999000	 240	 999000	 999	 8.719761e+02	 583.33	 616.67	 39.00	 60	 0.40	 
N_206	 2	 6	 9290.jpg	 8.729595e+02	 12	 999000	 120	 999000	 999	 8.739762e+02	 583.33	 616.67	 15.00	 38	 0.72	 
N_206	 2	 6	 2799.jpg	 8.769596e+02	 24	 999000	 240	 999000	 999	 8.779762e+02	 583.33	 616.67	 45.00	 16	 0.32	 
N_206	 2	 6	 6370.jpg	 8.809597e+02	 12	 999000	 120	 999000	 999	 8.819763e+02	 583.33	 616.67	 19.00	 22	 0.63	 
N_206	 2	 6	 9291.jpg	 8.829597e+02	 11	 8.567052e+02	 110	 5.832740e+02	 98	 8.839765e+02	 600.00	 616.67	 17.00	 39	 0.70	 
N_206	 2	 6	 9300.jpg	 8.849597e+02	 12	 999000	 120	 999000	 999	 8.859764e+02	 600.00	 616.67	 13.00	 40	 0.75	 
N_206	 2	 6	 2455.jpg	 8.869598e+02	 12	 999000	 120	 999000	 999	 8.879764e+02	 600.00	 616.67	 21.00	 11	 0.62	 
N_206	 2	 6	 9008.jpg	 8.889598e+02	 12	 999000	 120	 999000	 999	 8.899764e+02	 600.00	 616.67	 7.00	 34	 0.81	 
N_206	 2	 6	 1111.jpg	 8.949599e+02	 11	 1.000349e+03	 110	 5.999171e+02	 98	 8.959934e+02	 616.67	 616.67	 8.00	 5	 0.80	 
N_206	 2	 6	 6312.jpg	 8.969599e+02	 24	 999000	 240	 999000	 999	 8.979765e+02	 616.67	 616.67	 56.00	 21	 0.20	 
