subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 CueTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
N_228	 2	 14	 2691.jpg	 1.671933e+03	 12	 999000	 120	 999000	 999	 1.672950e+03	 716.67	 716.67	 19.00	 15	 0.64	 
N_228	 2	 14	 9008.jpg	 1.674933e+03	 22	 9.916333e+02	 220	 7.166002e+02	 98	 1.675950e+03	 716.67	 733.33	 43.00	 34	 0.33	 
N_228	 2	 14	 9301.jpg	 1.676933e+03	 24	 999000	 240	 999000	 999	 1.677950e+03	 716.67	 733.33	 57.00	 41	 0.16	 
N_228	 2	 14	 1111.jpg	 1.678950e+03	 22	 9.748655e+02	 220	 7.332814e+02	 98	 1.679967e+03	 716.67	 750.00	 48.00	 5	 0.28	 
N_228	 2	 14	 9325.jpg	 1.680950e+03	 24	 999000	 240	 999000	 999	 1.681967e+03	 716.67	 750.00	 52.00	 44	 0.23	 
N_228	 2	 14	 9340.jpg	 1.683935e+03	 12	 999000	 120	 999000	 999	 1.684950e+03	 716.67	 750.00	 4.00	 45	 0.87	 
N_228	 2	 14	 1001.jpg	 1.685950e+03	 24	 999000	 240	 999000	 999	 1.686967e+03	 716.67	 750.00	 58.00	 2	 0.13	 
N_228	 2	 14	 9342.jpg	 1.689950e+03	 11	 9.985286e+02	 110	 7.165989e+02	 98	 1.692967e+03	 733.33	 750.00	 16.00	 47	 0.68	 
N_228	 2	 14	 2205.jpg	 1.693484e+03	 12	 999000	 120	 999000	 999	 1.694500e+03	 733.33	 750.00	 5.00	 10	 0.86	 
N_228	 2	 14	 6838.jpg	 1.696950e+03	 22	 9.984071e+02	 220	 7.499670e+02	 98	 1.697967e+03	 733.33	 766.67	 49.00	 29	 0.27	 
N_228	 2	 14	 9903.jpg	 1.698950e+03	 12	 999000	 120	 999000	 999	 1.699967e+03	 733.33	 766.67	 21.00	 58	 0.62	 
N_228	 2	 14	 1271.jpg	 1.702951e+03	 24	 999000	 240	 999000	 999	 1.703967e+03	 733.33	 766.67	 44.00	 6	 0.32	 
N_228	 2	 14	 9300.jpg	 1.704951e+03	 24	 999000	 240	 999000	 999	 1.705967e+03	 733.33	 766.67	 53.00	 40	 0.22	 
N_228	 2	 14	 9322.jpg	 1.707951e+03	 22	 9.900069e+02	 220	 7.665982e+02	 98	 1.708967e+03	 733.33	 783.33	 46.00	 43	 0.30	 
N_228	 2	 14	 6242.jpg	 1.712951e+03	 11	 9.898539e+02	 110	 7.332540e+02	 98	 1.713967e+03	 750.00	 783.33	 14.00	 20	 0.68	 
N_228	 2	 14	 9290.jpg	 1.714934e+03	 12	 999000	 120	 999000	 999	 1.715951e+03	 750.00	 783.33	 12.00	 38	 0.74	 
N_228	 2	 14	 9395.jpg	 1.716934e+03	 11	 7.743182e+02	 110	 7.497877e+02	 98	 1.717967e+03	 766.67	 783.33	 9.00	 50	 0.79	 
N_228	 2	 14	 3160.jpg	 1.720934e+03	 12	 999000	 120	 999000	 999	 1.721951e+03	 766.67	 783.33	 20.00	 18	 0.63	 
N_228	 2	 14	 2039.jpg	 1.724935e+03	 12	 999000	 120	 999000	 999	 1.725951e+03	 766.67	 783.33	 7.00	 9	 0.80	 
N_228	 2	 14	 9495.jpg	 1.728935e+03	 12	 999000	 120	 999000	 999	 1.729951e+03	 766.67	 783.33	 18.00	 54	 0.66	 
N_228	 2	 14	 6562.jpg	 1.730935e+03	 12	 999000	 120	 999000	 999	 1.731951e+03	 766.67	 783.33	 15.00	 24	 0.68	 
N_228	 2	 14	 9390.jpg	 1.732934e+03	 12	 999000	 120	 999000	 999	 1.733951e+03	 766.67	 783.33	 6.00	 49	 0.84	 
N_228	 2	 14	 9341.jpg	 1.734934e+03	 12	 999000	 120	 999000	 999	 1.735951e+03	 766.67	 783.33	 13.00	 46	 0.70	 
N_228	 2	 14	 3103.jpg	 1.736934e+03	 12	 999000	 120	 999000	 999	 1.737951e+03	 766.67	 783.33	 22.00	 17	 0.62	 
N_228	 2	 14	 9373.jpg	 1.742935e+03	 22	 1.117648e+03	 2200	 7.832458e+02	 98	 1.743951e+03	 766.67	 733.33	 54.00	 48	 0.20	 
N_228	 2	 14	 1002.jpg	 1.745935e+03	 24	 999000	 240	 999000	 999	 1.746951e+03	 766.67	 733.33	 55.00	 3	 0.19	 
N_228	 2	 14	 7078.jpg	 1.747935e+03	 12	 999000	 120	 999000	 999	 1.748951e+03	 766.67	 733.33	 3.00	 30	 0.87	 
N_228	 2	 14	 6312.jpg	 1.749935e+03	 24	 999000	 240	 999000	 999	 1.750951e+03	 766.67	 733.33	 40.00	 21	 0.36	 
N_228	 2	 14	 9425.jpg	 1.752935e+03	 24	 999000	 240	 999000	 999	 1.753951e+03	 766.67	 733.33	 39.00	 51	 0.37	 
N_228	 2	 14	 8480.jpg	 1.754935e+03	 22	 9.893386e+02	 220	 7.332855e+02	 98	 1.755951e+03	 766.67	 750.00	 51.00	 32	 0.26	 
N_228	 2	 14	 2456.jpg	 1.756935e+03	 11	 1.029320e+03	 1100	 7.666139e+02	 98	 1.757951e+03	 716.67	 750.00	 17.00	 12	 0.68	 
N_228	 2	 14	 9291.jpg	 1.758935e+03	 12	 999000	 120	 999000	 999	 1.759951e+03	 716.67	 750.00	 10.00	 39	 0.76	 
N_228	 2	 14	 9490.jpg	 1.761935e+03	 24	 999000	 240	 999000	 999	 1.762951e+03	 716.67	 750.00	 56.00	 53	 0.18	 
N_228	 2	 14	 2455.jpg	 1.763935e+03	 11	 9.650835e+02	 110	 7.166163e+02	 98	 1.764952e+03	 733.33	 750.00	 11.00	 11	 0.75	 
N_228	 2	 14	 9120.jpg	 1.765935e+03	 24	 999000	 240	 999000	 999	 1.766952e+03	 733.33	 750.00	 41.00	 37	 0.34	 
N_228	 2	 14	 9050.jpg	 1.767935e+03	 24	 999000	 240	 999000	 999	 1.768952e+03	 733.33	 750.00	 42.00	 36	 0.33	 
N_228	 2	 14	 6570.JPG	 1.769935e+03	 24	 999000	 240	 999000	 999	 1.770952e+03	 733.33	 750.00	 50.00	 25	 0.27	 
N_228	 2	 14	 6370.jpg	 1.775935e+03	 24	 999000	 240	 999000	 999	 1.776952e+03	 733.33	 750.00	 45.00	 22	 0.31	 
N_228	 2	 14	 1304.jpg	 1.778935e+03	 11	 9.966045e+02	 110	 7.332482e+02	 98	 1.779952e+03	 750.00	 750.00	 8.00	 8	 0.80	 
N_228	 2	 14	 9909.jpg	 1.782935e+03	 24	 999000	 240	 999000	 999	 1.783952e+03	 750.00	 750.00	 47.00	 59	 0.29	 
