Subject	StimName	StimNum	Rank	Wins	Loses	Total
N_229	1000.jpg	1	1.808427e-01	1	9	10
N_229	1001.jpg	2	1.153776e-01	0	9	9
N_229	1002.jpg	3	7.683196e-02	1	9	10
N_229	1019.jpg	4	7.906449e-01	8	2	10
N_229	1111.jpg	5	2.157704e-01	1	9	10
N_229	1271.jpg	6	1.487686e-01	1	9	10
N_229	1274.jpg	7	1.754634e-01	1	9	10
N_229	1304.jpg	8	5.664916e-01	5	4	9
N_229	2039.jpg	9	7.422624e-01	8	2	10
N_229	2205.jpg	10	4.380317e-01	4	5	9
N_229	2455.jpg	11	5.741976e-01	7	3	10
N_229	2456.jpg	12	6.799379e-01	8	2	10
N_229	2457.jpg	13	8.455152e-01	9	1	10
N_229	2683.jpg	14	5.653062e-01	6	4	10
N_229	2691.jpg	15	6.844890e-01	7	3	10
N_229	2799.jpg	16	3.207783e-01	2	8	10
N_229	3103.jpg	17	1.808345e-01	1	9	10
N_229	3160.jpg	18	3.914515e-01	3	7	10
N_229	6210.jpg	19	9.510988e-01	10	0	10
N_229	6242.jpg	20	5.049541e-01	4	6	10
N_229	6312.jpg	21	1.965746e-01	1	9	10
N_229	6370.jpg	22	3.611845e-01	2	8	10
N_229	6560.JPG	23	3.353728e-01	3	7	10
N_229	6562.jpg	24	5.616809e-01	5	5	10
N_229	6570.JPG	25	2.647142e-01	1	9	10
N_229	6571.jpg	26	4.891473e-01	5	5	10
N_229	6821.jpg	27	2.993045e-01	2	8	10
N_229	6836.jpg	28	6.038975e-01	7	3	10
N_229	6838.jpg	29	4.429283e-01	4	5	9
N_229	7078.jpg	30	8.537281e-01	10	0	10
N_229	7359.jpg	31	5.155323e-01	4	6	10
N_229	8480.jpg	32	5.170872e-01	5	5	10
N_229	8485.jpg	33	4.623673e-01	5	5	10
N_229	9008.jpg	34	5.168840e-01	4	6	10
N_229	9042.jpg	35	1.804491e-01	0	10	10
N_229	9050.jpg	36	3.986075e-01	5	5	10
N_229	9120.jpg	37	5.806133e-01	6	4	10
N_229	9290.jpg	38	7.414427e-01	8	2	10
N_229	9291.jpg	39	8.108747e-01	8	2	10
N_229	9300.jpg	40	2.038714e-01	0	9	9
N_229	9301.jpg	41	4.079612e-01	4	6	10
N_229	9321.jpg	42	5.847943e-01	6	4	10
N_229	9322.jpg	43	4.766331e-01	5	5	10
N_229	9325.jpg	44	5.002044e-01	7	3	10
N_229	9340.jpg	45	8.603399e-01	10	0	10
N_229	9341.jpg	46	7.590518e-01	7	3	10
N_229	9342.jpg	47	7.993889e-01	10	0	10
N_229	9373.jpg	48	1.761022e-01	1	9	10
N_229	9390.jpg	49	8.540484e-01	10	0	10
N_229	9395.jpg	50	8.724112e-01	10	0	10
N_229	9425.jpg	51	3.081682e-01	2	8	10
N_229	9427.jpg	52	5.152199e-01	6	4	10
N_229	9490.jpg	53	3.355665e-02	0	10	10
N_229	9495.jpg	54	6.921992e-01	7	3	10
N_229	9561.jpg	55	5.429999e-01	6	3	9
N_229	9600.jpg	56	6.895219e-01	7	2	9
N_229	9622.jpg	57	7.211499e-01	8	2	10
N_229	9903.jpg	58	6.004497e-01	6	4	10
N_229	9909.jpg	59	4.850636e-01	5	4	9
N_229	9930.jpg	60	6.354254e-01	7	3	10
