subjectID	order	stimName	itemIndABC	bidInd	runtrial	isOld?	subjectAnswerIsOld	isBeep?	subjectAnswerIsBeep	onsettime	resp_choice	RT
N_229	1	9290.jpg	18	12	1	1	1	1	1	3.385457e-02	u	1.437779e+00
N_229	1	7078.jpg	16	5	2	1	1	0	1	2.571894e+00	u	1.859684e+00
N_229	1	2457.jpg	7	6	3	1	1	0	1	5.532582e+00	u	1.843007e+00
N_229	1	9042.jpg	17	54	4	1	1	0	1	8.498870e+00	u	9.406607e-01
N_229	1	6312.jpg	11	51	5	1	1	0	1	1.056653e+01	u	1.353002e+00
N_229	1	1000.jpg	1	52	6	1	1	1	1	1.303730e+01	u	1.010259e+00
N_229	1	9622.jpg	27	13	7	1	1	1	1	1.512102e+01	u	1.054525e+00
N_229	1	1111.jpg	3	49	8	1	0	0	1	1.724910e+01	u	2.814412e+00
N_229	1	9600.jpg	26	15	9	1	1	1	1	2.129286e+01	u	8.506335e-01
N_229	1	2691.jpg	8	16	10	1	1	0	1	2.322614e+01	u	1.205343e+00
N_229	1	9495.jpg	25	14	11	1	1	0	1	2.550941e+01	u	1.130201e+00
N_229	1	9300.jpg	20	50	12	1	1	1	1	2.772598e+01	u	1.553601e+00
N_229	1	3103.jpg	10	53	13	1	1	1	1	3.035925e+01	u	9.041487e-01
N_229	1	1274.jpg	4	56	14	1	1	0	1	3.234250e+01	u	8.890576e-01
N_229	1	2039.jpg	5	11	15	1	1	0	1	3.430907e+01	u	1.114290e+00
N_229	1	2799.jpg	9	45	16	1	1	1	1	3.650902e+01	u	8.663727e-01
N_229	1	6370.jpg	12	43	17	1	1	0	1	3.845901e+01	u	8.363780e-01
N_229	1	6560.JPG	13	44	18	1	1	1	1	4.037557e+01	u	1.047763e+00
N_229	1	6821.jpg	15	47	19	1	1	1	1	4.250884e+01	u	9.625443e-01
N_229	1	9930.jpg	28	18	20	1	1	1	1	4.455872e+01	u	8.645978e-01
N_229	1	9341.jpg	21	10	21	1	1	1	1	4.650867e+01	u	7.866918e-01
N_229	1	6570.JPG	14	48	22	1	1	0	1	4.837527e+01	u	7.761364e-01
N_229	1	1019.jpg	2	9	23	1	1	0	1	5.022525e+01	u	2.606043e+00
N_229	1	9342.jpg	22	8	24	1	1	0	1	5.390846e+01	u	7.307984e-01
N_229	1	9291.jpg	19	7	25	1	1	1	1	5.572505e+01	u	8.341938e-01
N_229	1	9425.jpg	24	46	26	1	1	0	1	5.764173e+01	u	2.453521e+00
N_229	1	9373.jpg	23	55	27	1	1	0	1	6.117489e+01	u	1.016302e+00
N_229	1	2456.jpg	6	17	28	1	1	0	1	6.327482e+01	u	1.828401e+00
