subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
N_233	0	1	02	1	1	2.032816e+00	9930.jpg	9322.jpg	46	47	0	u	2	0	755.48	0.31	0.31
N_233	0	1	02	1	2	7.032784e+00	9425.jpg	8480.jpg	52	49	1	u	2	1	843.50	0.24	0.29
N_233	0	1	02	1	3	1.503256e+01	9322.jpg	9495.jpg	47	51	1	i	2	0	651.57	0.31	0.26
N_233	0	1	02	1	4	1.803251e+01	9340.jpg	7078.jpg	11	12	0	i	1	1	627.58	0.75	0.75
N_233	0	1	02	1	5	2.503241e+01	8485.jpg	9490.jpg	45	48	1	u	2	1	907.58	0.33	0.30
N_233	0	1	02	1	6	2.803243e+01	9622.jpg	2683.jpg	54	50	0	u	2	0	1075.53	0.21	0.28
N_233	0	1	02	1	7	3.903228e+01	1304.jpg	6838.jpg	5	56	1	u	4	1	1083.57	0.82	0.17
N_233	0	1	02	1	8	4.303216e+01	9341.jpg	7078.jpg	16	12	0	i	1	1	651.64	0.73	0.75
N_233	0	1	02	1	9	4.703210e+01	2457.jpg	9340.jpg	18	11	1	i	1	0	683.64	0.67	0.75
N_233	0	1	02	1	10	5.003206e+01	1274.jpg	2457.jpg	14	18	0	u	1	0	1203.60	0.74	0.67
N_233	0	1	02	1	11	5.729849e+01	8480.jpg	8485.jpg	49	45	0	x	2	999	999000.00	0.29	0.33
N_233	0	1	02	1	12	5.803201e+01	9325.jpg	9290.jpg	55	6	0	i	4	1	819.56	0.18	0.79
N_233	0	1	02	1	13	6.203189e+01	1000.jpg	9390.jpg	17	7	0	i	1	1	915.67	0.72	0.79
N_233	0	1	02	1	14	7.103176e+01	9321.jpg	8480.jpg	53	49	1	u	2	1	1339.61	0.24	0.29
N_233	0	1	02	1	15	7.403171e+01	1111.jpg	2456.jpg	15	8	1	i	1	0	611.63	0.73	0.79
N_233	0	1	02	1	16	7.903164e+01	9495.jpg	9425.jpg	51	52	0	u	2	0	1115.63	0.26	0.24
N_233	0	1	02	1	17	8.503156e+01	9321.jpg	6560.JPG	53	43	1	x	2	999	999000.00	0.24	0.36
N_233	0	1	02	1	18	8.803152e+01	1002.jpg	9300.jpg	10	9	1	u	1	1	707.63	0.76	0.77
N_233	0	1	02	1	19	9.303144e+01	9495.jpg	8485.jpg	51	45	0	u	2	0	1211.64	0.26	0.33
N_233	0	1	02	1	20	9.703139e+01	6560.JPG	9425.jpg	43	52	0	u	2	0	795.66	0.36	0.24
N_233	0	1	02	1	21	1.020313e+02	8480.jpg	2683.jpg	49	50	0	i	2	1	723.71	0.29	0.28
N_233	0	1	02	1	22	1.070312e+02	1000.jpg	7078.jpg	17	12	0	i	1	1	619.71	0.72	0.75
N_233	0	1	02	1	23	1.100312e+02	2455.jpg	9341.jpg	13	16	1	u	1	1	931.75	0.74	0.73
N_233	0	1	02	1	24	1.130312e+02	1274.jpg	1111.jpg	14	15	0	u	1	0	699.60	0.74	0.73
N_233	0	1	02	1	25	1.250310e+02	7078.jpg	9300.jpg	12	9	1	u	1	1	747.72	0.75	0.77
N_233	0	1	02	1	26	1.290309e+02	9561.jpg	9930.jpg	44	46	1	i	2	0	939.73	0.34	0.31
N_233	0	1	02	1	27	1.320309e+02	9490.jpg	9561.jpg	48	44	0	i	2	1	979.73	0.30	0.34
N_233	0	1	02	1	28	1.390308e+02	9322.jpg	6560.JPG	47	43	1	i	2	0	955.69	0.31	0.36
N_233	0	1	02	1	29	1.420308e+02	8480.jpg	9322.jpg	49	47	0	u	2	0	723.63	0.29	0.31
N_233	0	1	02	1	30	1.490306e+02	6560.JPG	2683.jpg	43	50	0	i	2	1	1003.70	0.36	0.28
N_233	0	1	02	1	31	1.540306e+02	9490.jpg	9425.jpg	48	52	0	i	2	1	1155.71	0.30	0.24
N_233	0	1	02	1	32	1.580305e+02	1111.jpg	9340.jpg	15	11	1	i	1	0	963.72	0.73	0.75
N_233	0	1	02	1	33	1.630304e+02	1111.jpg	1000.jpg	15	17	1	i	1	0	891.72	0.73	0.72
N_233	0	1	02	1	34	1.690304e+02	7078.jpg	2456.jpg	12	8	1	u	1	1	939.66	0.75	0.79
N_233	0	1	02	1	35	1.730304e+02	1274.jpg	7078.jpg	14	12	0	i	1	1	731.71	0.74	0.75
N_233	0	1	02	1	36	1.760303e+02	9390.jpg	1274.jpg	7	14	1	u	1	1	1411.72	0.79	0.74
N_233	0	1	02	1	37	1.790302e+02	9390.jpg	2456.jpg	7	8	1	u	1	1	1451.72	0.79	0.79
N_233	0	1	02	1	38	1.820302e+02	1002.jpg	9341.jpg	10	16	1	i	1	0	755.79	0.76	0.73
