subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
n_208	0	2	02	1	1	2.032811e+00	9341.jpg	9427.jpg	18	16	0	i	1	1	1071.16	0.68	0.70
n_208	0	2	02	1	2	6.165900e+00	9427.jpg	2455.jpg	16	13	1	x	1	999	999000.00	0.70	0.72
n_208	0	2	02	1	3	1.203262e+01	1304.jpg	6571.jpg	7	17	0	u	1	0	735.19	0.80	0.69
n_208	0	2	02	1	4	1.603262e+01	9290.jpg	3160.jpg	49	52	1	i	2	0	1055.16	0.24	0.23
n_208	0	2	02	1	5	2.103250e+01	9600.jpg	6821.jpg	14	12	1	u	1	1	743.18	0.72	0.74
n_208	0	2	02	1	6	2.503250e+01	2683.jpg	6836.jpg	15	9	0	u	1	0	487.13	0.71	0.79
n_208	0	2	02	1	7	2.903240e+01	6836.jpg	6821.jpg	9	12	1	u	1	1	471.22	0.79	0.74
n_208	0	2	02	1	8	3.203236e+01	9325.jpg	9561.jpg	56	6	0	i	4	1	671.18	0.15	0.81
n_208	0	2	02	1	9	3.503232e+01	1271.jpg	1000.jpg	47	51	0	i	2	1	567.23	0.25	0.23
n_208	0	2	02	1	10	4.003232e+01	3160.jpg	1000.jpg	52	51	0	u	2	0	607.15	0.23	0.23
n_208	0	2	02	1	11	4.403221e+01	9495.jpg	6836.jpg	10	9	0	u	1	0	543.18	0.76	0.79
n_208	0	2	02	1	12	4.903214e+01	2683.jpg	9600.jpg	15	14	0	u	1	0	455.17	0.71	0.72
n_208	0	2	02	1	13	5.303208e+01	2691.jpg	6821.jpg	8	12	1	u	1	1	519.18	0.79	0.74
n_208	0	2	02	1	14	5.603204e+01	9341.jpg	6571.jpg	18	17	0	u	1	0	831.18	0.68	0.69
n_208	0	2	02	1	15	6.003199e+01	2683.jpg	2691.jpg	15	8	0	u	1	0	543.22	0.71	0.79
n_208	0	2	02	1	16	6.603198e+01	1304.jpg	9427.jpg	7	16	0	u	1	0	559.16	0.80	0.70
n_208	0	2	02	1	17	7.303182e+01	9321.jpg	1274.jpg	44	48	0	u	2	0	599.17	0.31	0.25
n_208	0	2	02	1	18	7.603178e+01	9290.jpg	1271.jpg	49	47	1	i	2	0	735.17	0.24	0.25
n_208	0	2	02	1	19	8.103172e+01	9600.jpg	2455.jpg	14	13	1	i	1	0	807.17	0.72	0.72
n_208	0	2	02	1	20	8.603165e+01	1274.jpg	3160.jpg	48	52	1	i	2	0	831.16	0.25	0.23
n_208	0	2	02	1	21	9.203171e+01	9290.jpg	9321.jpg	49	44	1	u	2	1	1023.03	0.24	0.31
n_208	0	2	02	1	22	9.603158e+01	3160.jpg	1001.jpg	52	54	0	u	2	0	751.15	0.23	0.16
n_208	0	2	02	1	23	1.010315e+02	2457.jpg	9495.jpg	11	10	1	u	1	1	631.22	0.74	0.76
n_208	0	2	02	1	24	1.080314e+02	1000.jpg	9390.jpg	51	45	1	i	2	0	815.21	0.23	0.28
n_208	0	2	02	1	25	1.130313e+02	9321.jpg	1001.jpg	44	54	0	i	2	1	807.21	0.31	0.16
n_208	0	2	02	1	26	1.180312e+02	6821.jpg	9427.jpg	12	16	0	u	1	0	559.21	0.74	0.70
n_208	0	2	02	1	27	1.210312e+02	1001.jpg	1271.jpg	54	47	1	i	2	0	759.17	0.16	0.25
n_208	0	2	02	1	28	1.240312e+02	7078.jpg	1271.jpg	43	47	1	u	2	1	1007.15	0.32	0.25
n_208	0	2	02	1	29	1.300311e+02	9373.jpg	3160.jpg	46	52	1	i	2	0	591.10	0.25	0.23
n_208	0	2	02	1	30	1.340310e+02	2457.jpg	1304.jpg	11	7	1	u	1	1	671.17	0.74	0.80
n_208	0	2	02	1	31	1.430309e+02	3103.jpg	1001.jpg	50	54	0	i	2	1	839.20	0.24	0.16
n_208	0	2	02	1	32	1.480308e+02	1271.jpg	9373.jpg	47	46	0	u	2	0	751.17	0.25	0.25
n_208	0	2	02	1	33	1.570307e+02	1304.jpg	9600.jpg	7	14	0	u	1	0	631.20	0.80	0.72
n_208	0	2	02	1	34	1.600307e+02	9373.jpg	9321.jpg	46	44	1	i	2	0	623.14	0.25	0.31
n_208	0	2	02	1	35	1.640306e+02	1000.jpg	1111.jpg	51	53	1	i	2	0	1007.21	0.23	0.19
n_208	0	2	02	1	36	1.700305e+02	9622.jpg	9301.jpg	5	55	1	u	4	1	623.21	0.82	0.16
n_208	0	2	02	1	37	1.740305e+02	1274.jpg	3103.jpg	48	50	1	u	2	1	895.16	0.25	0.24
n_208	0	2	02	1	38	1.810304e+02	2683.jpg	6571.jpg	15	17	0	u	1	0	599.21	0.71	0.69
