subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 CueTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
n_214	 2	 19	 1111.jpg	 2.649724e+03	 12	 999000	 120	 999000	 999	 2.650740e+03	 750.00	 683.33	 10.00	 5	 0.78	 
n_214	 2	 19	 9291.jpg	 2.652707e+03	 12	 999000	 120	 999000	 999	 2.653724e+03	 750.00	 683.33	 12.00	 39	 0.76	 
n_214	 2	 19	 9390.jpg	 2.654707e+03	 12	 999000	 120	 999000	 999	 2.655724e+03	 750.00	 683.33	 7.00	 49	 0.80	 
n_214	 2	 19	 2455.jpg	 2.656707e+03	 12	 999000	 120	 999000	 999	 2.657724e+03	 750.00	 683.33	 6.00	 11	 0.81	 
n_214	 2	 19	 9490.jpg	 2.658707e+03	 22	 1.024119e+03	 2200	 6.832581e+02	 98	 2.659740e+03	 750.00	 633.33	 51.00	 53	 0.24	 
n_214	 2	 19	 9340.jpg	 2.661707e+03	 12	 999000	 120	 999000	 999	 2.662724e+03	 750.00	 633.33	 15.00	 45	 0.71	 
n_214	 2	 19	 2457.jpg	 2.663707e+03	 12	 999000	 120	 999000	 999	 2.664724e+03	 750.00	 633.33	 22.00	 13	 0.62	 
n_214	 2	 19	 9325.jpg	 2.667707e+03	 24	 999000	 240	 999000	 999	 2.668724e+03	 750.00	 633.33	 39.00	 44	 0.38	 
n_214	 2	 19	 9341.jpg	 2.669707e+03	 11	 1.016058e+03	 110	 7.499166e+02	 98	 2.670740e+03	 766.67	 633.33	 17.00	 46	 0.70	 
n_214	 2	 19	 1002.jpg	 2.674707e+03	 11	 1.072048e+03	 1100	 7.665705e+02	 98	 2.675724e+03	 716.67	 633.33	 8.00	 3	 0.79	 
n_214	 2	 19	 2799.jpg	 2.676707e+03	 24	 999000	 240	 999000	 999	 2.677724e+03	 716.67	 633.33	 56.00	 16	 0.18	 
n_214	 2	 19	 6210.jpg	 2.680707e+03	 24	 999000	 240	 999000	 999	 2.681724e+03	 716.67	 633.33	 58.00	 19	 0.12	 
n_214	 2	 19	 9322.jpg	 2.682707e+03	 24	 999000	 240	 999000	 999	 2.683724e+03	 716.67	 633.33	 44.00	 43	 0.32	 
n_214	 2	 19	 9042.jpg	 2.685707e+03	 24	 999000	 240	 999000	 999	 2.686724e+03	 716.67	 633.33	 50.00	 35	 0.25	 
n_214	 2	 19	 6571.jpg	 2.690707e+03	 24	 999000	 240	 999000	 999	 2.691724e+03	 716.67	 633.33	 41.00	 26	 0.36	 
n_214	 2	 19	 1274.jpg	 2.692707e+03	 12	 999000	 120	 999000	 999	 2.693724e+03	 716.67	 633.33	 5.00	 7	 0.82	 
n_214	 2	 19	 1304.jpg	 2.694707e+03	 12	 999000	 120	 999000	 999	 2.695724e+03	 716.67	 633.33	 21.00	 8	 0.63	 
