subjectID	order	stimName	itemIndABC	bidInd	runtrial	isOld?	subjectAnswerIsOld	isBeep?	subjectAnswerIsBeep	onsettime	resp_choice	RT
n_221	1	6836.jpg	15	51	1	1	1	0	0	3.698580e-02	i	1.242981e+00
n_221	1	9427.jpg	23	12	2	1	1	1	1	2.353522e+00	u	6.224726e-01
n_221	1	2691.jpg	8	44	3	1	1	1	1	4.053495e+00	u	1.322474e+00
n_221	1	9909.jpg	27	46	4	1	1	0	0	6.453374e+00	i	6.985815e-01
n_221	1	1274.jpg	4	18	5	1	1	1	1	8.236637e+00	u	5.952600e-01
n_221	1	9930.jpg	28	43	6	1	1	0	0	9.903277e+00	i	8.486346e-01
n_221	1	9600.jpg	24	50	7	1	1	1	1	1.183654e+01	u	4.993187e-01
n_221	1	1002.jpg	1	11	8	1	1	0	0	1.341978e+01	i	6.280478e-01
n_221	1	9373.jpg	21	14	9	1	1	0	0	1.511976e+01	i	7.360611e-01
n_221	1	6562.jpg	11	17	10	1	1	0	0	1.693635e+01	i	5.675036e-01
n_221	1	9291.jpg	17	13	11	1	1	1	1	1.858626e+01	u	7.895416e-01
n_221	1	9903.jpg	26	56	12	1	1	0	0	2.045288e+01	i	6.028893e-01
n_221	1	9325.jpg	18	52	13	1	1	1	1	2.213613e+01	u	7.116260e-01
n_221	1	2683.jpg	7	49	14	1	1	0	0	2.391939e+01	i	7.684017e-01
n_221	1	6570.JPG	12	53	15	1	1	1	1	2.576935e+01	u	5.824157e-01
n_221	1	6312.jpg	10	45	16	1	1	1	1	2.743596e+01	u	7.717349e-01
n_221	1	9290.jpg	16	7	17	1	1	1	1	2.928589e+01	u	6.177987e-01
n_221	1	6210.jpg	9	55	18	1	1	0	0	3.098583e+01	i	5.338907e-01
n_221	1	6821.jpg	14	48	19	1	1	0	0	3.260244e+01	i	6.772237e-01
n_221	1	6571.jpg	13	54	20	1	1	0	0	3.435237e+01	i	5.112784e-01
n_221	1	9341.jpg	19	15	21	1	1	1	1	3.593564e+01	u	6.720303e-01
n_221	1	2039.jpg	5	6	22	1	0	0	0	3.768558e+01	i	6.020257e-01
n_221	1	1271.jpg	3	5	23	1	1	0	0	3.936881e+01	i	6.787820e-01
n_221	1	2457.jpg	6	16	24	1	1	0	0	4.111875e+01	i	6.728591e-01
n_221	1	1111.jpg	2	9	25	1	1	0	0	4.286872e+01	i	5.388805e-01
n_221	1	9622.jpg	25	47	26	1	1	1	1	4.448532e+01	u	6.662203e-01
n_221	1	9395.jpg	22	8	27	1	1	0	0	4.623525e+01	i	5.962756e-01
n_221	1	9342.jpg	20	10	28	1	1	1	1	4.790186e+01	u	8.016847e-01
