subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 CueTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
n_221	 1	 16	 8480.jpg	 1.887165e+03	 12	 999000	 120	 999000	 999	 1.888182e+03	 716.67	 716.67	 19.00	 32	 0.64	 
n_221	 1	 16	 2039.jpg	 1.889165e+03	 12	 999000	 120	 999000	 999	 1.890181e+03	 716.67	 716.67	 6.00	 9	 0.83	 
n_221	 1	 16	 1111.jpg	 1.893181e+03	 12	 999000	 120	 999000	 999	 1.894198e+03	 716.67	 716.67	 9.00	 5	 0.75	 
n_221	 1	 16	 6312.jpg	 1.896181e+03	 22	 9.319838e+02	 220	 7.165630e+02	 98	 1.897215e+03	 716.67	 733.33	 45.00	 21	 0.31	 
n_221	 1	 16	 9909.jpg	 1.898181e+03	 24	 999000	 240	 999000	 999	 1.899198e+03	 716.67	 733.33	 46.00	 59	 0.31	 
n_221	 1	 16	 7359.jpg	 1.901181e+03	 12	 999000	 120	 999000	 999	 1.902198e+03	 716.67	 733.33	 3.00	 31	 0.86	 
n_221	 1	 16	 9290.jpg	 1.905181e+03	 11	 9.562660e+02	 110	 7.165562e+02	 98	 1.906214e+03	 733.33	 733.33	 7.00	 38	 0.79	 
n_221	 1	 16	 2799.jpg	 1.909181e+03	 24	 999000	 240	 999000	 999	 1.910197e+03	 733.33	 733.33	 57.00	 16	 0.17	 
n_221	 1	 16	 2457.jpg	 1.911181e+03	 12	 999000	 120	 999000	 999	 1.912197e+03	 733.33	 733.33	 16.00	 13	 0.67	 
n_221	 1	 16	 9291.jpg	 1.916181e+03	 11	 9.805693e+02	 110	 7.332377e+02	 98	 1.917214e+03	 750.00	 733.33	 13.00	 39	 0.70	 
n_221	 1	 16	 9042.jpg	 1.918180e+03	 24	 999000	 240	 999000	 999	 1.919197e+03	 750.00	 733.33	 42.00	 35	 0.36	 
n_221	 1	 16	 9342.jpg	 1.920180e+03	 11	 1.012689e+03	 110	 7.499240e+02	 98	 1.921214e+03	 766.67	 733.33	 10.00	 47	 0.74	 
n_221	 1	 16	 1304.jpg	 1.926180e+03	 12	 999000	 120	 999000	 999	 1.927197e+03	 766.67	 733.33	 22.00	 8	 0.60	 
n_221	 1	 16	 2691.jpg	 1.928180e+03	 22	 9.329364e+02	 220	 7.332688e+02	 98	 1.929213e+03	 766.67	 750.00	 44.00	 15	 0.33	 
n_221	 1	 16	 6570.JPG	 1.930180e+03	 22	 9.969853e+02	 220	 7.499244e+02	 98	 1.931197e+03	 766.67	 766.67	 53.00	 25	 0.20	 
n_221	 1	 16	 7078.jpg	 1.932180e+03	 12	 999000	 120	 999000	 999	 1.933197e+03	 766.67	 766.67	 4.00	 30	 0.85	 
n_221	 1	 16	 9395.jpg	 1.936180e+03	 12	 999000	 120	 999000	 999	 1.937196e+03	 766.67	 766.67	 8.00	 50	 0.79	 
n_221	 1	 16	 6242.jpg	 1.940180e+03	 24	 999000	 240	 999000	 999	 1.941196e+03	 766.67	 766.67	 40.00	 20	 0.37	 
n_221	 1	 16	 9341.jpg	 1.943180e+03	 11	 8.933110e+02	 110	 7.665508e+02	 98	 1.944196e+03	 783.33	 766.67	 15.00	 46	 0.69	 
n_221	 1	 16	 1271.jpg	 1.947179e+03	 12	 999000	 120	 999000	 999	 1.948196e+03	 783.33	 766.67	 5.00	 6	 0.84	 
n_221	 1	 16	 2683.jpg	 1.950179e+03	 24	 999000	 240	 999000	 999	 1.951196e+03	 783.33	 766.67	 49.00	 14	 0.24	 
n_221	 1	 16	 9325.jpg	 1.952179e+03	 22	 9.015368e+02	 220	 7.665734e+02	 98	 1.953196e+03	 783.33	 783.33	 52.00	 44	 0.21	 
n_221	 1	 16	 1001.jpg	 1.956179e+03	 24	 999000	 240	 999000	 999	 1.957196e+03	 783.33	 783.33	 41.00	 2	 0.36	 
n_221	 1	 16	 9373.jpg	 1.958179e+03	 12	 999000	 120	 999000	 999	 1.959196e+03	 783.33	 783.33	 14.00	 48	 0.70	 
n_221	 1	 16	 6571.jpg	 1.960179e+03	 24	 999000	 240	 999000	 999	 1.961195e+03	 783.33	 783.33	 54.00	 26	 0.20	 
n_221	 1	 16	 6821.jpg	 1.964179e+03	 24	 999000	 240	 999000	 999	 1.965195e+03	 783.33	 783.33	 48.00	 27	 0.29	 
n_221	 1	 16	 9050.jpg	 1.966179e+03	 12	 999000	 120	 999000	 999	 1.967195e+03	 783.33	 783.33	 20.00	 36	 0.63	 
n_221	 1	 16	 6836.jpg	 1.970179e+03	 24	 999000	 240	 999000	 999	 1.971195e+03	 783.33	 783.33	 51.00	 28	 0.22	 
n_221	 1	 16	 9120.jpg	 1.974178e+03	 24	 999000	 240	 999000	 999	 1.975195e+03	 783.33	 783.33	 58.00	 37	 0.15	 
n_221	 1	 16	 6210.jpg	 1.977178e+03	 24	 999000	 240	 999000	 999	 1.978195e+03	 783.33	 783.33	 55.00	 19	 0.19	 
n_221	 1	 16	 9495.jpg	 1.983178e+03	 12	 999000	 120	 999000	 999	 1.984195e+03	 783.33	 783.33	 21.00	 54	 0.62	 
n_221	 1	 16	 2456.jpg	 1.985178e+03	 24	 999000	 240	 999000	 999	 1.986195e+03	 783.33	 783.33	 39.00	 12	 0.39	 
n_221	 1	 16	 9930.jpg	 1.989178e+03	 24	 999000	 240	 999000	 999	 1.990194e+03	 783.33	 783.33	 43.00	 60	 0.35	 
n_221	 1	 16	 6562.jpg	 1.991178e+03	 12	 999000	 120	 999000	 999	 1.992194e+03	 783.33	 783.33	 17.00	 24	 0.66	 
n_221	 1	 16	 9622.jpg	 1.993178e+03	 22	 8.466694e+02	 220	 7.832495e+02	 98	 1.994211e+03	 783.33	 800.00	 47.00	 57	 0.29	 
n_221	 1	 16	 9600.jpg	 1.995178e+03	 22	 9.267289e+02	 220	 7.999266e+02	 98	 1.996211e+03	 783.33	 816.67	 50.00	 56	 0.23	 
n_221	 1	 16	 1274.jpg	 2.000177e+03	 11	 9.988188e+02	 110	 7.832183e+02	 98	 2.001194e+03	 800.00	 816.67	 18.00	 7	 0.65	 
n_221	 1	 16	 9427.jpg	 2.002177e+03	 11	 1.030945e+03	 1100	 7.999108e+02	 98	 2.003211e+03	 750.00	 816.67	 12.00	 52	 0.72	 
n_221	 1	 16	 1002.jpg	 2.004177e+03	 12	 999000	 120	 999000	 999	 2.005194e+03	 750.00	 816.67	 11.00	 3	 0.74	 
n_221	 1	 16	 9903.jpg	 2.007177e+03	 24	 999000	 240	 999000	 999	 2.008194e+03	 750.00	 816.67	 56.00	 58	 0.19	 
