subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BMI_bff_106	 2	 7	 319_steinitz_yuval.jpg	 8.307171e+02	 24	 999000	 240	 999000	 999	 8.317349e+02	 683.33	 683.33	 42.00	 59	 0.37	 
BMI_bff_106	 2	 7	 214_piron_shai.jpg	 8.357058e+02	 24	 3.277166e+02	 240	 999000	 82	 8.367239e+02	 683.33	 683.33	 57.00	 34	 0.17	 
BMI_bff_106	 2	 7	 110_nachman_shai.jpg	 8.377084e+02	 12	 999000	 120	 999000	 999	 8.387260e+02	 683.33	 683.33	 15.00	 10	 0.67	 
BMI_bff_106	 2	 7	 313_lizman_yaakov.jpg	 8.397105e+02	 24	 999000	 240	 999000	 999	 8.407283e+02	 683.33	 683.33	 53.00	 53	 0.23	 
BMI_bff_106	 2	 7	 208_livnee_zipi.jpg	 8.457175e+02	 12	 999000	 120	 999000	 999	 8.467351e+02	 683.33	 683.33	 6.00	 28	 0.82	 
BMI_bff_106	 2	 7	 309_katz_yisrael.jpg	 8.477195e+02	 22	 1.058041e+03	 2200	 6.833861e+02	 98	 8.487372e+02	 683.33	 633.33	 49.00	 49	 0.27	 
BMI_bff_106	 2	 7	 101_barak_ehud.jpg	 8.507059e+02	 12	 999000	 120	 999000	 999	 8.517239e+02	 683.33	 633.33	 22.00	 1	 0.62	 
BMI_bff_106	 2	 7	 318_shalom_silvan.jpg	 8.527085e+02	 22	 1.044994e+03	 2200	 6.333706e+02	 98	 8.537263e+02	 683.33	 583.33	 46.00	 58	 0.30	 
BMI_bff_106	 2	 7	 211_molla_shlomo.jpg	 8.567129e+02	 12	 999000	 120	 999000	 999	 8.577307e+02	 683.33	 583.33	 5.00	 31	 0.82	 
BMI_bff_106	 2	 7	 204_galant_yoav.jpg	 8.587153e+02	 11	 1.102242e+03	 1100	 6.833912e+02	 98	 8.597329e+02	 633.33	 583.33	 11.00	 24	 0.74	 
BMI_bff_106	 2	 7	 104_galon_zahava.jpg	 8.637209e+02	 11	 1.232603e+03	 1100	 6.333647e+02	 98	 8.647388e+02	 583.33	 583.33	 8.00	 4	 0.79	 
BMI_bff_106	 2	 7	 306_gafni_moshe.jpg	 8.707121e+02	 24	 999000	 240	 999000	 999	 8.717298e+02	 583.33	 583.33	 50.00	 46	 0.26	 
BMI_bff_106	 2	 7	 303_deri_arye.jpg	 8.727143e+02	 24	 999000	 240	 999000	 999	 8.737320e+02	 583.33	 583.33	 58.00	 43	 0.15	 
BMI_bff_106	 2	 7	 201_baron_roni.jpg	 8.757177e+02	 24	 999000	 240	 999000	 999	 8.767354e+02	 583.33	 583.33	 44.00	 21	 0.33	 
BMI_bff_106	 2	 7	 116_shmuli_itzik.jpg	 8.787210e+02	 12	 999000	 120	 999000	 999	 8.797387e+02	 583.33	 583.33	 13.00	 16	 0.68	 
BMI_bff_106	 2	 7	 320_yaalon_moshe.jpg	 8.827089e+02	 12	 999000	 120	 999000	 999	 8.837265e+02	 583.33	 583.33	 19.00	 60	 0.63	 
BMI_bff_106	 2	 7	 112_peretz_amir.jpg	 8.867134e+02	 24	 999000	 240	 999000	 999	 8.877312e+02	 583.33	 583.33	 39.00	 12	 0.42	 
BMI_bff_106	 2	 7	 115_shimon_peres.jpg	 8.907179e+02	 24	 999000	 240	 999000	 999	 8.917356e+02	 583.33	 583.33	 56.00	 15	 0.19	 
BMI_bff_106	 2	 7	 202_cahlon_moshe.jpg	 8.937213e+02	 11	 1.016252e+03	 1100	 5.833692e+02	 98	 8.947390e+02	 533.33	 583.33	 9.00	 22	 0.77	 
BMI_bff_106	 2	 7	 212_olmert_ehud.jpg	 8.997112e+02	 24	 999000	 240	 999000	 999	 9.007290e+02	 533.33	 583.33	 41.00	 32	 0.38	 
BMI_bff_106	 2	 7	 117_tibi_ahmed.jpg	 9.017135e+02	 24	 999000	 240	 999000	 999	 9.027312e+02	 533.33	 583.33	 47.00	 17	 0.29	 
BMI_bff_106	 2	 7	 106_herzog_yitzhak.jpg	 9.047169e+02	 12	 999000	 120	 999000	 999	 9.057346e+02	 533.33	 583.33	 7.00	 6	 0.82	 
BMI_bff_106	 2	 7	 113_rosenthal_mickey.jpg	 9.067191e+02	 11	 9.863982e+02	 110	 5.333627e+02	 98	 9.077369e+02	 550.00	 583.33	 14.00	 13	 0.67	 
BMI_bff_106	 2	 7	 302_danon_danny.jpg	 9.087214e+02	 24	 999000	 240	 999000	 999	 9.097392e+02	 550.00	 583.33	 40.00	 42	 0.41	 
