Trial	StimName	Liking	RT
1	149.bmp	7.02222222222	7461
2	114.bmp	8.04444444444	3537
3	126.bmp	5.93333333333	2770
4	156.bmp	5.93333333333	5810
5	104.bmp	6.82222222222	2170
6	146.bmp	3.77777777778	1836
7	107.bmp	7.33333333333	2790
8	125.bmp	1.97777777778	1452
9	101.bmp	9.46666666667	3373
10	113.bmp	4.88888888889	2303
11	153.bmp	7.8	2252
12	112.bmp	6.77777777778	2489
13	129.bmp	2.97777777778	2219
14	105.bmp	9.13333333333	2221
15	137.bmp	9.75555555556	1985
16	109.bmp	2.4	3722
17	141.bmp	3.75555555556	2589
18	157.bmp	6.15555555556	2868
19	103.bmp	6.26666666667	2039
20	127.bmp	1.44444444444	3254
21	151.bmp	8.8	2322
22	131.bmp	3.64444444444	1901
23	118.bmp	8.91111111111	2953
24	102.bmp	7.62222222222	2039
25	155.bmp	4.97777777778	2502
26	154.bmp	3.04444444444	2804
27	110.bmp	4.55555555556	2523
28	145.bmp	2.22222222222	1838
29	160.bmp	6.53333333333	2036
30	159.bmp	7.8	3588
31	152.bmp	7.8	2104
32	115.bmp	8.62222222222	2305
33	150.bmp	1.97777777778	1503
34	106.bmp	2.97777777778	4507
35	132.bmp	6.91111111111	1655
36	158.bmp	1.71111111111	1852
37	117.bmp	1.55555555556	1687
38	147.bmp	5.64444444444	2404
39	116.bmp	7.44444444444	2105
40	134.bmp	1.6	1650
41	111.bmp	2.11111111111	1488
42	139.bmp	1.57777777778	2354
43	136.bmp	6.88888888889	4939
44	128.bmp	1.68888888889	1887
45	119.bmp	2.6	2756
46	143.bmp	2.66666666667	1553
47	133.bmp	3.11111111111	1769
48	135.bmp	7.02222222222	2389
49	140.bmp	1.46666666667	1786
50	122.bmp	1.84444444444	1821
51	121.bmp	8.04444444444	1971
52	138.bmp	1.86666666667	1420
53	120.bmp	8.33333333333	2072
54	148.bmp	1.95555555556	1618
55	123.bmp	2.66666666667	3140
56	144.bmp	2.0	1837
57	124.bmp	6.66666666667	1921
58	108.bmp	7.53333333333	1853
59	142.bmp	1.75555555556	1505
60	130.bmp	6.53333333333	1701
