subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
BMI_bff_120	0	2	01	1	1	2.018582e+00	219_stern_eliezer.jpg	102_beneliezer_binyamin.jpg	14	12	1	u	1	1	1115.00	0.69	0.70
BMI_bff_120	0	2	01	1	2	5.022031e+00	201_baron_roni.jpg	312_livnat_limor.jpg	44	46	0	u	2	0	1135.59	0.34	0.30
BMI_bff_120	0	2	01	1	3	9.026454e+00	309_katz_yisrael.jpg	217_shelach_ofer.jpg	20	19	1	i	5	0	955.13	0.63	0.64
BMI_bff_120	0	2	01	1	4	1.501661e+01	116_shmuli_itzik.jpg	210_mofaz_shaul.jpg	16	7	1	i	1	0	844.98	0.67	0.83
BMI_bff_120	0	2	01	1	5	2.102333e+01	108_khenin_dov.jpg	120_zuabi_hanin.jpg	53	48	0	u	2	0	758.27	0.17	0.28
BMI_bff_120	0	2	01	1	6	2.601195e+01	110_nachman_shai.jpg	120_zuabi_hanin.jpg	45	48	0	u	2	0	785.64	0.31	0.28
BMI_bff_120	0	2	01	1	7	3.001678e+01	314_netanyahu.jpg	315_regev_miri.jpg	42	41	0	u	6	0	932.81	0.37	0.37
BMI_bff_120	0	2	01	1	8	3.502245e+01	210_mofaz_shaul.jpg	219_stern_eliezer.jpg	7	14	0	u	1	0	967.14	0.83	0.69
BMI_bff_120	0	2	01	1	9	4.101212e+01	304_dicter_abraham.jpg	213_perry_yaakov.jpg	15	9	0	u	1	0	809.46	0.68	0.81
BMI_bff_120	0	2	01	1	10	4.401582e+01	314_netanyahu.jpg	306_gafni_moshe.jpg	42	40	0	u	6	0	941.77	0.37	0.38
BMI_bff_120	0	2	01	1	11	4.701918e+01	304_dicter_abraham.jpg	317_shaked_ayelet.jpg	15	17	0	u	1	0	770.41	0.68	0.67
