subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BMI_bff_109	 1	 2	 203_cohen_meir.jpg	 1.310226e+02	 22	 9.679436e+02	 220	 6.500904e+02	 98	 1.320414e+02	 716.67	 666.67	 44.00	 23	 0.33	 
BMI_bff_109	 1	 2	 211_molla_shlomo.jpg	 1.360286e+02	 11	 1.026001e+03	 1100	 7.167545e+02	 98	 1.370471e+02	 666.67	 666.67	 7.00	 31	 0.77	 
BMI_bff_109	 1	 2	 104_galon_zahava.jpg	 1.380309e+02	 11	 9.276918e+02	 110	 6.667036e+02	 98	 1.390492e+02	 683.33	 666.67	 18.00	 4	 0.69	 
BMI_bff_109	 1	 2	 115_shimon_peres.jpg	 1.400164e+02	 12	 999000	 120	 999000	 999	 1.410348e+02	 683.33	 666.67	 6.00	 15	 0.77	 
BMI_bff_109	 1	 2	 114_shafir_stav.jpg	 1.460231e+02	 11	 9.434909e+02	 110	 6.833622e+02	 98	 1.470415e+02	 700.00	 666.67	 12.00	 14	 0.71	 
BMI_bff_109	 1	 2	 205_german_yael.jpg	 1.480254e+02	 12	 999000	 120	 999000	 999	 1.490440e+02	 700.00	 666.67	 19.00	 25	 0.68	 
BMI_bff_109	 1	 2	 217_shelach_ofer.jpg	 1.510287e+02	 24	 999000	 240	 999000	 999	 1.520472e+02	 700.00	 666.67	 46.00	 37	 0.31	 
BMI_bff_109	 1	 2	 102_beneliezer_binyamin.jpg	 1.530310e+02	 24	 999000	 240	 999000	 999	 1.540495e+02	 700.00	 666.67	 39.00	 2	 0.38	 
BMI_bff_109	 1	 2	 118_yacimovich_shelly.jpg	 1.570188e+02	 24	 999000	 240	 999000	 999	 1.580374e+02	 700.00	 666.67	 49.00	 18	 0.29	 
BMI_bff_109	 1	 2	 320_yaalon_moshe.jpg	 1.590211e+02	 12	 999000	 120	 999000	 999	 1.600395e+02	 700.00	 666.67	 14.00	 60	 0.70	 
BMI_bff_109	 1	 2	 109_michaeli_meirav.jpg	 1.640267e+02	 12	 999000	 120	 999000	 999	 1.650451e+02	 700.00	 666.67	 4.00	 9	 0.79	 
