subjectID	runtrial	onsettime	ImageLeft	ImageRight	StimNumLeft	StimNumRight	Response	Outcome	RT
BMI_bff_110	1	6.491756e-01	110_nachman_shai.jpg	311_liberman_avigdor.jpg	10	51	i	0	1.115953e+03
BMI_bff_110	2	4.019700e+00	219_stern_eliezer.jpg	102_beneliezer_binyamin.jpg	39	2	u	0	1.177438e+03
BMI_bff_110	3	7.523519e+00	205_german_yael.jpg	220_tamnu_shata_penina.jpg	25	40	u	0	1.241619e+03
BMI_bff_110	4	1.102748e+01	201_baron_roni.jpg	216_sharom_ariel.jpg	21	36	u	0	1.209659e+03
BMI_bff_110	5	1.453146e+01	212_olmert_ehud.jpg	104_galon_zahava.jpg	32	4	u	0	1.177682e+03
BMI_bff_110	6	1.801864e+01	208_livnee_zipi.jpg	118_yacimovich_shelly.jpg	28	18	i	0	1.482496e+03
BMI_bff_110	7	2.152268e+01	310_kirshenbaum_faina.jpg	304_dicter_abraham.jpg	50	44	i	0	1.562460e+03
BMI_bff_110	8	2.502654e+01	116_shmuli_itzik.jpg	210_mofaz_shaul.jpg	16	30	i	0	1.186600e+03
BMI_bff_110	9	2.853049e+01	113_rosenthal_mickey.jpg	204_galant_yoav.jpg	13	24	u	0	1.618655e+03
BMI_bff_110	10	3.201779e+01	305_erdan_gilad.jpg	302_danon_danny.jpg	45	42	u	0	1.267349e+03
BMI_bff_110	11	3.552169e+01	315_regev_miri.jpg	109_michaeli_meirav.jpg	55	9	u	0	1.283448e+03
BMI_bff_110	12	3.902563e+01	217_shelach_ofer.jpg	107_horowitz_nitzan.jpg	37	7	u	0	1.315509e+03
BMI_bff_110	13	4.252955e+01	211_molla_shlomo.jpg	112_peretz_amir.jpg	31	12	u	0	1.251579e+03
BMI_bff_110	14	4.601685e+01	120_zuabi_hanin.jpg	108_khenin_dov.jpg	20	8	i	0	8.522807e+02
BMI_bff_110	15	4.952081e+01	319_steinitz_yuval.jpg	207_lapid_yair.jpg	59	27	u	0	1.164344e+03
BMI_bff_110	16	5.302466e+01	307_hazan_oren.jpg	119_zandberg_tamar.jpg	47	19	i	0	1.196484e+03
BMI_bff_110	17	5.652860e+01	213_perry_yaakov.jpg	303_deri_arye.jpg	33	43	u	0	1.308541e+03
BMI_bff_110	18	6.001553e+01	115_shimon_peres.jpg	214_piron_shai.jpg	15	34	u	0	9.016163e+02
BMI_bff_110	19	6.351981e+01	218_shitrit_meir.jpg	105_gilon_ilan.jpg	38	5	u	0	1.189331e+03
BMI_bff_110	20	6.702381e+01	308_hotovely_tzipi.jpg	101_barak_ehud.jpg	48	1	i	0	1.173327e+03
BMI_bff_110	21	7.052769e+01	117_tibi_ahmed.jpg	103_cabel_eitan.jpg	17	3	i	0	9.654637e+02
BMI_bff_110	22	7.403160e+01	111_odeh_aiman.jpg	316_saar_gidon.jpg	11	56	i	0	1.109529e+03
BMI_bff_110	23	7.751890e+01	206_hasson_israel.JPG	313_lizman_yaakov.jpg	26	53	u	0	1.094246e+03
BMI_bff_110	24	8.102282e+01	209_mitzna_amram.jpg	312_livnat_limor.jpg	29	52	i	0	1.214291e+03
BMI_bff_110	25	8.452680e+01	114_shafir_stav.jpg	203_cohen_meir.jpg	14	23	i	0	1.582355e+03
BMI_bff_110	26	8.803064e+01	320_yaalon_moshe.jpg	215_rozbozov_yoel.jpg	60	35	u	0	9.824778e+02
BMI_bff_110	27	9.151796e+01	301_benet_naftali.jpg	317_shaked_ayelet.jpg	41	57	u	0	8.391875e+02
BMI_bff_110	28	9.502190e+01	202_cahlon_moshe.jpg	314_netanyahu.jpg	22	54	i	0	1.111255e+03
BMI_bff_110	29	9.852585e+01	106_herzog_yitzhak.jpg	306_gafni_moshe.jpg	6	46	u	0	1.079284e+03
BMI_bff_110	30	1.020298e+02	309_katz_yisrael.jpg	318_shalom_silvan.jpg	49	58	u	0	1.847349e+03
BMI_bff_110	31	1.055170e+02	113_rosenthal_mickey.jpg	114_shafir_stav.jpg	13	14	u	0	1.008168e+03
BMI_bff_110	32	1.090210e+02	314_netanyahu.jpg	305_erdan_gilad.jpg	54	45	u	0	1.072136e+03
BMI_bff_110	33	1.125249e+02	318_shalom_silvan.jpg	117_tibi_ahmed.jpg	58	17	u	0	1.176234e+03
BMI_bff_110	34	1.160288e+02	315_regev_miri.jpg	202_cahlon_moshe.jpg	55	22	i	0	1.296341e+03
BMI_bff_110	35	1.195157e+02	220_tamnu_shata_penina.jpg	109_michaeli_meirav.jpg	40	9	u	0	9.774050e+02
BMI_bff_110	36	1.230200e+02	316_saar_gidon.jpg	212_olmert_ehud.jpg	56	32	i	0	1.017119e+03
BMI_bff_110	37	1.265240e+02	209_mitzna_amram.jpg	308_hotovely_tzipi.jpg	29	48	i	0	9.131845e+02
BMI_bff_110	38	1.300279e+02	201_baron_roni.jpg	317_shaked_ayelet.jpg	21	57	i	0	1.153257e+03
BMI_bff_110	39	1.335318e+02	303_deri_arye.jpg	304_dicter_abraham.jpg	43	44	i	0	1.225364e+03
BMI_bff_110	40	1.370190e+02	208_livnee_zipi.jpg	203_cohen_meir.jpg	28	23	i	0	1.074116e+03
BMI_bff_110	41	1.405230e+02	115_shimon_peres.jpg	320_yaalon_moshe.jpg	15	60	u	0	1.282117e+03
BMI_bff_110	42	1.440269e+02	103_cabel_eitan.jpg	311_liberman_avigdor.jpg	3	51	i	0	7.302089e+02
BMI_bff_110	43	1.475310e+02	101_barak_ehud.jpg	107_horowitz_nitzan.jpg	1	7	u	0	9.221866e+02
BMI_bff_110	44	1.510182e+02	313_lizman_yaakov.jpg	306_gafni_moshe.jpg	53	46	u	0	1.378974e+03
BMI_bff_110	45	1.545388e+02	120_zuabi_hanin.jpg	118_yacimovich_shelly.jpg	20	18	i	0	8.663425e+02
BMI_bff_110	46	1.580260e+02	206_hasson_israel.JPG	112_peretz_amir.jpg	26	12	u	0	1.059159e+03
BMI_bff_110	47	1.615299e+02	111_odeh_aiman.jpg	219_stern_eliezer.jpg	11	39	u	0	1.043222e+03
BMI_bff_110	48	1.650168e+02	207_lapid_yair.jpg	310_kirshenbaum_faina.jpg	27	50	i	0	9.882970e+02
BMI_bff_110	49	1.685211e+02	204_galant_yoav.jpg	102_beneliezer_binyamin.jpg	24	2	i	0	1.148010e+03
BMI_bff_110	50	1.720251e+02	218_shitrit_meir.jpg	116_shmuli_itzik.jpg	38	16	u	0	1.260037e+03
BMI_bff_110	51	1.755290e+02	214_piron_shai.jpg	309_katz_yisrael.jpg	34	49	u	0	9.161399e+02
BMI_bff_110	52	1.790160e+02	216_sharom_ariel.jpg	307_hazan_oren.jpg	36	47	i	0	9.651487e+02
BMI_bff_110	53	1.825201e+02	312_livnat_limor.jpg	213_perry_yaakov.jpg	52	33	i	0	1.205020e+03
BMI_bff_110	54	1.860241e+02	210_mofaz_shaul.jpg	301_benet_naftali.jpg	30	41	i	0	1.140994e+03
BMI_bff_110	55	1.895280e+02	108_khenin_dov.jpg	302_danon_danny.jpg	8	42	i	0	1.821142e+03
BMI_bff_110	56	1.930150e+02	105_gilon_ilan.jpg	215_rozbozov_yoel.jpg	5	35	i	0	1.126166e+03
BMI_bff_110	57	1.965192e+02	319_steinitz_yuval.jpg	104_galon_zahava.jpg	59	4	u	0	1.517925e+03
BMI_bff_110	58	2.000232e+02	119_zandberg_tamar.jpg	205_german_yael.jpg	19	25	i	0	1.061984e+03
BMI_bff_110	59	2.035271e+02	106_herzog_yitzhak.jpg	211_molla_shlomo.jpg	6	31	u	0	1.446027e+03
BMI_bff_110	60	2.070310e+02	110_nachman_shai.jpg	217_shelach_ofer.jpg	10	37	i	0	9.981268e+02
BMI_bff_110	61	2.105184e+02	318_shalom_silvan.jpg	209_mitzna_amram.jpg	58	29	u	0	1.174773e+03
BMI_bff_110	62	2.140222e+02	214_piron_shai.jpg	104_galon_zahava.jpg	34	4	u	0	1.038956e+03
BMI_bff_110	63	2.175262e+02	218_shitrit_meir.jpg	305_erdan_gilad.jpg	38	45	i	0	1.078983e+03
BMI_bff_110	64	2.210301e+02	315_regev_miri.jpg	204_galant_yoav.jpg	55	24	i	0	1.143011e+03
BMI_bff_110	65	2.245174e+02	120_zuabi_hanin.jpg	301_benet_naftali.jpg	20	41	i	0	7.276945e+02
BMI_bff_110	66	2.280213e+02	213_perry_yaakov.jpg	112_peretz_amir.jpg	33	12	u	0	8.718731e+02
BMI_bff_110	67	2.315252e+02	107_horowitz_nitzan.jpg	304_dicter_abraham.jpg	7	44	i	0	9.039318e+02
BMI_bff_110	68	2.350291e+02	307_hazan_oren.jpg	114_shafir_stav.jpg	47	14	i	0	9.680436e+02
BMI_bff_110	69	2.385161e+02	314_netanyahu.jpg	108_khenin_dov.jpg	54	8	u	0	9.450744e+02
BMI_bff_110	70	2.420203e+02	319_steinitz_yuval.jpg	220_tamnu_shata_penina.jpg	59	40	u	0	1.280876e+03
BMI_bff_110	71	2.455242e+02	219_stern_eliezer.jpg	217_shelach_ofer.jpg	39	37	i	0	1.048932e+03
BMI_bff_110	72	2.490282e+02	310_kirshenbaum_faina.jpg	111_odeh_aiman.jpg	50	11	i	0	1.056899e+03
BMI_bff_110	73	2.525321e+02	212_olmert_ehud.jpg	116_shmuli_itzik.jpg	32	16	u	0	1.065032e+03
BMI_bff_110	74	2.560194e+02	320_yaalon_moshe.jpg	313_lizman_yaakov.jpg	60	53	u	0	7.457741e+02
BMI_bff_110	75	2.595233e+02	115_shimon_peres.jpg	207_lapid_yair.jpg	15	27	u	0	8.418148e+02
BMI_bff_110	76	2.630273e+02	309_katz_yisrael.jpg	308_hotovely_tzipi.jpg	49	48	i	0	1.353840e+03
BMI_bff_110	77	2.665312e+02	210_mofaz_shaul.jpg	306_gafni_moshe.jpg	30	46	u	0	1.113952e+03
BMI_bff_110	78	2.700184e+02	102_beneliezer_binyamin.jpg	118_yacimovich_shelly.jpg	2	18	i	0	1.170704e+03
BMI_bff_110	79	2.735224e+02	312_livnat_limor.jpg	303_deri_arye.jpg	52	43	u	0	1.002726e+03
BMI_bff_110	80	2.770263e+02	216_sharom_ariel.jpg	101_barak_ehud.jpg	36	1	i	0	1.210843e+03
BMI_bff_110	81	2.805303e+02	202_cahlon_moshe.jpg	215_rozbozov_yoel.jpg	22	35	u	0	1.506872e+03
BMI_bff_110	82	2.840175e+02	109_michaeli_meirav.jpg	117_tibi_ahmed.jpg	9	17	u	0	1.259614e+03
BMI_bff_110	83	2.875214e+02	316_saar_gidon.jpg	206_hasson_israel.JPG	56	26	u	0	1.371695e+03
BMI_bff_110	84	2.910253e+02	119_zandberg_tamar.jpg	317_shaked_ayelet.jpg	19	57	i	0	9.798048e+02
BMI_bff_110	85	2.945293e+02	105_gilon_ilan.jpg	103_cabel_eitan.jpg	5	3	i	0	9.638444e+02
BMI_bff_110	86	2.980163e+02	110_nachman_shai.jpg	113_rosenthal_mickey.jpg	10	13	i	0	1.052874e+03
BMI_bff_110	87	3.015205e+02	203_cohen_meir.jpg	106_herzog_yitzhak.jpg	23	6	u	0	1.332681e+03
BMI_bff_110	88	3.050245e+02	205_german_yael.jpg	208_livnee_zipi.jpg	25	28	u	0	1.236682e+03
BMI_bff_110	89	3.085283e+02	201_baron_roni.jpg	311_liberman_avigdor.jpg	21	51	i	0	8.768292e+02
BMI_bff_110	90	3.120153e+02	211_molla_shlomo.jpg	302_danon_danny.jpg	31	42	i	0	9.498669e+02
BMI_bff_110	91	3.155196e+02	106_herzog_yitzhak.jpg	110_nachman_shai.jpg	6	10	u	0	1.125573e+03
BMI_bff_110	92	3.190234e+02	219_stern_eliezer.jpg	209_mitzna_amram.jpg	39	29	u	0	9.897509e+02
BMI_bff_110	93	3.225274e+02	201_baron_roni.jpg	305_erdan_gilad.jpg	21	45	i	0	1.125714e+03
BMI_bff_110	94	3.260314e+02	108_khenin_dov.jpg	103_cabel_eitan.jpg	8	3	i	0	1.045743e+03
