subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
BMI_bff_115	0	1	01	1	1	2.102731e+00	206_hasson_israel.JPG	115_shimon_peres.jpg	10	14	1	i	1	0	887.93	0.70	0.67
BMI_bff_115	0	1	01	1	2	5.022728e+00	315_regev_miri.jpg	109_michaeli_meirav.jpg	7	11	1	i	1	0	519.93	0.73	0.69
BMI_bff_115	0	1	01	1	3	1.203055e+01	106_herzog_yitzhak.jpg	115_shimon_peres.jpg	12	14	1	i	1	0	824.10	0.67	0.67
BMI_bff_115	0	1	01	1	4	1.601836e+01	104_galon_zahava.jpg	305_erdan_gilad.jpg	8	15	0	i	1	1	796.30	0.71	0.65
BMI_bff_115	0	1	01	1	5	2.102408e+01	104_galon_zahava.jpg	315_regev_miri.jpg	8	7	0	u	1	0	750.58	0.71	0.73
BMI_bff_115	0	1	01	1	6	2.502852e+01	217_shelach_ofer.jpg	119_zandberg_tamar.jpg	56	6	0	i	4	1	530.15	0.20	0.74
BMI_bff_115	0	1	01	1	7	2.903307e+01	304_dicter_abraham.jpg	102_beneliezer_binyamin.jpg	44	43	1	u	2	1	637.58	0.38	0.39
BMI_bff_115	0	1	01	1	8	3.201971e+01	102_beneliezer_binyamin.jpg	209_mitzna_amram.jpg	43	52	0	u	2	0	642.96	0.39	0.25
BMI_bff_115	0	1	01	1	9	3.502302e+01	117_tibi_ahmed.jpg	211_molla_shlomo.jpg	50	46	1	u	2	1	607.64	0.32	0.36
BMI_bff_115	0	1	01	1	10	4.002873e+01	318_shalom_silvan.jpg	102_beneliezer_binyamin.jpg	47	43	1	i	2	0	513.95	0.35	0.39
BMI_bff_115	0	1	01	1	11	4.403313e+01	312_livnat_limor.jpg	106_herzog_yitzhak.jpg	9	12	0	i	1	1	821.53	0.71	0.67
BMI_bff_115	0	1	01	1	12	4.902207e+01	316_saar_gidon.jpg	117_tibi_ahmed.jpg	49	50	0	u	2	0	656.59	0.33	0.32
BMI_bff_115	0	1	01	1	13	5.302666e+01	101_barak_ehud.jpg	314_netanyahu.jpg	19	20	1	i	5	0	1036.01	0.62	0.59
BMI_bff_115	0	1	01	1	14	5.603000e+01	102_beneliezer_binyamin.jpg	320_yaalon_moshe.jpg	43	45	0	i	2	1	680.66	0.39	0.37
BMI_bff_115	0	1	01	1	15	6.001749e+01	101_barak_ehud.jpg	302_danon_danny.jpg	19	21	1	i	5	0	661.18	0.62	0.58
BMI_bff_115	0	1	01	1	16	6.602446e+01	202_cahlon_moshe.jpg	215_rozbozov_yoel.jpg	13	16	1	u	1	1	910.19	0.67	0.64
BMI_bff_115	0	1	01	1	17	7.303233e+01	312_livnat_limor.jpg	315_regev_miri.jpg	9	7	0	i	1	1	966.33	0.71	0.73
BMI_bff_115	0	1	01	1	18	7.601910e+01	206_hasson_israel.JPG	312_livnat_limor.jpg	10	9	1	u	1	1	739.57	0.70	0.71
BMI_bff_115	0	1	01	1	19	8.102474e+01	312_livnat_limor.jpg	203_cohen_meir.jpg	9	18	0	i	1	1	1045.92	0.71	0.63
BMI_bff_115	0	1	01	1	20	8.603026e+01	316_saar_gidon.jpg	320_yaalon_moshe.jpg	49	45	0	u	2	0	784.40	0.33	0.37
BMI_bff_115	0	1	01	1	21	9.202038e+01	209_mitzna_amram.jpg	316_saar_gidon.jpg	52	49	1	i	2	0	1098.29	0.25	0.33
BMI_bff_115	0	1	01	1	22	9.602478e+01	304_dicter_abraham.jpg	303_deri_arye.jpg	44	51	1	u	2	1	997.88	0.38	0.25
BMI_bff_115	0	1	01	1	23	1.010305e+02	303_deri_arye.jpg	209_mitzna_amram.jpg	51	52	0	u	2	0	872.18	0.25	0.25
BMI_bff_115	0	1	01	1	24	1.080216e+02	206_hasson_israel.JPG	104_galon_zahava.jpg	10	8	1	i	1	0	897.01	0.70	0.71
BMI_bff_115	0	1	01	1	25	1.130272e+02	115_shimon_peres.jpg	202_cahlon_moshe.jpg	14	13	0	u	1	0	883.50	0.67	0.67
BMI_bff_115	0	1	01	1	26	1.180329e+02	316_saar_gidon.jpg	304_dicter_abraham.jpg	49	44	0	u	2	0	645.77	0.33	0.38
BMI_bff_115	0	1	01	1	27	1.210195e+02	305_erdan_gilad.jpg	115_shimon_peres.jpg	15	14	1	u	1	1	827.13	0.65	0.67
BMI_bff_115	0	1	01	1	28	1.240229e+02	211_molla_shlomo.jpg	304_dicter_abraham.jpg	46	44	0	i	2	1	871.74	0.36	0.38
BMI_bff_115	0	1	01	1	29	1.300296e+02	113_rosenthal_mickey.jpg	301_benet_naftali.jpg	53	48	1	u	2	1	737.02	0.24	0.34
BMI_bff_115	0	1	01	1	30	1.340173e+02	215_rozbozov_yoel.jpg	315_regev_miri.jpg	16	7	0	i	1	1	981.40	0.64	0.73
BMI_bff_115	0	1	01	1	31	1.430275e+02	318_shalom_silvan.jpg	301_benet_naftali.jpg	47	48	1	u	2	1	747.16	0.35	0.34
BMI_bff_115	0	1	01	1	32	1.480332e+02	206_hasson_israel.JPG	319_steinitz_yuval.jpg	10	17	1	u	1	1	861.50	0.70	0.63
BMI_bff_115	0	1	01	1	33	1.570266e+02	308_hotovely_tzipi.jpg	306_gafni_moshe.jpg	5	55	1	u	4	1	804.10	0.75	0.22
BMI_bff_115	0	1	01	1	34	1.600300e+02	112_peretz_amir.jpg	117_tibi_ahmed.jpg	54	50	0	i	2	1	976.65	0.23	0.32
BMI_bff_115	0	1	01	1	35	1.640175e+02	215_rozbozov_yoel.jpg	203_cohen_meir.jpg	16	18	0	u	1	0	749.22	0.64	0.63
BMI_bff_115	0	1	01	1	36	1.700244e+02	307_hazan_oren.jpg	118_yacimovich_shelly.jpg	41	39	0	u	6	0	798.22	0.40	0.42
BMI_bff_115	0	1	01	1	37	1.740290e+02	106_herzog_yitzhak.jpg	215_rozbozov_yoel.jpg	12	16	1	i	1	0	649.66	0.67	0.64
BMI_bff_115	0	1	01	1	38	1.810202e+02	110_nachman_shai.jpg	310_kirshenbaum_faina.jpg	40	42	0	i	6	1	842.47	0.40	0.40
BMI_bff_115	0	1	01	1	39	1.870269e+02	315_regev_miri.jpg	115_shimon_peres.jpg	7	14	1	i	1	0	1019.74	0.73	0.67
BMI_bff_115	0	1	01	1	40	1.980226e+02	301_benet_naftali.jpg	304_dicter_abraham.jpg	48	44	0	x	2	999	999000.00	0.34	0.38
