subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BMI_bff_125	 1	 8	 312_livnat_limor.jpg	 9.158148e+02	 11	 9.842357e+02	 110	 7.833859e+02	 98	 9.168337e+02	 800.00	 783.33	 18.00	 52	 0.66	 
BMI_bff_125	 1	 8	 204_galant_yoav.jpg	 9.178175e+02	 22	 9.895418e+02	 220	 7.834123e+02	 98	 9.188357e+02	 800.00	 800.00	 45.00	 24	 0.31	 
BMI_bff_125	 1	 8	 201_baron_roni.jpg	 9.218218e+02	 24	 999000	 240	 999000	 999	 9.228403e+02	 800.00	 800.00	 41.00	 21	 0.38	 
BMI_bff_125	 1	 8	 217_shelach_ofer.jpg	 9.248252e+02	 24	 999000	 240	 999000	 999	 9.258437e+02	 800.00	 800.00	 57.00	 37	 0.15	 
BMI_bff_125	 1	 8	 314_netanyahu.jpg	 9.268108e+02	 11	 1.004245e+03	 1100	 8.000729e+02	 98	 9.278293e+02	 750.00	 800.00	 10.00	 54	 0.76	 
BMI_bff_125	 1	 8	 205_german_yael.jpg	 9.298142e+02	 11	 9.528298e+02	 110	 7.500315e+02	 98	 9.308325e+02	 766.67	 800.00	 7.00	 25	 0.78	 
BMI_bff_125	 1	 8	 110_nachman_shai.jpg	 9.338187e+02	 24	 999000	 240	 999000	 999	 9.348370e+02	 766.67	 800.00	 55.00	 10	 0.21	 
BMI_bff_125	 1	 8	 113_rosenthal_mickey.jpg	 9.378231e+02	 24	 999000	 240	 999000	 999	 9.388417e+02	 766.67	 800.00	 48.00	 13	 0.26	 
BMI_bff_125	 1	 8	 308_hotovely_tzipi.jpg	 9.398084e+02	 12	 999000	 120	 999000	 999	 9.408272e+02	 766.67	 800.00	 8.00	 48	 0.77	 
BMI_bff_125	 1	 8	 117_tibi_ahmed.jpg	 9.448143e+02	 24	 999000	 240	 999000	 999	 9.458327e+02	 766.67	 800.00	 56.00	 17	 0.19	 
BMI_bff_125	 1	 8	 320_yaalon_moshe.jpg	 9.468166e+02	 22	 1.006393e+03	 2200	 8.000500e+02	 98	 9.478351e+02	 766.67	 750.00	 44.00	 60	 0.34	 
BMI_bff_125	 1	 8	 101_barak_ehud.jpg	 9.488188e+02	 12	 999000	 120	 999000	 999	 9.498372e+02	 766.67	 750.00	 4.00	 1	 0.82	 
BMI_bff_125	 1	 8	 220_tamnu_shata_penina.jpg	 9.548256e+02	 11	 9.493961e+02	 110	 7.667202e+02	 98	 9.558439e+02	 783.33	 750.00	 12.00	 40	 0.76	 
BMI_bff_125	 1	 8	 214_piron_shai.jpg	 9.568112e+02	 22	 9.478039e+02	 220	 7.500483e+02	 98	 9.578297e+02	 783.33	 766.67	 52.00	 34	 0.24	 
BMI_bff_125	 1	 8	 310_kirshenbaum_faina.jpg	 9.588134e+02	 12	 999000	 120	 999000	 999	 9.598317e+02	 783.33	 766.67	 9.00	 50	 0.76	 
BMI_bff_125	 1	 8	 111_odeh_aiman.jpg	 9.608156e+02	 24	 999000	 240	 999000	 999	 9.618341e+02	 783.33	 766.67	 42.00	 11	 0.36	 
BMI_bff_125	 1	 8	 119_zandberg_tamar.jpg	 9.648202e+02	 12	 999000	 120	 999000	 999	 9.658385e+02	 783.33	 766.67	 11.00	 19	 0.76	 
BMI_bff_125	 1	 8	 212_olmert_ehud.jpg	 9.688246e+02	 12	 999000	 120	 999000	 999	 9.698430e+02	 783.33	 766.67	 5.00	 32	 0.81	 
BMI_bff_125	 1	 8	 208_livnee_zipi.jpg	 9.718113e+02	 11	 9.717005e+02	 110	 7.833927e+02	 98	 9.728298e+02	 800.00	 766.67	 15.00	 28	 0.71	 
BMI_bff_125	 1	 8	 216_sharom_ariel.jpg	 9.758158e+02	 11	 1.023227e+03	 1100	 8.000331e+02	 98	 9.768343e+02	 750.00	 766.67	 13.00	 36	 0.73	 
BMI_bff_125	 1	 8	 116_shmuli_itzik.jpg	 9.788192e+02	 24	 999000	 240	 999000	 999	 9.798376e+02	 750.00	 766.67	 51.00	 16	 0.24	 
BMI_bff_125	 1	 8	 103_cabel_eitan.jpg	 9.808215e+02	 24	 999000	 240	 999000	 999	 9.818398e+02	 750.00	 766.67	 43.00	 3	 0.34	 
BMI_bff_125	 1	 8	 115_shimon_peres.jpg	 9.848090e+02	 12	 999000	 120	 999000	 999	 9.858276e+02	 750.00	 766.67	 22.00	 15	 0.64	 
BMI_bff_125	 1	 8	 304_dicter_abraham.jpg	 9.868115e+02	 12	 999000	 120	 999000	 999	 9.878299e+02	 750.00	 766.67	 16.00	 44	 0.68	 
BMI_bff_125	 1	 8	 309_katz_yisrael.jpg	 9.888138e+02	 24	 999000	 240	 999000	 999	 9.898321e+02	 750.00	 766.67	 49.00	 49	 0.26	 
BMI_bff_125	 1	 8	 120_zuabi_hanin.jpg	 9.928184e+02	 24	 4.365984e+02	 24	 999000	 98	 9.938366e+02	 750.00	 766.67	 54.00	 20	 0.23	 
BMI_bff_125	 1	 8	 303_deri_arye.jpg	 9.948206e+02	 24	 999000	 240	 999000	 999	 9.958389e+02	 750.00	 766.67	 46.00	 43	 0.31	 
BMI_bff_125	 1	 8	 210_mofaz_shaul.jpg	 9.988081e+02	 24	 999000	 240	 999000	 999	 9.998267e+02	 750.00	 766.67	 40.00	 30	 0.38	 
BMI_bff_125	 1	 8	 107_horowitz_nitzan.jpg	 1.002813e+03	 12	 999000	 120	 999000	 999	 1.003831e+03	 750.00	 766.67	 21.00	 7	 0.65	 
BMI_bff_125	 1	 8	 104_galon_zahava.jpg	 1.005816e+03	 12	 999000	 120	 999000	 999	 1.006835e+03	 750.00	 766.67	 17.00	 4	 0.67	 
BMI_bff_125	 1	 8	 207_lapid_yair.jpg	 1.011823e+03	 12	 999000	 120	 999000	 999	 1.012841e+03	 750.00	 766.67	 3.00	 27	 0.88	 
BMI_bff_125	 1	 8	 102_beneliezer_binyamin.jpg	 1.013808e+03	 22	 1.054807e+03	 2200	 7.667416e+02	 98	 1.014827e+03	 750.00	 716.67	 47.00	 2	 0.26	 
BMI_bff_125	 1	 8	 109_michaeli_meirav.jpg	 1.017813e+03	 12	 999000	 120	 999000	 999	 1.018831e+03	 750.00	 716.67	 20.00	 9	 0.65	 
BMI_bff_125	 1	 8	 112_peretz_amir.jpg	 1.019815e+03	 22	 9.757709e+02	 220	 7.167294e+02	 98	 1.020834e+03	 750.00	 733.33	 50.00	 12	 0.26	 
BMI_bff_125	 1	 8	 319_steinitz_yuval.jpg	 1.021818e+03	 22	 9.494883e+02	 220	 7.334282e+02	 98	 1.022836e+03	 750.00	 750.00	 53.00	 59	 0.23	 
BMI_bff_125	 1	 8	 219_stern_eliezer.jpg	 1.023820e+03	 12	 999000	 120	 999000	 999	 1.024838e+03	 750.00	 750.00	 19.00	 39	 0.65	 
BMI_bff_125	 1	 8	 209_mitzna_amram.jpg	 1.028809e+03	 24	 999000	 240	 999000	 999	 1.029827e+03	 750.00	 750.00	 58.00	 29	 0.10	 
