subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
BMI_bff_139	0	1	01	2	1	2.139276e+00	208_livnee_zipi.jpg	202_cahlon_moshe.jpg	18	11	1	i	1	0	747.77	0.66	0.78
BMI_bff_139	0	1	01	2	2	5.009137e+00	311_liberman_avigdor.jpg	205_german_yael.jpg	48	52	0	u	2	0	1045.91	0.23	0.21
BMI_bff_139	0	1	01	2	3	1.201707e+01	208_livnee_zipi.jpg	110_nachman_shai.jpg	18	17	1	u	1	1	1005.98	0.66	0.67
BMI_bff_139	0	1	01	2	4	1.602149e+01	219_stern_eliezer.jpg	208_livnee_zipi.jpg	9	18	0	i	1	1	913.56	0.78	0.66
BMI_bff_139	0	1	01	2	5	2.101048e+01	209_mitzna_amram.jpg	120_zuabi_hanin.jpg	51	50	0	u	2	0	972.57	0.22	0.22
BMI_bff_139	0	1	01	2	6	2.501499e+01	209_mitzna_amram.jpg	310_kirshenbaum_faina.jpg	51	44	0	i	2	1	1384.06	0.22	0.32
BMI_bff_139	0	1	01	2	7	2.901951e+01	215_rozbozov_yoel.jpg	219_stern_eliezer.jpg	15	9	1	i	1	0	1043.54	0.70	0.78
BMI_bff_139	0	1	01	2	8	3.202285e+01	115_shimon_peres.jpg	307_hazan_oren.jpg	6	55	1	u	4	1	944.19	0.84	0.16
BMI_bff_139	0	1	01	2	9	3.500947e+01	310_kirshenbaum_faina.jpg	211_molla_shlomo.jpg	44	43	1	i	2	0	941.58	0.32	0.35
BMI_bff_139	0	1	01	2	10	4.001515e+01	205_german_yael.jpg	209_mitzna_amram.jpg	52	51	1	i	2	0	1191.90	0.21	0.22
BMI_bff_139	0	1	01	2	11	4.401959e+01	119_zandberg_tamar.jpg	211_molla_shlomo.jpg	45	43	1	u	2	1	667.45	0.31	0.35
BMI_bff_139	0	1	01	2	12	4.900867e+01	207_lapid_yair.jpg	304_dicter_abraham.jpg	13	16	1	u	1	1	1014.40	0.71	0.69
BMI_bff_139	0	1	01	2	13	5.301303e+01	311_liberman_avigdor.jpg	303_deri_arye.jpg	48	53	0	u	2	0	1098.03	0.23	0.19
BMI_bff_139	0	1	01	2	14	5.601640e+01	215_rozbozov_yoel.jpg	320_yaalon_moshe.jpg	15	14	1	i	1	0	1054.65	0.70	0.71
BMI_bff_139	0	1	01	2	15	6.002089e+01	115_shimon_peres.jpg	317_shaked_ayelet.jpg	6	56	1	u	4	1	970.16	0.84	0.15
BMI_bff_139	0	1	01	2	16	6.601096e+01	101_barak_ehud.jpg	116_shmuli_itzik.jpg	8	7	0	i	1	1	972.09	0.78	0.79
BMI_bff_139	0	1	01	2	17	7.301891e+01	309_katz_yisrael.jpg	114_shafir_stav.jpg	21	19	0	i	5	1	676.14	0.62	0.65
BMI_bff_139	0	1	01	2	18	7.602219e+01	209_mitzna_amram.jpg	111_odeh_aiman.jpg	51	47	0	u	2	0	1128.87	0.22	0.24
BMI_bff_139	0	1	01	2	19	8.101114e+01	320_yaalon_moshe.jpg	208_livnee_zipi.jpg	14	18	0	u	1	0	1075.92	0.71	0.66
BMI_bff_139	0	1	01	2	20	8.601676e+01	116_shmuli_itzik.jpg	110_nachman_shai.jpg	7	17	1	u	1	1	1094.30	0.79	0.67
BMI_bff_139	0	1	01	2	21	9.200673e+01	202_cahlon_moshe.jpg	116_shmuli_itzik.jpg	11	7	0	i	1	1	696.31	0.78	0.79
BMI_bff_139	0	1	01	2	22	9.601131e+01	219_stern_eliezer.jpg	108_khenin_dov.jpg	9	12	0	i	1	1	1323.75	0.78	0.72
