Subject	 StimName	 StimNum	 Rank	 Wins	 Loses	 Total
BFE_301	1101.jpg	1	4.294618e-01	3	4	7
BFE_301	1102.jpg	2	2.933673e-01	2	5	7
BFE_301	1103.jpg	3	6.991549e-01	6	1	7
BFE_301	1104.jpg	4	3.565806e-01	2	5	7
BFE_301	1105.jpg	5	8.284693e-01	6	1	7
BFE_301	1106.jpg	6	4.226333e-01	3	4	7
BFE_301	1107.jpg	7	2.841449e-01	1	6	7
BFE_301	1108.jpg	8	1.862212e-01	0	7	7
BFE_301	1109.jpg	9	7.250892e-01	5	2	7
BFE_301	1110.jpg	10	5.313516e-01	4	3	7
BFE_301	1111.jpg	11	5.622724e-01	4	3	7
BFE_301	1112.jpg	12	3.770207e-01	2	5	7
BFE_301	1113.jpg	13	4.992919e-01	4	3	7
BFE_301	1114.jpg	14	4.573548e-01	3	4	7
BFE_301	1115.jpg	15	4.905719e-01	4	3	7
BFE_301	1116.jpg	16	4.013905e-01	3	4	7
BFE_301	1117.jpg	17	4.662666e-01	3	4	7
BFE_301	1118.jpg	18	4.330454e-01	3	4	7
BFE_301	1119.jpg	19	4.385741e-01	3	4	7
BFE_301	1120.jpg	20	6.780677e-01	5	2	7
BFE_301	1121.jpg	21	6.726204e-01	5	2	7
BFE_301	1201.jpg	22	7.402066e-01	6	1	7
BFE_301	1202.jpg	23	4.478359e-01	3	4	7
BFE_301	1203.jpg	24	4.496870e-01	3	4	7
BFE_301	1204.jpg	25	5.309973e-01	4	3	7
BFE_301	1205.jpg	26	5.481157e-01	4	3	7
BFE_301	1206.jpg	27	6.759810e-01	5	2	7
BFE_301	1207.jpg	28	3.094514e-01	2	5	7
BFE_301	1208.jpg	29	4.247181e-01	3	4	7
BFE_301	1209.jpg	30	3.268563e-01	2	5	7
BFE_301	1210.jpg	31	4.850790e-01	3	4	7
BFE_301	1211.jpg	32	5.281926e-01	4	3	7
BFE_301	1212.jpg	33	4.018422e-01	2	5	7
BFE_301	1213.jpg	34	3.638105e-01	2	5	7
BFE_301	1214.jpg	35	7.966970e-01	6	1	7
BFE_301	1215.jpg	36	2.717230e-01	1	5	6
BFE_301	1216.jpg	37	4.953497e-01	4	3	7
BFE_301	1217.jpg	38	7.475170e-01	5	1	6
BFE_301	1218.jpg	39	5.288044e-01	4	3	7
BFE_301	1219.jpg	40	6.941844e-01	5	2	7
