subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
BFE_303	0	1	02	1	1	2.016522e+00	1106.jpg	1101.jpg	20	19	0	u	5	0	817.31	0.47	0.48
BFE_303	0	1	02	1	2	8.023274e+00	1209.jpg	1216.jpg	14	13	0	i	1	1	674.58	0.63	0.64
BFE_303	0	1	02	1	3	1.102666e+01	2217.jpg	2212.jpg	57	53	0	u	2	0	791.20	0.55	0.62
BFE_303	0	1	02	1	4	1.403004e+01	2217.jpg	2204.jpg	57	55	0	i	2	1	419.80	0.55	0.61
BFE_303	0	1	02	1	5	1.701689e+01	1104.jpg	1207.jpg	15	11	1	u	1	1	888.96	0.58	0.67
BFE_303	0	1	02	1	6	2.102123e+01	1208.jpg	1117.jpg	7	16	1	u	1	1	924.60	0.71	0.56
BFE_303	0	1	02	1	7	2.903019e+01	2217.jpg	2205.jpg	57	50	0	i	2	1	651.64	0.55	0.66
BFE_303	0	1	02	1	8	3.401908e+01	1214.jpg	1104.jpg	8	15	0	u	1	0	790.75	0.70	0.58
BFE_303	0	1	02	1	9	3.902480e+01	2204.jpg	2211.jpg	55	49	1	i	2	0	641.04	0.61	0.67
BFE_303	0	1	02	1	10	4.202816e+01	2219.jpg	2204.jpg	56	55	0	u	2	0	821.68	0.56	0.61
BFE_303	0	1	02	1	11	4.503145e+01	2208.jpg	2212.jpg	54	53	0	i	2	1	1034.40	0.62	0.62
BFE_303	0	1	02	1	12	5.102158e+01	2208.jpg	2109.jpg	54	47	0	u	2	0	836.27	0.62	0.69
BFE_303	0	1	02	1	13	5.502608e+01	2109.jpg	2103.jpg	47	51	1	i	2	0	743.75	0.69	0.64
BFE_303	0	1	02	1	14	5.802945e+01	2109.jpg	2219.jpg	47	56	1	i	2	0	836.40	0.69	0.56
BFE_303	0	1	02	1	15	6.301839e+01	1216.jpg	1206.jpg	13	17	1	i	1	0	543.44	0.64	0.54
BFE_303	0	1	02	1	16	7.002622e+01	1207.jpg	1216.jpg	11	13	0	u	1	0	767.63	0.67	0.64
BFE_303	0	1	02	1	17	7.302960e+01	2110.jpg	2208.jpg	52	54	1	i	2	0	1004.24	0.63	0.62
BFE_303	0	1	02	1	18	8.202299e+01	1117.jpg	1104.jpg	16	15	0	u	1	0	930.95	0.56	0.58
BFE_303	0	1	02	1	19	8.502640e+01	2211.jpg	2205.jpg	49	50	0	i	2	1	775.43	0.67	0.66
BFE_303	0	1	02	1	20	9.101616e+01	1217.jpg	1214.jpg	18	8	1	i	1	0	1097.70	0.53	0.70
BFE_303	0	1	02	1	21	9.602207e+01	1205.jpg	1215.jpg	4	37	1	u	3	1	979.78	0.80	0.24
BFE_303	0	1	02	1	22	9.902539e+01	2110.jpg	2211.jpg	52	49	1	i	2	0	776.44	0.63	0.67
BFE_303	0	1	02	1	23	1.060163e+02	2206.jpg	2116.jpg	60	59	0	u	6	0	953.51	0.52	0.53
BFE_303	0	1	02	1	24	1.110222e+02	1218.jpg	1217.jpg	9	18	0	u	1	0	891.61	0.69	0.53
BFE_303	0	1	02	1	25	1.170289e+02	2109.jpg	2207.jpg	47	48	1	u	2	1	980.91	0.69	0.68
BFE_303	0	1	02	1	26	1.210168e+02	2209.jpg	2113.jpg	44	77	1	u	4	1	841.01	0.75	0.24
