Subject	 StimName	 StimNum	 Rank	 Wins	 Loses	 Total
BFE_307	2101.jpg	1	3.319354e-01	2	5	7
BFE_307	2102.jpg	2	7.461616e-01	6	1	7
BFE_307	2103.jpg	3	6.838099e-01	5	2	7
BFE_307	2104.jpg	4	7.367581e-01	5	2	7
BFE_307	2105.jpg	5	4.784230e-01	3	4	7
BFE_307	2106.jpg	6	8.081126e-01	7	0	7
BFE_307	2107.jpg	7	4.276717e-01	3	4	7
BFE_307	2108.jpg	8	2.173003e-01	1	6	7
BFE_307	2109.jpg	9	8.672613e-01	7	0	7
BFE_307	2110.jpg	10	8.406226e-01	7	0	7
BFE_307	2111.jpg	11	5.035183e-01	4	3	7
BFE_307	2112.jpg	12	7.141753e-02	0	7	7
BFE_307	2113.jpg	13	5.651277e-01	4	3	7
BFE_307	2114.jpg	14	8.257440e-01	7	0	7
BFE_307	2115.jpg	15	7.455674e-01	6	1	7
BFE_307	2116.jpg	16	5.245357e-01	4	3	7
BFE_307	2117.jpg	17	5.245062e-01	5	2	7
BFE_307	2118.jpg	18	3.390950e-01	2	5	7
BFE_307	2119.jpg	19	1.470568e-01	0	7	7
BFE_307	2120.jpg	20	7.165512e-01	6	1	7
BFE_307	2121.jpg	21	8.619716e-01	7	0	7
BFE_307	2201.jpg	22	6.495130e-01	5	2	7
BFE_307	2202.jpg	23	4.303668e-01	3	4	7
BFE_307	2203.jpg	24	1.534974e-01	0	7	7
BFE_307	2204.jpg	25	2.170682e-01	1	6	7
BFE_307	2205.jpg	26	7.034981e-01	6	1	7
BFE_307	2206.jpg	27	3.263076e-01	2	5	7
BFE_307	2207.jpg	28	7.556572e-01	6	1	7
BFE_307	2208.jpg	29	2.699386e-01	1	6	7
BFE_307	2209.jpg	30	4.475365e-01	2	5	7
BFE_307	2210.jpg	31	2.949995e-01	1	6	7
BFE_307	2211.jpg	32	6.528334e-01	5	2	7
BFE_307	2212.jpg	33	3.189109e-01	1	6	7
BFE_307	2213.jpg	34	3.847650e-01	2	5	7
BFE_307	2214.jpg	35	4.129995e-01	2	5	7
BFE_307	2215.jpg	36	5.428625e-01	4	3	7
BFE_307	2216.jpg	37	2.762358e-01	1	6	7
BFE_307	2217.jpg	38	3.246626e-01	2	5	7
BFE_307	2218.jpg	39	4.724491e-01	3	4	7
BFE_307	2219.jpg	40	4.027503e-01	2	5	7
