subjectID	 order	 itemIndABC	 runtrial	 isGO?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd
BFE_309	 1	 21	 1	 0	 0	 3.078699e-02	 1218.jpg	 i	 5.691275e+00	 21	 
BFE_309	 1	 3	 2	 0	 0	 6.771731e+00	 1105.jpg	 i	 1.710358e+00	 22	 
BFE_309	 1	 40	 3	 0	 1	 9.524819e+00	 2219.jpg	 u	 3.853243e+00	 54	 
BFE_309	 1	 14	 4	 0	 0	 1.443022e+01	 1206.jpg	 i	 1.059856e+00	 11	 
BFE_309	 1	 22	 5	 1	 1	 1.654933e+01	 1219.jpg	 u	 1.828738e+00	 13	 
BFE_309	 1	 36	 6	 1	 0	 1.943590e+01	 2211.jpg	 i	 1.838163e+00	 47	 
BFE_309	 1	 6	 7	 1	 0	 2.232251e+01	 1109.jpg	 i	 3.799568e+00	 18	 
BFE_309	 1	 31	 8	 0	 1	 2.717791e+01	 2120.jpg	 u	 9.744166e+00	 56	 
BFE_309	 1	 24	 9	 0	 0	 3.797337e+01	 2108.jpg	 i	 1.700692e+00	 78	 
BFE_309	 1	 38	 10	 0	 1	 4.072637e+01	 2216.jpg	 u	 8.276912e-01	 57	 
BFE_309	 1	 23	 11	 0	 0	 4.261183e+01	 2102.jpg	 i	 2.718230e+00	 48	 
BFE_309	 1	 26	 12	 0	 1	 4.638272e+01	 2110.jpg	 u	 1.019339e+00	 44	 
BFE_309	 1	 37	 13	 1	 0	 4.845175e+01	 2213.jpg	 i	 1.102310e+00	 58	 
BFE_309	 1	 32	 14	 0	 0	 5.060419e+01	 2121.jpg	 i	 9.898845e-01	 41	 
BFE_309	 1	 12	 15	 0	 1	 5.263974e+01	 1121.jpg	 u	 2.050322e+00	 9	 
BFE_309	 1	 28	 16	 0	 0	 5.574328e+01	 2112.jpg	 i	 1.002788e+00	 77	 
BFE_309	 1	 30	 17	 0	 0	 5.779563e+01	 2116.jpg	 i	 1.526439e+00	 43	 
BFE_309	 1	 20	 18	 0	 1	 6.036517e+01	 1217.jpg	 u	 1.812906e+00	 20	 
BFE_309	 1	 9	 19	 0	 0	 6.323502e+01	 1113.jpg	 i	 9.430624e-01	 19	 
BFE_309	 1	 25	 20	 1	 1	 6.523727e+01	 2109.jpg	 u	 8.047891e-01	 50	 
BFE_309	 1	 15	 21	 0	 1	 6.708932e+01	 1209.jpg	 u	 4.208741e+00	 8	 
BFE_309	 1	 5	 22	 0	 0	 7.234519e+01	 1108.jpg	 i	 7.448877e-01	 40	 
BFE_309	 1	 11	 23	 0	 1	 7.414723e+01	 1119.jpg	 u	 1.766852e+00	 39	 
BFE_309	 1	 1	 24	 0	 0	 7.696714e+01	 1103.jpg	 i	 3.338925e+00	 4	 
BFE_309	 1	 19	 25	 0	 1	 8.135545e+01	 1216.jpg	 u	 1.422611e+00	 14	 
BFE_309	 1	 29	 26	 1	 0	 8.382479e+01	 2115.jpg	 i	 6.492645e-01	 55	 
BFE_309	 1	 17	 27	 1	 0	 8.552676e+01	 1212.jpg	 i	 8.112972e-01	 12	 
BFE_309	 1	 18	 28	 0	 0	 8.739551e+01	 1213.jpg	 i	 8.385714e-01	 3	 
BFE_309	 1	 8	 29	 0	 1	 8.928104e+01	 1112.jpg	 u	 9.770089e-01	 37	 
BFE_309	 1	 2	 30	 0	 0	 9.131657e+01	 1104.jpg	 i	 7.255123e-01	 16	 
BFE_309	 1	 33	 31	 0	 0	 9.308534e+01	 2202.jpg	 i	 6.767257e-01	 42	 
BFE_309	 1	 10	 32	 0	 0	 9.482044e+01	 1116.jpg	 i	 9.016121e-01	 17	 
BFE_309	 1	 34	 33	 0	 0	 9.677271e+01	 2206.jpg	 i	 1.245363e+00	 51	 
BFE_309	 1	 35	 34	 1	 1	 9.907519e+01	 2207.jpg	 u	 1.486897e+00	 53	 
BFE_309	 1	 27	 35	 0	 0	 1.016115e+02	 2111.jpg	 i	 6.865891e-01	 49	 
BFE_309	 1	 13	 36	 1	 0	 1.033467e+02	 1202.jpg	 i	 1.159346e+00	 7	 
BFE_309	 1	 39	 37	 1	 0	 1.055493e+02	 2218.jpg	 i	 7.487133e-01	 52	 
BFE_309	 1	 4	 38	 0	 1	 1.073512e+02	 1107.jpg	 u	 1.194903e+00	 38	 
BFE_309	 1	 7	 39	 1	 0	 1.096037e+02	 1111.jpg	 i	 8.943546e-01	 10	 
BFE_309	 1	 16	 40	 1	 0	 1.115559e+02	 1210.jpg	 i	 9.181431e-01	 15	 
