subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BFE_314	 2	 19	 2107.jpg	 2.335258e+03	 22	 1.383992e+03	 2200	 8.333844e+02	 98	 2.336276e+03	 750.00	 783.33	 57.00	 7	 0.55	 
BFE_314	 2	 19	 2106.jpg	 2.337244e+03	 24	 999000	 240	 999000	 999	 2.338261e+03	 750.00	 783.33	 44.00	 6	 0.78	 
BFE_314	 2	 19	 2209.jpg	 2.341248e+03	 24	 999000	 240	 999000	 999	 2.342266e+03	 750.00	 783.33	 60.00	 30	 0.53	 
BFE_314	 2	 19	 1114.jpg	 2.344251e+03	 12	 999000	 120	 999000	 999	 2.345269e+03	 750.00	 783.33	 15.00	 14	 0.55	 
BFE_314	 2	 19	 2121.jpg	 2.346253e+03	 24	 999000	 240	 999000	 999	 2.347271e+03	 750.00	 783.33	 50.00	 21	 0.68	 
BFE_314	 2	 19	 2119.jpg	 2.349240e+03	 24	 999000	 240	 999000	 999	 2.350258e+03	 750.00	 783.33	 61.00	 19	 0.51	 
BFE_314	 2	 19	 1110.jpg	 2.353245e+03	 11	 5.091704e+02	 11	 7.500556e+02	 98	 2.354262e+03	 766.67	 783.33	 8.00	 10	 0.72	 
BFE_314	 2	 19	 2218.jpg	 2.357249e+03	 24	 999000	 240	 999000	 999	 2.358267e+03	 766.67	 783.33	 77.00	 39	 0.20	 
BFE_314	 2	 19	 1208.jpg	 2.359251e+03	 12	 999000	 120	 999000	 999	 2.360269e+03	 766.67	 783.33	 19.00	 29	 0.49	 
BFE_314	 2	 19	 2113.jpg	 2.364240e+03	 24	 999000	 240	 999000	 999	 2.365258e+03	 766.67	 783.33	 43.00	 13	 0.82	 
BFE_314	 2	 19	 2205.jpg	 2.366243e+03	 24	 999000	 240	 999000	 999	 2.367260e+03	 766.67	 783.33	 47.00	 26	 0.74	 
BFE_314	 2	 19	 2105.jpg	 2.368245e+03	 24	 999000	 240	 999000	 999	 2.369262e+03	 766.67	 783.33	 59.00	 5	 0.53	 
BFE_314	 2	 19	 1121.jpg	 2.374251e+03	 12	 999000	 120	 999000	 999	 2.375269e+03	 766.67	 783.33	 7.00	 21	 0.73	 
BFE_314	 2	 19	 1115.jpg	 2.376254e+03	 11	 7.479453e+02	 11	 7.667001e+02	 98	 2.377271e+03	 783.33	 783.33	 11.00	 15	 0.70	 
BFE_314	 2	 19	 2102.jpg	 2.378239e+03	 24	 999000	 240	 999000	 999	 2.379257e+03	 783.33	 783.33	 55.00	 2	 0.57	 
BFE_314	 2	 19	 1204.jpg	 2.380242e+03	 11	 1.272134e+03	 1100	 7.833635e+02	 98	 2.381259e+03	 733.33	 783.33	 17.00	 25	 0.52	 
BFE_314	 2	 19	 2114.jpg	 2.384246e+03	 24	 999000	 240	 999000	 999	 2.385264e+03	 733.33	 783.33	 62.00	 14	 0.50	 
BFE_314	 2	 19	 1216.jpg	 2.388250e+03	 12	 999000	 120	 999000	 999	 2.389268e+03	 733.33	 783.33	 3.00	 37	 0.77	 
BFE_314	 2	 19	 1215.jpg	 2.391254e+03	 12	 999000	 120	 999000	 999	 2.392272e+03	 733.33	 783.33	 20.00	 36	 0.49	 
BFE_314	 2	 19	 1105.jpg	 2.395242e+03	 11	 1.016012e+03	 1100	 7.333681e+02	 98	 2.396259e+03	 683.33	 783.33	 16.00	 5	 0.55	 
BFE_314	 2	 19	 2111.jpg	 2.398245e+03	 22	 9.486111e+02	 220	 7.833622e+02	 98	 2.399263e+03	 683.33	 800.00	 56.00	 11	 0.56	 
BFE_314	 2	 19	 1201.jpg	 2.400247e+03	 12	 999000	 120	 999000	 999	 2.401265e+03	 683.33	 800.00	 4.00	 22	 0.75	 
BFE_314	 2	 19	 1118.jpg	 2.404252e+03	 12	 999000	 120	 999000	 999	 2.405270e+03	 683.33	 800.00	 37.00	 18	 0.20	 
BFE_314	 2	 19	 1120.jpg	 2.406254e+03	 12	 999000	 120	 999000	 999	 2.407272e+03	 683.33	 800.00	 12.00	 20	 0.68	 
BFE_314	 2	 19	 1209.jpg	 2.408239e+03	 12	 999000	 120	 999000	 999	 2.409257e+03	 683.33	 800.00	 18.00	 30	 0.50	 
BFE_314	 2	 19	 1203.jpg	 2.412244e+03	 12	 999000	 120	 999000	 999	 2.413262e+03	 683.33	 800.00	 38.00	 24	 0.19	 
BFE_314	 2	 19	 2115.jpg	 2.414246e+03	 22	 9.233765e+02	 220	 8.000286e+02	 98	 2.415264e+03	 683.33	 816.67	 51.00	 15	 0.64	 
BFE_314	 2	 19	 2104.jpg	 2.418251e+03	 22	 5.829631e+02	 22	 8.167031e+02	 98	 2.419269e+03	 683.33	 833.33	 48.00	 4	 0.71	 
BFE_314	 2	 19	 1107.jpg	 2.422238e+03	 12	 999000	 120	 999000	 999	 2.423256e+03	 683.33	 833.33	 21.00	 7	 0.48	 
BFE_314	 2	 19	 2206.jpg	 2.425242e+03	 22	 8.638048e+02	 220	 8.333673e+02	 98	 2.426260e+03	 683.33	 850.00	 49.00	 27	 0.69	 
BFE_314	 2	 19	 1103.jpg	 2.431249e+03	 11	 1.169052e+03	 1100	 6.833976e+02	 98	 2.432267e+03	 633.33	 850.00	 9.00	 3	 0.71	 
BFE_314	 2	 19	 1109.jpg	 2.433251e+03	 12	 999000	 120	 999000	 999	 2.434269e+03	 633.33	 850.00	 22.00	 9	 0.48	 
BFE_314	 2	 19	 2103.jpg	 2.437238e+03	 24	 999000	 240	 999000	 999	 2.438257e+03	 633.33	 850.00	 58.00	 3	 0.54	 
BFE_314	 2	 19	 1205.jpg	 2.439241e+03	 12	 999000	 120	 999000	 999	 2.440259e+03	 633.33	 850.00	 13.00	 26	 0.67	 
BFE_314	 2	 19	 2201.jpg	 2.441243e+03	 24	 999000	 240	 999000	 999	 2.442261e+03	 633.33	 850.00	 52.00	 22	 0.62	 
BFE_314	 2	 19	 2120.jpg	 2.443246e+03	 24	 999000	 240	 999000	 999	 2.444263e+03	 633.33	 850.00	 53.00	 20	 0.61	 
BFE_314	 2	 19	 2109.jpg	 2.448251e+03	 22	 1.110587e+03	 2200	 8.500285e+02	 98	 2.449269e+03	 633.33	 800.00	 54.00	 9	 0.59	 
BFE_314	 2	 19	 1104.jpg	 2.450253e+03	 11	 1.148367e+03	 1100	 6.333865e+02	 98	 2.451271e+03	 583.33	 800.00	 14.00	 4	 0.64	 
BFE_314	 2	 19	 1106.jpg	 2.452239e+03	 12	 999000	 120	 999000	 999	 2.453257e+03	 583.33	 800.00	 10.00	 6	 0.70	 
BFE_314	 2	 19	 2203.jpg	 2.455242e+03	 24	 999000	 240	 999000	 999	 2.456260e+03	 583.33	 800.00	 78.00	 24	 0.17	 
