subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BFE_320	 2	 12	 2218.jpg	 1.704101e+03	 24	 999000	 240	 999000	 999	 1.705119e+03	 650.00	 650.00	 47.00	 39	 0.75	 
BFE_320	 2	 12	 2110.jpg	 1.707105e+03	 24	 999000	 240	 999000	 999	 1.708123e+03	 650.00	 650.00	 55.00	 10	 0.62	 
BFE_320	 2	 12	 1109.jpg	 1.709107e+03	 12	 999000	 120	 999000	 999	 1.710125e+03	 650.00	 650.00	 21.00	 9	 0.48	 
BFE_320	 2	 12	 2115.jpg	 1.711109e+03	 22	 1.109191e+03	 2200	 6.500431e+02	 98	 1.712127e+03	 650.00	 600.00	 57.00	 15	 0.56	 
BFE_320	 2	 12	 1214.jpg	 1.713095e+03	 11	 9.078445e+02	 110	 6.500497e+02	 98	 1.714113e+03	 666.67	 600.00	 11.00	 35	 0.68	 
BFE_320	 2	 12	 1111.jpg	 1.716132e+03	 12	 999000	 120	 999000	 999	 1.717149e+03	 666.67	 600.00	 12.00	 11	 0.64	 
BFE_320	 2	 12	 2205.jpg	 1.718100e+03	 24	 999000	 240	 999000	 999	 1.719118e+03	 666.67	 600.00	 53.00	 26	 0.66	 
BFE_320	 2	 12	 1107.jpg	 1.722105e+03	 12	 999000	 120	 999000	 999	 1.723123e+03	 666.67	 600.00	 22.00	 7	 0.45	 
BFE_320	 2	 12	 2215.jpg	 1.724107e+03	 24	 999000	 240	 999000	 999	 1.725125e+03	 666.67	 600.00	 77.00	 36	 0.22	 
BFE_320	 2	 12	 2111.jpg	 1.729096e+03	 24	 999000	 240	 999000	 999	 1.730114e+03	 666.67	 600.00	 52.00	 11	 0.67	 
BFE_320	 2	 12	 1204.jpg	 1.731098e+03	 12	 999000	 120	 999000	 999	 1.732116e+03	 666.67	 600.00	 20.00	 25	 0.48	 
