Subject	 StimName	 StimNum	 Rank	 Wins	 Loses	 Total
BFE_322	1101.jpg	1	5.845348e-01	5	2	7
BFE_322	1102.jpg	2	5.462266e-01	4	3	7
BFE_322	1103.jpg	3	7.615475e-01	5	1	6
BFE_322	1104.jpg	4	5.125769e-01	3	4	7
BFE_322	1105.jpg	5	7.272271e-01	5	2	7
BFE_322	1106.jpg	6	3.146995e-01	2	5	7
BFE_322	1107.jpg	7	5.893200e-01	4	3	7
BFE_322	1108.jpg	8	6.397217e-01	5	2	7
BFE_322	1109.jpg	9	2.601846e-01	1	5	6
BFE_322	1110.jpg	10	6.615596e-01	6	1	7
BFE_322	1111.jpg	11	2.871998e-01	2	5	7
BFE_322	1112.jpg	12	3.335668e-01	1	6	7
BFE_322	1113.jpg	13	7.120953e-01	6	1	7
BFE_322	1114.jpg	14	7.799932e-01	6	0	6
BFE_322	1115.jpg	15	6.642768e-01	5	1	6
BFE_322	1116.jpg	16	3.439878e-01	2	5	7
BFE_322	1117.jpg	17	3.500927e-01	2	5	7
BFE_322	1118.jpg	18	1.785727e-01	0	7	7
BFE_322	1119.jpg	19	4.482593e-01	3	4	7
BFE_322	1120.jpg	20	1.189073e-01	0	7	7
BFE_322	1121.jpg	21	8.068463e-01	6	1	7
BFE_322	1201.jpg	22	3.510342e-01	2	5	7
BFE_322	1202.jpg	23	5.084624e-01	2	5	7
BFE_322	1203.jpg	24	2.797817e-01	0	7	7
BFE_322	1204.jpg	25	2.734187e-01	2	5	7
BFE_322	1205.jpg	26	8.664422e-02	0	7	7
BFE_322	1206.jpg	27	5.434711e-01	3	4	7
BFE_322	1207.jpg	28	3.592595e-01	3	4	7
BFE_322	1208.jpg	29	5.259016e-01	4	3	7
BFE_322	1209.jpg	30	6.408519e-01	5	2	7
BFE_322	1210.jpg	31	3.381391e-02	0	7	7
BFE_322	1211.jpg	32	7.358392e-01	5	2	7
BFE_322	1212.jpg	33	1.622498e-01	0	7	7
BFE_322	1213.jpg	34	7.475683e-01	6	1	7
BFE_322	1214.jpg	35	7.186628e-01	6	1	7
BFE_322	1215.jpg	36	4.573238e-01	4	3	7
BFE_322	1216.jpg	37	7.364941e-01	6	1	7
BFE_322	1217.jpg	38	7.444654e-01	5	2	7
BFE_322	1218.jpg	39	7.119714e-01	6	1	7
BFE_322	1219.jpg	40	7.613895e-01	6	1	7
