Subject	StimName	StimNum	Rank	Wins	Loses	Total
BFE_323	1101.jpg	1	1.940891e-01	1	13	14
BFE_323	1102.jpg	2	7.665661e-01	13	1	14
BFE_323	1103.jpg	3	4.849477e-01	6	8	14
BFE_323	1104.jpg	4	3.169463e-01	5	9	14
BFE_323	1105.jpg	5	6.655627e-01	10	4	14
BFE_323	1106.jpg	6	8.121917e-01	12	2	14
BFE_323	1107.jpg	7	3.167704e-01	4	10	14
BFE_323	1108.jpg	8	5.092210e-01	6	8	14
BFE_323	1109.jpg	9	7.870165e-01	11	3	14
BFE_323	1110.jpg	10	3.528028e-01	5	9	14
BFE_323	1111.jpg	11	5.863383e-01	10	4	14
BFE_323	1112.jpg	12	4.661391e-01	6	8	14
BFE_323	1113.jpg	13	7.515295e-01	11	3	14
BFE_323	1114.jpg	14	4.885014e-01	7	7	14
BFE_323	1115.jpg	15	6.173629e-01	9	5	14
BFE_323	1116.jpg	16	4.036490e-01	4	10	14
BFE_323	1117.jpg	17	4.457517e-01	6	8	14
BFE_323	1118.jpg	18	4.226105e-02	0	14	14
BFE_323	1119.jpg	19	3.767619e-01	4	9	13
BFE_323	1120.jpg	20	2.526279e-01	3	11	14
BFE_323	1121.jpg	21	8.260445e-01	12	2	14
BFE_323	1201.jpg	22	8.288395e-01	12	2	14
BFE_323	1202.jpg	23	6.477557e-01	10	4	14
BFE_323	1203.jpg	24	1.226069e-01	1	13	14
BFE_323	1204.jpg	25	7.605471e-01	11	3	14
BFE_323	1205.jpg	26	9.013201e-01	13	1	14
BFE_323	1206.jpg	27	5.819526e-01	9	5	14
BFE_323	1207.jpg	28	7.411984e-01	11	3	14
BFE_323	1208.jpg	29	5.009435e-01	6	8	14
BFE_323	1209.jpg	30	8.927743e-01	13	1	14
BFE_323	1210.jpg	31	5.565400e-01	8	6	14
BFE_323	1211.jpg	32	6.186522e-01	11	3	14
BFE_323	1212.jpg	33	5.142511e-01	7	7	14
BFE_323	1213.jpg	34	9.715495e-01	14	0	14
BFE_323	1214.jpg	35	7.479317e-01	11	3	14
BFE_323	1215.jpg	36	5.926574e-01	8	6	14
BFE_323	1216.jpg	37	7.739208e-01	12	2	14
BFE_323	1217.jpg	38	6.788116e-01	9	5	14
BFE_323	1218.jpg	39	8.344685e-01	12	2	14
BFE_323	1219.jpg	40	6.757908e-01	11	3	14
BFE_323	2101.jpg	41	2.384517e-01	1	12	13
BFE_323	2102.jpg	42	4.087173e-01	5	9	14
BFE_323	2103.jpg	43	4.942148e-01	9	5	14
BFE_323	2104.jpg	44	3.321660e-01	4	10	14
BFE_323	2105.jpg	45	5.546289e-01	8	6	14
BFE_323	2106.jpg	46	6.714335e-01	10	4	14
BFE_323	2107.jpg	47	2.148205e-01	2	12	14
BFE_323	2108.jpg	48	1.224117e-01	0	14	14
BFE_323	2109.jpg	49	6.289839e-01	10	4	14
BFE_323	2110.jpg	50	3.025556e-01	4	9	13
BFE_323	2111.jpg	51	1.925583e-01	2	12	14
BFE_323	2112.jpg	52	2.824886e-01	4	10	14
BFE_323	2113.jpg	53	5.905127e-01	8	6	14
BFE_323	2114.jpg	54	5.378309e-01	9	5	14
BFE_323	2115.jpg	55	1.941708e-01	2	12	14
BFE_323	2116.jpg	56	1.892053e-01	2	12	14
BFE_323	2117.jpg	57	1.226047e-01	2	12	14
BFE_323	2118.jpg	58	1.143139e-01	0	14	14
BFE_323	2119.jpg	59	3.284732e-01	4	10	14
BFE_323	2120.jpg	60	2.361838e-01	4	10	14
BFE_323	2121.jpg	61	6.513416e-01	9	5	14
BFE_323	2201.jpg	62	8.721831e-01	13	1	14
BFE_323	2202.jpg	63	5.178186e-01	8	6	14
BFE_323	2203.jpg	64	5.203768e-02	0	13	13
BFE_323	2204.jpg	65	4.372426e-01	6	8	14
BFE_323	2205.jpg	66	6.577011e-01	10	4	14
BFE_323	2206.jpg	67	1.403113e-01	0	14	14
BFE_323	2207.jpg	68	6.568650e-01	10	4	14
BFE_323	2208.jpg	69	2.777730e-01	3	11	14
BFE_323	2209.jpg	70	6.991473e-01	10	3	13
BFE_323	2210.jpg	71	2.063952e-01	2	12	14
BFE_323	2211.jpg	72	3.872735e-01	4	9	13
BFE_323	2212.jpg	73	3.286923e-01	2	12	14
BFE_323	2213.jpg	74	7.872887e-01	11	3	14
BFE_323	2214.jpg	75	4.562067e-01	6	8	14
BFE_323	2215.jpg	76	4.736184e-01	6	8	14
BFE_323	2216.jpg	77	6.737864e-01	11	3	14
BFE_323	2217.jpg	78	3.706788e-01	4	10	14
BFE_323	2218.jpg	79	7.150789e-01	10	4	14
BFE_323	2219.jpg	80	4.762406e-01	8	6	14
