subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BFE_326	 2	 17	 1116.jpg	 2.306125e+03	 12	 999000	 120	 999000	 999	 2.307143e+03	 616.67	 616.67	 19.00	 16	 0.51	 
BFE_326	 2	 17	 1117.jpg	 2.309111e+03	 12	 999000	 120	 999000	 999	 2.310129e+03	 616.67	 616.67	 4.00	 17	 0.77	 
BFE_326	 2	 17	 1101.jpg	 2.311114e+03	 12	 999000	 120	 999000	 999	 2.312132e+03	 616.67	 616.67	 21.00	 1	 0.49	 
BFE_326	 2	 17	 1212.jpg	 2.313116e+03	 12	 999000	 120	 999000	 999	 2.314134e+03	 616.67	 616.67	 3.00	 33	 0.79	 
BFE_326	 2	 17	 2208.jpg	 2.315118e+03	 24	 999000	 240	 999000	 999	 2.316136e+03	 616.67	 616.67	 61.00	 29	 0.49	 
BFE_326	 2	 17	 1119.jpg	 2.318122e+03	 12	 999000	 120	 999000	 999	 2.319139e+03	 616.67	 616.67	 15.00	 19	 0.56	 
BFE_326	 2	 17	 2121.jpg	 2.320124e+03	 24	 999000	 240	 999000	 999	 2.321142e+03	 616.67	 616.67	 77.00	 21	 0.33	 
BFE_326	 2	 17	 1115.jpg	 2.324112e+03	 12	 999000	 120	 999000	 999	 2.325129e+03	 616.67	 616.67	 22.00	 15	 0.46	 
BFE_326	 2	 17	 2118.jpg	 2.326114e+03	 22	 1.024362e+03	 2200	 6.167084e+02	 98	 2.327132e+03	 616.67	 566.67	 49.00	 18	 0.70	 
BFE_326	 2	 17	 2207.jpg	 2.331119e+03	 24	 999000	 240	 999000	 999	 2.332137e+03	 616.67	 566.67	 43.00	 28	 0.81	 
BFE_326	 2	 17	 1201.jpg	 2.333122e+03	 12	 999000	 120	 999000	 999	 2.334140e+03	 616.67	 566.67	 37.00	 22	 0.22	 
BFE_326	 2	 17	 1110.jpg	 2.337126e+03	 11	 9.398954e+02	 110	 6.167168e+02	 98	 2.338144e+03	 633.33	 566.67	 16.00	 10	 0.56	 
BFE_326	 2	 17	 2214.jpg	 2.339112e+03	 22	 8.103779e+02	 220	 5.667010e+02	 98	 2.340130e+03	 633.33	 583.33	 57.00	 35	 0.54	 
BFE_326	 2	 17	 1208.jpg	 2.342115e+03	 11	 8.789735e+02	 110	 6.333614e+02	 98	 2.343133e+03	 650.00	 583.33	 11.00	 29	 0.60	 
BFE_326	 2	 17	 1112.jpg	 2.347121e+03	 12	 999000	 120	 999000	 999	 2.348139e+03	 650.00	 583.33	 38.00	 12	 0.22	 
BFE_326	 2	 17	 2202.jpg	 2.349123e+03	 24	 999000	 240	 999000	 999	 2.350141e+03	 650.00	 583.33	 59.00	 23	 0.51	 
BFE_326	 2	 17	 2112.jpg	 2.351125e+03	 22	 8.689173e+02	 220	 5.833599e+02	 98	 2.352143e+03	 650.00	 600.00	 56.00	 12	 0.54	 
BFE_326	 2	 17	 2218.jpg	 2.355113e+03	 24	 999000	 240	 999000	 999	 2.356131e+03	 650.00	 600.00	 50.00	 39	 0.68	 
BFE_326	 2	 17	 2114.jpg	 2.359118e+03	 24	 999000	 240	 999000	 999	 2.360135e+03	 650.00	 600.00	 55.00	 14	 0.55	 
BFE_326	 2	 17	 2120.jpg	 2.363122e+03	 22	 8.320607e+02	 220	 6.000325e+02	 98	 2.364140e+03	 650.00	 616.67	 54.00	 20	 0.58	 
BFE_326	 2	 17	 1203.jpg	 2.365124e+03	 11	 8.778919e+02	 110	 6.500338e+02	 98	 2.366142e+03	 666.67	 616.67	 9.00	 24	 0.67	 
BFE_326	 2	 17	 2117.jpg	 2.367127e+03	 22	 8.996040e+02	 220	 6.166972e+02	 98	 2.368144e+03	 666.67	 633.33	 48.00	 17	 0.70	 
BFE_326	 2	 17	 1104.jpg	 2.369112e+03	 11	 9.701262e+02	 110	 6.666956e+02	 98	 2.370130e+03	 683.33	 633.33	 17.00	 4	 0.55	 
BFE_326	 2	 17	 1216.jpg	 2.371114e+03	 12	 999000	 120	 999000	 999	 2.372132e+03	 683.33	 633.33	 12.00	 37	 0.59	 
BFE_326	 2	 17	 1214.jpg	 2.377121e+03	 12	 999000	 120	 999000	 999	 2.378139e+03	 683.33	 633.33	 18.00	 35	 0.55	 
BFE_326	 2	 17	 2115.jpg	 2.380125e+03	 24	 999000	 240	 999000	 999	 2.381142e+03	 683.33	 633.33	 52.00	 15	 0.63	 
BFE_326	 2	 17	 2104.jpg	 2.382127e+03	 24	 999000	 240	 999000	 999	 2.383145e+03	 683.33	 633.33	 44.00	 4	 0.80	 
BFE_326	 2	 17	 1217.jpg	 2.384112e+03	 11	 9.859413e+02	 110	 6.833700e+02	 98	 2.385130e+03	 700.00	 633.33	 8.00	 38	 0.71	 
BFE_326	 2	 17	 2209.jpg	 2.387118e+03	 22	 9.641173e+02	 220	 6.333659e+02	 98	 2.388133e+03	 700.00	 650.00	 51.00	 30	 0.67	 
BFE_326	 2	 17	 2113.jpg	 2.389118e+03	 24	 999000	 240	 999000	 999	 2.390136e+03	 700.00	 650.00	 58.00	 13	 0.53	 
BFE_326	 2	 17	 1205.jpg	 2.391120e+03	 12	 999000	 120	 999000	 999	 2.392138e+03	 700.00	 650.00	 13.00	 26	 0.58	 
BFE_326	 2	 17	 1213.jpg	 2.393122e+03	 12	 999000	 120	 999000	 999	 2.394140e+03	 700.00	 650.00	 10.00	 34	 0.66	 
BFE_326	 2	 17	 2109.jpg	 2.396126e+03	 24	 999000	 240	 999000	 999	 2.397144e+03	 700.00	 650.00	 62.00	 9	 0.49	 
BFE_326	 2	 17	 2210.jpg	 2.398111e+03	 24	 999000	 240	 999000	 999	 2.399129e+03	 700.00	 650.00	 78.00	 31	 0.26	 
BFE_326	 2	 17	 2212.jpg	 2.400114e+03	 24	 999000	 240	 999000	 999	 2.401131e+03	 700.00	 650.00	 53.00	 33	 0.59	 
BFE_326	 2	 17	 1118.jpg	 2.402116e+03	 12	 999000	 120	 999000	 999	 2.403134e+03	 700.00	 650.00	 20.00	 18	 0.50	 
BFE_326	 2	 17	 2215.jpg	 2.404118e+03	 24	 999000	 240	 999000	 999	 2.405136e+03	 700.00	 650.00	 60.00	 36	 0.50	 
BFE_326	 2	 17	 2111.jpg	 2.410125e+03	 24	 999000	 240	 999000	 999	 2.411143e+03	 700.00	 650.00	 47.00	 11	 0.70	 
BFE_326	 2	 17	 1120.jpg	 2.413112e+03	 11	 1.010651e+03	 1100	 7.000272e+02	 98	 2.414132e+03	 650.00	 650.00	 14.00	 20	 0.56	 
BFE_326	 2	 17	 1204.jpg	 2.417116e+03	 12	 999000	 120	 999000	 999	 2.418134e+03	 650.00	 650.00	 7.00	 25	 0.74	 
