subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
BFE_333	0	1	01	2	1	2.018586e+00	1109.jpg	1213.jpg	12	17	1	i	1	0	1003.27	0.63	0.58
BFE_333	0	1	01	2	2	7.024443e+00	1209.jpg	1214.jpg	11	15	0	i	1	1	1205.40	0.63	0.59
BFE_333	0	1	01	2	3	1.503347e+01	1205.jpg	1206.jpg	18	8	1	u	1	1	1012.40	0.57	0.67
BFE_333	0	1	01	2	4	1.801986e+01	2205.jpg	2116.jpg	56	58	0	u	2	0	1146.00	0.58	0.57
BFE_333	0	1	01	2	5	2.502800e+01	1205.jpg	1209.jpg	18	11	1	u	1	1	1369.84	0.57	0.63
BFE_333	0	1	01	2	6	2.803135e+01	2113.jpg	2111.jpg	51	47	0	u	2	0	942.51	0.64	0.77
BFE_333	0	1	01	2	7	3.902706e+01	1121.jpg	1217.jpg	14	10	0	u	1	0	1050.79	0.61	0.65
BFE_333	0	1	01	2	8	4.303156e+01	2216.jpg	2206.jpg	57	50	0	u	2	0	1286.29	0.57	0.68
BFE_333	0	1	01	2	9	4.701911e+01	1217.jpg	1206.jpg	10	8	1	u	1	1	1442.73	0.65	0.67
BFE_333	0	1	01	2	10	5.002270e+01	2218.jpg	2214.jpg	59	60	1	i	6	0	1255.19	0.56	0.54
BFE_333	0	1	01	2	11	5.302607e+01	1116.jpg	1204.jpg	37	3	0	x	3	999	999000.00	0.22	0.84
BFE_333	0	1	01	2	12	5.803172e+01	1217.jpg	1213.jpg	10	17	1	i	1	0	1126.15	0.65	0.58
BFE_333	0	1	01	2	13	6.201923e+01	2115.jpg	2121.jpg	53	48	1	u	2	1	946.61	0.60	0.71
BFE_333	0	1	01	2	14	7.102968e+01	2201.jpg	2205.jpg	55	56	1	u	2	1	824.17	0.58	0.58
BFE_333	0	1	01	2	15	7.403306e+01	2216.jpg	2116.jpg	57	58	0	u	2	0	948.79	0.57	0.57
BFE_333	0	1	01	2	16	7.902200e+01	1113.jpg	1118.jpg	21	22	0	u	5	0	855.86	0.54	0.48
BFE_333	0	1	01	2	17	8.502873e+01	1206.jpg	1109.jpg	8	12	0	i	1	1	1033.12	0.67	0.63
BFE_333	0	1	01	2	18	8.803204e+01	2117.jpg	2211.jpg	77	43	0	i	4	1	965.80	0.26	0.86
BFE_333	0	1	01	2	19	9.302097e+01	1210.jpg	1109.jpg	16	12	0	i	1	1	1120.91	0.58	0.63
BFE_333	0	1	01	2	20	9.702554e+01	2216.jpg	2201.jpg	57	55	0	u	2	0	1044.31	0.57	0.58
BFE_333	0	1	01	2	21	1.020312e+02	1106.jpg	1121.jpg	13	14	1	i	1	0	1278.67	0.63	0.61
BFE_333	0	1	01	2	22	1.070201e+02	2206.jpg	2114.jpg	50	54	1	i	2	0	1369.75	0.68	0.60
BFE_333	0	1	01	2	23	1.100235e+02	2101.jpg	2103.jpg	52	49	1	x	2	999	999000.00	0.62	0.70
BFE_333	0	1	01	2	24	1.130268e+02	2115.jpg	2103.jpg	53	49	1	i	2	0	811.09	0.60	0.70
BFE_333	0	1	01	2	25	1.250236e+02	2121.jpg	2116.jpg	48	58	0	u	2	0	1094.20	0.71	0.57
BFE_333	0	1	01	2	26	1.290282e+02	2114.jpg	2101.jpg	54	52	0	u	2	0	1065.67	0.60	0.62
BFE_333	0	1	01	2	27	1.320314e+02	2201.jpg	2113.jpg	55	51	1	u	2	1	902.42	0.58	0.64
BFE_333	0	1	01	2	28	1.390226e+02	2203.jpg	2106.jpg	62	61	1	u	6	1	1079.23	0.48	0.53
BFE_333	0	1	01	2	29	1.420261e+02	1213.jpg	1106.jpg	17	13	0	u	1	0	875.77	0.58	0.63
BFE_333	0	1	01	2	30	1.490340e+02	1104.jpg	1204.jpg	38	3	0	i	3	1	1011.89	0.19	0.84
BFE_333	0	1	01	2	31	1.540229e+02	1219.jpg	1206.jpg	7	8	1	u	1	1	734.98	0.67	0.67
BFE_333	0	1	01	2	32	1.580274e+02	1106.jpg	1209.jpg	13	11	1	i	1	0	1098.52	0.63	0.63
BFE_333	0	1	01	2	33	1.630329e+02	1109.jpg	1216.jpg	12	9	1	u	1	1	1012.94	0.63	0.66
BFE_333	0	1	01	2	34	1.690230e+02	2206.jpg	2121.jpg	50	48	1	i	2	0	1094.86	0.68	0.71
BFE_333	0	1	01	2	35	1.730276e+02	2216.jpg	2115.jpg	57	53	0	u	2	0	1042.28	0.57	0.60
BFE_333	0	1	01	2	36	1.760309e+02	2114.jpg	2111.jpg	54	47	0	u	2	0	1086.94	0.60	0.77
BFE_333	0	1	01	2	37	1.790342e+02	2217.jpg	2112.jpg	44	78	1	i	4	0	1059.61	0.82	0.24
BFE_333	0	1	01	2	38	1.820210e+02	2113.jpg	2206.jpg	51	50	0	u	2	0	1168.86	0.64	0.68
BFE_333	0	1	01	2	39	1.860254e+02	1216.jpg	1219.jpg	9	7	0	u	1	0	948.41	0.66	0.67
BFE_333	0	1	01	2	40	1.900299e+02	1205.jpg	1216.jpg	18	9	1	i	1	0	1463.94	0.57	0.66
BFE_333	0	1	01	2	41	1.960201e+02	2115.jpg	2205.jpg	53	56	1	i	2	0	1161.80	0.60	0.58
BFE_333	0	1	01	2	42	2.050302e+02	1216.jpg	1214.jpg	9	15	0	u	1	0	935.67	0.66	0.59
BFE_333	0	1	01	2	43	2.080335e+02	1106.jpg	1216.jpg	13	9	1	i	1	0	980.37	0.63	0.66
BFE_333	0	1	01	2	44	2.120213e+02	1105.jpg	1203.jpg	20	19	0	i	5	1	928.60	0.54	0.57
