subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BFE_348	 2	 7	 1204.jpg	 7.493394e+02	 12	 999000	 120	 999000	 999	 7.503570e+02	 616.67	 616.67	 10.00	 25	 0.75	 
BFE_348	 2	 7	 1206.jpg	 7.523259e+02	 12	 999000	 120	 999000	 999	 7.533439e+02	 616.67	 616.67	 15.00	 27	 0.62	 
BFE_348	 2	 7	 1215.jpg	 7.543282e+02	 12	 999000	 120	 999000	 999	 7.553460e+02	 616.67	 616.67	 7.00	 36	 0.77	 
BFE_348	 2	 7	 1218.jpg	 7.563305e+02	 11	 9.279262e+02	 110	 6.167288e+02	 98	 7.573482e+02	 633.33	 616.67	 17.00	 39	 0.56	 
BFE_348	 2	 7	 2205.jpg	 7.583327e+02	 22	 9.177563e+02	 220	 6.167203e+02	 98	 7.593505e+02	 633.33	 633.33	 51.00	 26	 0.71	 
BFE_348	 2	 7	 2214.jpg	 7.613362e+02	 22	 9.142474e+02	 220	 6.333741e+02	 98	 7.623539e+02	 633.33	 650.00	 49.00	 35	 0.73	 
BFE_348	 2	 7	 2201.jpg	 7.633214e+02	 24	 999000	 240	 999000	 999	 7.643395e+02	 633.33	 650.00	 43.00	 22	 0.86	 
BFE_348	 2	 7	 2202.jpg	 7.673261e+02	 24	 999000	 240	 999000	 999	 7.683439e+02	 633.33	 650.00	 52.00	 23	 0.69	 
BFE_348	 2	 7	 2207.jpg	 7.693284e+02	 24	 999000	 240	 999000	 999	 7.703461e+02	 633.33	 650.00	 44.00	 28	 0.85	 
BFE_348	 2	 7	 1201.jpg	 7.743339e+02	 11	 1.028479e+03	 1100	 6.333600e+02	 98	 7.753517e+02	 583.33	 650.00	 9.00	 22	 0.76	 
BFE_348	 2	 7	 1213.jpg	 7.763362e+02	 12	 999000	 120	 999000	 999	 7.773540e+02	 583.33	 650.00	 13.00	 34	 0.67	 
BFE_348	 2	 7	 1211.jpg	 7.803241e+02	 11	 9.503423e+02	 110	 5.833728e+02	 98	 7.813418e+02	 600.00	 650.00	 16.00	 32	 0.60	 
