subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
BFE_354	0	2	01	2	1	2.018850e+00	2102.jpg	2118.jpg	53	56	0	i	2	1	948.87	0.61	0.57
BFE_354	0	2	01	2	2	8.008553e+00	2213.jpg	2219.jpg	55	51	0	u	2	0	735.16	0.57	0.68
BFE_354	0	2	01	2	3	1.101236e+01	2114.jpg	2115.jpg	54	58	1	i	2	0	1307.36	0.60	0.55
BFE_354	0	2	01	2	4	1.401562e+01	2218.jpg	2219.jpg	50	51	0	u	2	0	696.08	0.69	0.68
BFE_354	0	2	01	2	5	1.701902e+01	1104.jpg	1205.jpg	19	20	0	i	5	1	708.68	0.53	0.51
BFE_354	0	2	01	2	6	2.102351e+01	1217.jpg	1218.jpg	10	8	0	u	1	0	736.18	0.63	0.74
BFE_354	0	2	01	2	7	2.901573e+01	2102.jpg	2106.jpg	53	49	0	i	2	1	703.97	0.61	0.73
BFE_354	0	2	01	2	8	3.402150e+01	2103.jpg	2101.jpg	43	78	1	u	4	1	546.20	0.83	0.20
BFE_354	0	2	01	2	9	3.901027e+01	1104.jpg	1212.jpg	19	21	0	u	5	0	805.43	0.53	0.48
BFE_354	0	2	01	2	10	4.201364e+01	1207.jpg	1103.jpg	16	7	1	i	1	0	562.06	0.58	0.77
BFE_354	0	2	01	2	11	4.501701e+01	1211.jpg	1118.jpg	18	14	0	u	1	0	942.71	0.53	0.60
BFE_354	0	2	01	2	12	5.102376e+01	1109.jpg	1211.jpg	11	18	1	u	1	1	959.98	0.62	0.53
BFE_354	0	2	01	2	13	5.501160e+01	2109.jpg	2219.jpg	52	51	0	i	2	1	700.10	0.63	0.68
BFE_354	0	2	01	2	14	5.801497e+01	2214.jpg	2116.jpg	59	61	0	u	6	0	1424.73	0.53	0.51
BFE_354	0	2	01	2	15	6.302055e+01	1109.jpg	1217.jpg	11	10	1	i	1	0	747.17	0.62	0.63
BFE_354	0	2	01	2	16	7.001183e+01	1118.jpg	1208.jpg	14	13	1	u	1	1	627.91	0.60	0.61
BFE_354	0	2	01	2	17	7.301504e+01	1208.jpg	1218.jpg	13	8	0	u	1	0	696.67	0.61	0.74
