subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
BFE_359	0	1	01	1	1	2.018681e+00	1106.jpg	1217.jpg	8	13	0	u	1	0	731.68	0.70	0.66
BFE_359	0	1	01	1	2	7.024341e+00	1107.jpg	1114.jpg	21	19	0	i	5	1	670.01	0.48	0.54
BFE_359	0	1	01	1	3	1.501664e+01	1203.jpg	1209.jpg	20	22	0	u	5	0	853.72	0.53	0.48
BFE_359	0	1	01	1	4	1.801995e+01	2116.jpg	2109.jpg	58	56	1	i	2	0	762.40	0.58	0.61
BFE_359	0	1	01	1	5	2.501086e+01	2105.jpg	2214.jpg	61	62	0	u	6	0	779.51	0.52	0.50
BFE_359	0	1	01	1	6	2.801450e+01	2216.jpg	2106.jpg	50	57	1	u	2	1	983.86	0.69	0.61
BFE_359	0	1	01	1	7	3.902690e+01	2106.jpg	2219.jpg	57	52	0	i	2	1	899.44	0.61	0.65
BFE_359	0	1	01	1	8	4.301470e+01	2116.jpg	2213.jpg	58	49	1	i	2	0	1079.65	0.58	0.73
BFE_359	0	1	01	1	9	4.701924e+01	1218.jpg	1106.jpg	18	8	1	u	1	1	1219.11	0.55	0.70
BFE_359	0	1	01	1	10	5.002263e+01	1115.jpg	1208.jpg	12	17	1	i	1	0	879.72	0.66	0.63
BFE_359	0	1	01	1	11	5.302604e+01	2219.jpg	2109.jpg	52	56	1	u	2	1	860.31	0.65	0.61
BFE_359	0	1	01	1	12	5.801493e+01	2213.jpg	2219.jpg	49	52	0	u	2	0	951.43	0.73	0.65
BFE_359	0	1	01	1	13	6.201941e+01	1104.jpg	1217.jpg	14	13	0	i	1	1	690.98	0.66	0.66
BFE_359	0	1	01	1	14	7.101297e+01	1121.jpg	1115.jpg	16	12	0	u	1	0	897.38	0.64	0.66
BFE_359	0	1	01	1	15	7.401634e+01	1204.jpg	1106.jpg	15	8	1	u	1	1	990.02	0.65	0.70
BFE_359	0	1	01	1	16	7.902190e+01	2219.jpg	2208.jpg	52	51	1	u	2	1	960.45	0.65	0.68
BFE_359	0	1	01	1	17	8.501202e+01	2207.jpg	2208.jpg	55	51	1	i	2	0	1114.36	0.65	0.68
BFE_359	0	1	01	1	18	8.801531e+01	2213.jpg	2216.jpg	49	50	0	i	2	1	1167.05	0.73	0.69
BFE_359	0	1	01	1	19	9.302091e+01	1206.jpg	1217.jpg	9	13	0	u	1	0	1033.44	0.70	0.66
BFE_359	0	1	01	1	20	9.702542e+01	1218.jpg	1205.jpg	18	11	1	i	1	0	1012.95	0.55	0.67
BFE_359	0	1	01	1	21	1.020143e+02	2110.jpg	2208.jpg	53	51	1	u	2	1	872.04	0.65	0.68
BFE_359	0	1	01	1	22	1.070200e+02	1108.jpg	1102.jpg	37	3	0	i	3	1	1002.34	0.24	0.76
BFE_359	0	1	01	1	23	1.100234e+02	1204.jpg	1121.jpg	15	16	1	i	1	0	878.94	0.65	0.64
BFE_359	0	1	01	1	24	1.130267e+02	1217.jpg	1208.jpg	13	17	1	u	1	1	1011.70	0.66	0.63
BFE_359	0	1	01	1	25	1.250235e+02	2106.jpg	2116.jpg	57	58	0	u	2	0	1262.88	0.61	0.58
BFE_359	0	1	01	1	26	1.290111e+02	2102.jpg	2209.jpg	47	48	1	u	2	1	1091.21	0.75	0.74
BFE_359	0	1	01	1	27	1.320147e+02	1108.jpg	1109.jpg	37	4	0	i	3	1	743.65	0.24	0.74
BFE_359	0	1	01	1	28	1.390226e+02	2213.jpg	2207.jpg	49	55	0	u	2	0	991.73	0.73	0.65
BFE_359	0	1	01	1	29	1.420259e+02	2101.jpg	2114.jpg	59	60	1	u	6	1	884.44	0.55	0.55
BFE_359	0	1	01	1	30	1.490172e+02	1206.jpg	1204.jpg	9	15	0	u	1	0	1213.18	0.70	0.65
BFE_359	0	1	01	1	31	1.540228e+02	1106.jpg	1115.jpg	8	12	0	u	1	0	783.58	0.70	0.66
BFE_359	0	1	01	1	32	1.580102e+02	2121.jpg	2111.jpg	44	77	1	u	4	1	1140.18	0.81	0.27
BFE_359	0	1	01	1	33	1.630162e+02	1208.jpg	1204.jpg	17	15	0	i	1	1	822.11	0.63	0.65
BFE_359	0	1	01	1	34	1.690229e+02	2209.jpg	2207.jpg	48	55	0	u	2	0	975.45	0.74	0.65
BFE_359	0	1	01	1	35	1.730105e+02	2110.jpg	2106.jpg	53	57	1	u	2	1	1163.87	0.65	0.61
BFE_359	0	1	01	1	36	1.760142e+02	1206.jpg	1213.jpg	9	7	0	i	1	1	1184.18	0.70	0.71
BFE_359	0	1	01	1	37	1.790175e+02	1208.jpg	1218.jpg	17	18	0	i	1	1	1204.83	0.63	0.55
BFE_359	0	1	01	1	38	1.820209e+02	1204.jpg	1104.jpg	15	14	1	u	1	1	769.46	0.65	0.66
BFE_359	0	1	01	1	39	1.860253e+02	1208.jpg	1213.jpg	17	7	0	i	1	1	685.00	0.63	0.71
BFE_359	0	1	01	1	40	1.900132e+02	2102.jpg	2109.jpg	47	56	1	i	2	0	825.14	0.75	0.61
BFE_359	0	1	01	1	41	1.960199e+02	1206.jpg	1218.jpg	9	18	0	i	1	1	802.46	0.70	0.55
BFE_359	0	1	01	1	42	2.050134e+02	2204.jpg	2111.jpg	43	77	1	i	4	0	1272.97	0.84	0.27
BFE_359	0	1	01	1	43	2.080168e+02	2116.jpg	2218.jpg	58	54	1	i	2	0	893.55	0.58	0.65
BFE_359	0	1	01	1	44	2.120212e+02	2116.jpg	2208.jpg	58	51	1	u	2	1	777.20	0.58	0.68
