subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BFE_359	 1	 17	 1106.jpg	 2.198185e+03	 12	 999000	 120	 999000	 999	 2.199202e+03	 350.00	 550.00	 8.00	 6	 0.70	 
BFE_359	 1	 17	 1208.jpg	 2.200170e+03	 12	 999000	 120	 999000	 999	 2.201188e+03	 350.00	 550.00	 17.00	 29	 0.63	 
BFE_359	 1	 17	 2219.jpg	 2.204174e+03	 22	 9.798511e+02	 220	 5.500400e+02	 98	 2.205192e+03	 350.00	 566.67	 52.00	 40	 0.65	 
BFE_359	 1	 17	 2213.jpg	 2.207178e+03	 24	 999000	 240	 999000	 999	 2.208196e+03	 350.00	 566.67	 49.00	 34	 0.73	 
BFE_359	 1	 17	 1104.jpg	 2.209180e+03	 12	 999000	 120	 999000	 999	 2.210198e+03	 350.00	 566.67	 14.00	 4	 0.66	 
BFE_359	 1	 17	 1115.jpg	 2.212184e+03	 11	 8.427536e+02	 110	 3.500482e+02	 98	 2.213201e+03	 366.67	 566.67	 12.00	 15	 0.66	 
BFE_359	 1	 17	 2218.jpg	 2.216171e+03	 24	 999000	 240	 999000	 999	 2.217189e+03	 366.67	 566.67	 54.00	 39	 0.65	 
BFE_359	 1	 17	 1205.jpg	 2.220176e+03	 12	 999000	 120	 999000	 999	 2.221194e+03	 366.67	 566.67	 11.00	 26	 0.67	 
BFE_359	 1	 17	 1108.jpg	 2.222178e+03	 12	 999000	 120	 999000	 999	 2.223196e+03	 366.67	 566.67	 37.00	 8	 0.24	 
BFE_359	 1	 17	 1213.jpg	 2.227184e+03	 11	 9.866722e+02	 110	 3.667113e+02	 98	 2.228201e+03	 383.33	 566.67	 7.00	 34	 0.71	 
BFE_359	 1	 17	 2105.jpg	 2.229169e+03	 24	 999000	 240	 999000	 999	 2.230187e+03	 383.33	 566.67	 61.00	 5	 0.52	 
BFE_359	 1	 17	 1109.jpg	 2.231172e+03	 12	 999000	 120	 999000	 999	 2.232189e+03	 383.33	 566.67	 4.00	 9	 0.74	 
BFE_359	 1	 17	 1114.jpg	 2.237178e+03	 12	 999000	 120	 999000	 999	 2.238196e+03	 383.33	 566.67	 19.00	 14	 0.54	 
BFE_359	 1	 17	 1209.jpg	 2.239181e+03	 12	 999000	 120	 999000	 999	 2.240198e+03	 383.33	 566.67	 22.00	 30	 0.48	 
BFE_359	 1	 17	 2109.jpg	 2.241183e+03	 24	 999000	 240	 999000	 999	 2.242201e+03	 383.33	 566.67	 56.00	 9	 0.61	 
BFE_359	 1	 17	 2116.jpg	 2.243185e+03	 22	 1.025285e+03	 2200	 5.667018e+02	 98	 2.244203e+03	 383.33	 516.67	 58.00	 16	 0.58	 
BFE_359	 1	 17	 2101.jpg	 2.247173e+03	 24	 999000	 240	 999000	 999	 2.248191e+03	 383.33	 516.67	 59.00	 1	 0.55	 
BFE_359	 1	 17	 2106.jpg	 2.251177e+03	 24	 999000	 240	 999000	 999	 2.252195e+03	 383.33	 516.67	 57.00	 6	 0.61	 
BFE_359	 1	 17	 2204.jpg	 2.254181e+03	 24	 999000	 240	 999000	 999	 2.255198e+03	 383.33	 516.67	 43.00	 25	 0.84	 
BFE_359	 1	 17	 2119.jpg	 2.258185e+03	 24	 999000	 240	 999000	 999	 2.259203e+03	 383.33	 516.67	 78.00	 19	 0.20	 
